walk,l1,l2,x0,x1,x2,x3
0,74,38.832976,-24,10,24,-16
1,100,58.034473,12,50,20,18
2,150,82.194890,-40,64,-24,-22
3,142,87.567117,-58,-64,-12,-8
4,64,36.986484,18,28,2,-16
5,220,136.967149,-88,102,24,6
6,178,101.291658,-84,44,-28,-22
7,120,66.693328,12,-24,52,-32
8,68,35.099858,10,-22,-18,18
9,44,22.449944,14,-8,-12,-10
10,130,89.911067,-78,8,44,0
11,60,33.105891,4,-14,20,22
12,142,87.521426,6,46,72,18
13,62,50.000000,-48,0,14,0
14,56,32.124757,-12,4,14,26
15,98,54.954527,-18,46,-18,-16
16,98,81.314205,-80,-14,0,-4
17,160,80.845532,36,-50,-36,-38
18,152,82.170554,28,36,24,-64
19,130,78.511146,-24,68,30,8
20,50,29.051678,10,2,22,16
21,86,56.956123,8,26,-50,-2
22,144,78.536616,-32,-62,30,-20
23,82,43.954522,10,18,-22,32
24,114,60.431780,26,16,44,28
25,90,55.821143,-10,-6,-48,26
26,32,20.784610,2,2,-10,-18
27,92,49.558047,30,-16,-12,-34
28,140,81.926797,16,-34,70,-20
29,84,49.234135,-20,24,-2,-38
30,76,52.915026,50,14,2,-10
31,122,62.960305,30,20,42,-30
32,90,50.398413,34,32,18,6
33,110,55.317267,-24,-32,-28,26
34,108,56.356011,-34,-20,36,18
35,184,103.344085,-86,-28,-30,40
36,104,56.213877,-28,-26,-40,10
37,86,46.518813,20,-8,-32,26
38,106,69.942834,-12,62,-30,2
39,60,35.440090,-20,-6,6,-28
40,82,47.370877,-16,-4,-36,26
41,90,64.031242,10,20,0,-60
42,96,50.358713,-34,20,-28,-14
43,68,38.262253,-20,24,22,-2
44,102,57.723479,48,22,12,20
45,100,61.773781,-10,44,-4,-42
46,110,57.515215,42,-22,22,24
47,88,50.911688,-4,40,-24,20
48,122,65.207362,-38,42,12,30
49,130,78.409183,-26,-8,68,28
50,30,16.852300,-6,12,-10,-2
51,134,68.264193,32,44,-32,26
52,120,62.928531,42,24,-36,18
53,164,92.347171,-6,-58,-42,58
54,202,107.498837,-40,82,36,44
55,102,64.031242,54,12,32,-4
56,82,45.563143,10,26,-12,34
57,92,50.358713,-16,40,22,14
58,62,38.626416,0,-12,18,-32
59,58,37.469988,6,-34,4,14
60,108,60.000000,30,10,-22,-46
61,248,127.121989,76,72,-40,60
62,84,44.988888,-22,-30,8,-24
63,88,49.234135,-32,10,-12,-34
64,176,104.919016,-16,80,-16,64
65,38,23.237900,-20,6,10,2
66,82,48.948953,-36,-14,-30,-2
67,110,68.673139,-2,58,-32,18
