walk,l1,l2,x0,x1
0,128,90.906545,-58,70
1,202,169.858765,-166,36
2,328,255.624725,-88,-240
3,278,199.729818,164,114
4,116,88.769364,82,34
5,84,59.464275,44,40
6,62,47.539457,-44,18
7,94,90.088845,90,-4
8,138,118.067777,-22,116
9,196,139.312598,108,88
10,50,46.173586,4,46
11,50,50.000000,0,-50
12,258,188.308258,96,162
13,72,56.920998,-54,18
14,96,83.186537,82,-14
15,244,223.087427,-222,-22
16,256,181.372545,-120,-136
17,50,39.849718,-12,-38
18,238,168.344884,116,-122
19,192,161.616831,158,-34
20,38,27.784888,-14,24
21,202,162.640708,-46,156
22,88,67.230945,62,-26
23,342,246.292509,-204,-138
24,72,51.613952,30,-42
25,244,219.544984,26,-218
26,44,35.440090,-34,-10
27,120,91.389277,-36,84
28,196,192.041662,4,192
29,80,56.568542,40,-40
30,334,236.381048,160,-174
31,230,175.692914,-68,-162
32,46,32.557641,-24,-22
33,278,226.106170,218,60
34,134,96.519428,80,54
35,70,49.517674,34,-36
36,120,86.023253,70,-50
37,176,149.050327,30,146
38,230,170.844959,152,-78
39,40,29.529646,-14,26
40,172,123.223374,-72,-100
41,124,89.308454,-74,-50
42,74,53.851648,46,28
43,138,97.590983,68,-70
44,276,200.997512,-104,172
45,132,96.041658,82,50
46,272,198.957282,100,172
47,190,139.671042,-122,68
48,72,70.028566,-70,-2
49,162,145.120639,18,144
50,196,142.042247,-120,-76
51,48,35.777088,16,-32
52,114,85.906926,36,78
53,48,34.409301,-20,28
54,238,168.297356,120,-118
55,242,174.734084,96,-146
56,140,101.548018,54,-86
57,222,162.984662,80,142
58,30,26.305893,-4,-26
59,82,60.033324,30,-52
60,40,30.463092,12,-28
61,158,114.908659,-98,-60
62,52,41.761226,-40,12
63,132,96.041658,-50,-82
64,180,131.026715,-112,-68
65,316,224.891085,140,176
66,192,161.616831,158,34
67,118,95.603347,92,26
68,322,268.782440,-262,-60
69,194,139.269523,-114,80
70,218,160.262285,-78,-140
71,252,181.394597,102,150
72,258,238.838858,-238,-20
73,94,74.000000,70,24
74,266,199.489348,-86,180
75,102,87.475711,-86,-16
76,166,118.067777,92,74
77,102,94.339811,-94,-8
78,154,108.903627,78,-76
79,104,73.756356,-56,48
80,330,236.448726,192,-138
81,254,252.007936,2,-252
82,130,128.015624,2,128
83,264,193.494186,-168,-96
84,202,147.851277,-74,-128
85,20,15.231546,14,-6
86,216,157.098695,-82,134
87,416,294.645550,196,-220
88,16,12.649111,12,-4
89,180,148.431803,144,36
90,88,75.312682,-74,14
91,88,84.095184,-4,84
92,114,82.097503,-46,68
93,178,142.337627,42,136
94,160,136.499084,26,134
95,264,237.655212,236,28
96,196,159.624560,42,-154
97,168,131.575074,-124,-44
98,106,85.440037,-82,24
99,92,72.111026,68,-24
100,328,232.774569,178,150
101,28,20.000000,12,16
102,6,6.000000,-6,0
103,134,120.813906,-14,-120
104,56,52.153619,52,-4
105,238,190.420587,-56,-182
106,128,99.959992,34,-94
107,264,222.800359,-218,46
108,290,270.739727,-20,270
109,196,146.696967,-64,-132
110,208,155.640612,140,68
111,50,35.383612,26,-24
112,118,86.092973,44,-74
113,232,180.953033,-170,-62
114,212,186.118242,-28,184
115,68,60.530984,-60,-8
116,192,148.189068,138,54
117,108,79.649231,-70,-38
118,58,56.035703,-56,-2
119,52,36.878178,-24,28
120,94,68.264193,58,36
121,86,61.220911,-48,-38
122,152,112.712022,52,100
123,128,99.959992,34,94
124,56,41.182521,36,20
125,48,37.947332,-12,36
126,128,126.015872,126,2
127,168,164.048773,-164,4
128,180,136.058811,-124,-56
129,186,143.735869,-52,-134
130,108,108.000000,0,-108
131,180,141.675686,46,134
132,176,135.558106,-126,50
133,144,107.331263,-96,48
134,204,164.560019,46,-158
135,74,68.264193,-6,68
136,58,52.345009,-6,-52
137,152,111.892806,-98,54
138,64,60.133186,60,4
139,128,114.856432,-14,-114
140,100,73.430239,64,-36
141,58,42.190046,-36,22
142,132,132.000000,0,-132
143,60,44.721360,20,-40
144,240,179.799889,-162,78
145,36,26.076810,14,22
146,92,82.607506,82,-10
147,214,175.601822,-170,44
148,220,170.880075,-60,160
149,200,141.675686,-106,-94
150,156,117.200683,50,-106
151,512,402.273539,380,-132
152,54,46.690470,8,46
153,88,84.095184,4,84
154,186,138.636215,124,-62
155,190,186.043006,4,186
156,316,249.190690,236,80
157,298,229.895628,214,84
158,230,181.515840,-172,58
159,156,110.308658,78,78
160,42,32.310989,30,-12
161,240,182.778555,168,-72
162,96,69.971423,36,-60
163,176,126.491106,72,-104
164,300,218.833270,188,112
165,216,167.140659,-60,-156
166,152,122.800651,-118,34
167,146,140.128512,-6,140
168,246,238.134416,-238,8
169,36,27.856777,-26,10
170,142,125.299641,124,18
171,262,205.572372,68,-194
172,216,162.874185,-148,-68
173,242,171.265875,-116,-126
174,214,189.789357,-188,26
175,316,227.437904,128,-188
176,64,49.396356,-18,-46
177,160,156.051274,4,-156
178,104,79.849859,-30,74
179,138,100.498756,86,52
180,150,150.000000,-150,0
181,114,84.118963,-40,-74
182,46,34.928498,-32,-14
183,128,120.266371,-8,120
184,128,94.021274,-46,82
185,338,242.495361,-198,-140
186,130,95.770559,-46,-84
187,116,114.017543,-114,-2
188,54,40.249224,-36,-18
189,162,127.137721,-120,42
190,284,239.282260,50,-234
191,204,144.249783,102,102
192,258,215.415877,-210,-48
193,86,70.342022,-18,-68
194,208,157.581725,-144,64
195,76,58.309519,-22,54
196,188,143.387587,-132,56
197,104,76.941536,36,68
198,178,170.188131,-170,-8
199,48,42.426407,6,-42
200,146,144.013888,2,144
201,130,94.339811,80,-50
