walk,sec0,sec1,sec2,sec3
0,93,0,2,0
1,82,5,0,2
2,1,4,6,81
3,19,9,59,0
4,50,0,46,0
5,8,80,4,1
6,0,0,5,86
7,28,34,13,2
8,22,17,0,44
9,4,88,0,1
10,0,0,83,8
11,87,0,4,3
12,16,25,37,5
13,0,18,12,55
14,0,0,15,78
15,43,17,23,0
16,0,4,18,62
17,1,1,0,96
18,25,32,3,19
19,1,97,0,0
20,0,0,92,4
21,0,0,4,91
22,1,95,1,0
23,42,24,3,9
24,1,84,0,9
25,7,75,0,2
26,37,22,11,2
27,34,0,49,5
28,70,21,0,3
29,4,18,7,43
30,55,0,27,0
31,58,0,21,8
32,0,29,60,7
33,33,28,4,7
34,0,40,1,54
35,11,8,68,0
36,87,6,0,1
37,6,22,20,28
38,0,0,0,97
39,32,2,50,0
40,0,57,0,22
41,3,92,2,0
42,0,33,53,4
43,61,0,29,0
44,1,0,33,57
45,17,0,79,0
46,0,64,1,27
47,6,0,21,52
48,1,0,11,81
49,71,10,3,0
50,0,42,4,41
51,3,48,0,18
52,22,67,2,0
53,3,24,14,26
54,40,15,1,13
55,34,23,19,1
56,0,1,63,28
57,0,0,92,1
58,58,0,34,0
59,32,16,36,0
60,0,66,0,24
61,4,4,7,67
62,81,0,12,1
63,0,3,38,45
64,1,94,0,0
65,100,0,0,0
66,0,4,48,44
67,0,35,20,28
68,0,0,23,71
69,3,90,0,0
70,33,17,4,32
71,0,0,64,30
72,21,59,5,0
73,6,33,1,46
74,5,1,76,8
75,0,0,75,24
76,0,1,0,96
77,73,13,0,1
78,61,24,0,0
79,0,0,97,1
80,92,0,2,3
81,3,8,39,18
82,0,25,1,50
83,24,41,0,13
84,0,17,6,66
85,23,17,32,10
86,22,72,0,0
87,0,1,80,14
88,33,55,0,0
89,3,1,79,8
90,15,4,64,8
91,19,1,48,12
92,89,1,2,0
93,0,67,0,26
94,1,0,48,34
95,0,0,88,5
96,10,0,63,9
97,42,53,0,1
98,95,0,0,0
99,21,0,56,6
100,3,11,0,79
101,24,57,3,1
102,0,16,0,78
103,0,0,38,40
104,78,0,7,0
105,4,45,15,14
106,6,9,56,15
107,0,59,4,24
108,0,42,0,50
109,5,3,41,31
110,30,37,1,10
111,0,7,53,30
112,0,0,0,98
113,24,29,1,27
114,2,1,39,34
115,34,55,1,0
116,2,4,0,88
117,0,62,1,22
118,0,2,3,87
119,8,53,1,30
120,13,6,29,40
121,2,0,55,23
122,62,3,12,10
123,0,14,0,80
124,3,0,91,1
125,0,1,30,52
126,43,44,1,0
127,49,15,2,13
128,0,1,6,82
129,86,3,1,1
130,60,8,15,4
131,30,63,0,3
132,55,20,2,7
133,14,17,20,20
134,50,18,5,10
135,88,0,4,0
136,27,7,19,8
137,0,0,6,82
138,0,19,5,58
139,5,9,40,27
140,30,7,53,1
141,90,2,1,1
142,9,2,84,1
143,6,2,49,26
144,1,3,1,86
145,1,81,2,3
146,74,4,5,3
147,0,0,11,83
148,0,0,8,77
149,6,1,83,3
150,14,13,46,16
151,36,31,7,3
152,11,0,55,21
153,23,54,0,5
154,0,26,0,65
155,14,0,60,10
156,7,7,55,12
157,23,1,46,7
158,77,11,1,0
159,14,29,34,4
160,1,16,4,61
161,18,9,52,12
162,32,18,22,7
163,53,22,5,4
164,14,72,3,0
165,71,19,0,0
166,23,68,0,0
167,36,5,28,8
168,12,20,3,40
169,27,28,5,25
170,37,54,0,0
171,0,54,1,22
172,0,34,0,57
173,24,24,12,15
174,18,73,0,4
175,0,0,60,29
176,58,28,1,0
177,1,77,0,13
178,17,77,0,0
179,2,0,53,26
180,41,31,6,8
181,16,54,13,6
182,0,36,4,54
183,1,85,2,4
184,0,4,47,42
185,2,41,10,33
186,0,0,100,0
187,21,9,26,18
188,0,17,17,50
189,23,1,55,0
190,7,59,5,11
191,95,0,1,0
192,1,0,67,20
193,1,22,18,40
194,28,33,3,10
195,18,0,58,8
196,5,65,3,6
197,29,7,35,5
198,36,46,1,2
199,0,39,0,60
200,0,21,46,14
201,50,6,19,10
202,27,9,0,45
203,30,49,12,0
204,0,7,1,83
205,49,6,29,1
206,4,5,5,70
207,51,5,3,30
208,28,2,39,15
209,0,48,2,46
210,28,66,0,0
211,0,9,1,85
212,12,0,82,0
213,66,7,10,1
214,31,12,18,11
215,3,37,0,34
216,0,99,0,0
217,0,8,32,56
218,73,16,1,0
219,99,0,0,0
220,6,85,0,1
221,9,0,78,2
222,0,0,0,100
223,67,0,19,0
224,26,17,26,10
225,7,38,0,43
226,0,1,78,19
227,0,100,0,0
228,0,42,3,34
229,0,30,10,38
230,30,58,0,2
231,2,53,16,14
232,12,23,0,47
233,77,9,0,0
234,30,32,21,1
235,0,11,4,67
236,0,39,23,18
237,9,2,73,1
238,0,1,58,25
239,1,0,98,0
240,7,19,10,41
241,28,53,7,2
242,94,2,0,0
243,52,34,0,0
244,8,3,60,14
245,3,0,47,41
246,5,9,2,73
247,4,2,51,31
248,0,0,8,80
249,11,0,86,0
250,8,1,75,3
251,0,1,20,73
252,94,2,0,0
253,73,21,0,1
254,39,32,0,10
255,5,30,1,48
256,10,20,0,57
257,0,96,1,1
258,0,0,42,55
259,6,11,73,0
260,39,0,48,1
261,98,0,0,1
262,4,4,20,58
263,12,0,81,1
264,54,28,0,3
265,26,0,63,0
266,40,37,3,4
267,15,5,13,37
268,37,18,8,24
269,0,1,0,94
270,1,50,0,36
271,37,28,0,13
272,6,49,4,25
273,11,1,59,12
274,7,3,53,20
275,0,38,0,43
276,9,20,16,37
277,11,46,20,10
278,20,15,5,34
279,12,10,13,38
280,2,73,0,12
281,5,29,0,47
282,4,24,39,13
283,15,0,66,0
284,7,1,61,11
285,74,16,0,0
286,41,50,4,0
287,52,0,31,0
288,5,0,72,11
289,0,1,90,1
290,1,0,57,29
291,2,1,55,32
292,0,4,0,86
293,21,70,0,0
294,24,25,23,1
295,1,0,16,66
296,0,67,0,27
297,11,12,0,62
298,0,2,5,79
299,33,42,0,9
300,7,48,15,13
301,88,0,6,0
302,7,19,45,12
303,0,86,1,4
304,53,30,1,0
305,56,0,29,0
306,0,5,21,58
307,23,63,1,2
308,0,67,1,21
309,14,13,29,16
310,79,5,4,0
311,53,8,15,0
312,35,44,1,1
313,0,42,0,45
314,3,13,3,67
315,0,24,0,63
316,0,11,0,79
317,41,53,0,0
318,31,21,21,2
319,81,6,1,0
320,0,0,41,54
321,0,1,72,15
322,0,19,14,52
323,10,6,73,3
324,71,1,15,0
325,6,19,0,61
326,80,8,0,5
327,86,0,10,0
328,7,27,2,44
329,5,25,7,52
330,0,73,7,10
331,0,0,64,17
332,69,18,0,0
333,0,1,72,19
334,74,20,0,0
335,0,4,37,44
336,4,69,0,8
337,23,0,53,4
338,23,1,37,13
339,6,47,4,30
340,0,0,2,93
341,4,82,3,0
342,0,0,2,93
343,11,33,16,18
344,1,5,71,15
345,0,0,20,74
346,96,0,0,0
347,36,10,32,0
348,70,19,0,3
349,1,33,1,47
350,0,35,30,22
351,2,36,0,49
352,17,53,13,5
353,1,1,2,85
354,0,3,9,69
355,26,41,2,5
356,75,3,8,3
357,14,25,19,27
358,79,10,1,0
359,1,0,42,44
360,53,20,1,6
361,11,7,26,28
362,0,1,6,85
363,24,65,0,0
364,0,43,0,49
365,5,40,0,32
366,33,39,10,0
367,2,91,1,0
368,3,36,31,14
369,0,0,0,99
370,5,14,16,50
371,36,14,5,25
372,28,0,67,0
373,75,1,15,0
374,1,0,83,8
375,2,5,27,48
376,2,47,7,26
377,2,8,60,12
378,3,56,8,13
379,0,76,0,10
380,9,70,2,5
381,0,75,10,10
382,3,0,78,1
383,1,67,0,15
384,71,1,10,5
385,19,0,73,0
386,24,25,37,1
387,70,4,8,2
388,13,0,77,0
389,0,0,75,12
390,0,0,87,4
391,3,0,23,63
392,14,0,31,37
393,50,19,2,14
394,0,29,2,51
395,8,57,5,4
396,0,15,41,31
397,4,23,38,17
398,0,0,97,1
399,1,0,87,2
400,44,51,0,0
401,9,4,1,74
402,8,1,76,3
403,3,9,73,5
404,69,23,0,0
405,72,15,0,0
406,1,90,0,0
407,83,0,7,0
408,1,39,16,27
409,51,13,2,11
410,0,10,0,82
411,12,6,30,33
412,58,2,18,5
413,31,58,0,2
414,57,7,21,2
415,8,1,36,39
416,0,0,0,99
417,4,75,6,3
418,63,2,23,2
419,33,9,21,11
420,27,0,65,0
421,1,0,66,26
422,0,0,17,70
423,63,9,4,7
424,2,24,0,54
425,0,52,4,30
426,0,0,39,56
427,1,0,48,29
428,5,4,27,42
429,71,10,10,0
430,10,7,11,54
431,0,0,69,22
432,0,97,0,0
433,0,9,1,76
434,0,0,1,95
435,39,0,36,4
436,11,42,4,19
437,12,56,16,2
438,71,7,16,0
439,94,0,0,1
440,47,34,4,0
441,23,53,3,5
442,11,80,2,0
443,49,20,7,1
444,3,7,37,36
445,0,99,0,0
446,64,6,12,0
447,0,15,4,67
448,5,0,84,0
449,22,0,69,0
450,86,1,4,0
451,68,18,0,0
452,0,6,40,36
453,45,4,37,0
454,1,3,57,21
455,57,21,2,0
456,0,3,47,46
457,46,10,9,8
458,54,21,4,3
459,44,0,47,0
460,0,90,0,8
461,50,2,29,1
462,0,0,72,17
463,15,3,37,25
464,10,37,3,42
465,2,3,0,91
466,9,0,85,1
467,53,32,0,2
468,0,16,0,78
469,69,21,0,1
470,16,42,18,4
471,1,0,95,0
472,3,5,29,48
473,14,47,6,10
474,3,85,0,3
475,0,41,0,47
476,85,2,3,0
477,0,27,2,60
478,11,86,0,0
479,2,44,5,34
480,6,43,3,31
481,7,18,1,68
482,60,13,5,1
483,0,16,3,57
484,27,2,54,1
485,71,14,3,1
486,5,3,41,36
487,1,71,0,18
488,1,16,1,64
489,32,49,0,8
490,1,11,22,43
491,82,0,1,14
492,87,4,0,0
493,93,2,0,0
494,1,2,0,91
495,6,0,90,0
496,2,95,0,0
497,7,1,24,60
498,0,67,7,20
499,57,7,19,0
500,0,44,16,20
501,1,0,76,13
502,0,2,0,96
503,25,65,0,3
504,4,0,93,0
505,0,11,0,81
506,77,4,0,7
507,1,41,1,46
508,0,10,6,69
509,96,1,0,1
510,2,0,31,50
511,33,0,41,11
512,47,11,24,0
513,0,30,8,33
514,0,0,6,91
515,86,2,1,4
516,38,39,0,3
517,7,1,16,62
518,3,2,85,1
519,17,1,26,19
520,96,1,0,0
521,0,24,48,11
522,88,4,2,0
523,83,10,0,0
524,1,23,59,8
525,0,0,77,15
526,5,6,30,40
527,9,1,33,37
528,73,4,8,1
529,82,0,9,0
530,0,54,0,29
531,0,82,0,6
532,0,0,85,6
533,13,34,3,20
534,9,84,0,0
535,0,0,0,98
536,1,18,6,64
537,13,8,2,55
538,33,46,0,0
539,13,21,2,45
540,26,52,3,0
541,43,0,49,0
542,0,1,36,37
543,21,3,51,3
544,87,12,0,0
545,17,1,59,6
546,1,15,0,74
547,99,0,0,0
548,0,0,53,32
549,26,60,3,0
550,59,18,11,0
551,7,0,40,43
552,1,0,4,87
553,1,79,1,6
554,14,77,0,0
555,0,0,8,88
556,0,0,0,97
557,0,4,75,13
558,6,12,23,35
559,5,12,18,53
560,20,67,0,0
561,4,0,18,67
562,0,0,36,34
563,0,4,5,83
564,22,5,65,0
565,27,42,0,7
566,39,3,48,0
567,0,15,1,78
568,2,0,83,3
569,37,37,0,0
570,37,5,35,9
571,83,1,1,5
572,12,67,10,1
573,10,83,1,0
574,22,12,15,35
575,21,26,0,36
576,58,8,4,6
577,4,0,57,12
578,6,6,80,0
579,0,0,86,11
580,26,41,5,13
581,1,97,0,0
582,0,50,1,28
583,77,2,7,4
584,3,20,16,41
585,15,1,72,0
586,6,34,1,35
587,45,41,0,0
588,0,0,5,90
589,1,0,15,72
590,69,4,7,0
591,57,13,17,0
592,42,36,1,2
593,20,1,67,1
594,12,1,76,1
595,46,33,8,1
596,69,15,0,4
597,31,1,53,11
598,61,22,0,0
599,85,6,0,1
600,2,53,30,3
601,0,0,29,60
602,15,0,71,0
603,0,92,0,3
604,54,26,0,5
605,1,8,29,43
606,6,66,1,18
607,32,18,1,29
608,0,5,20,64
609,19,0,29,40
610,0,0,96,1
611,45,16,16,0
612,0,27,0,67
613,0,2,25,56
614,24,0,61,1
615,2,85,0,2
616,0,61,0,30
617,70,14,1,1
618,0,41,0,55
619,2,0,2,91
620,0,3,61,14
621,0,0,54,34
622,29,0,65,0
623,26,1,65,1
624,2,6,23,47
625,10,7,39,16
626,4,2,89,0
627,48,34,0,1
628,85,3,0,2
629,0,79,3,12
630,0,10,0,75
631,66,0,19,0
632,8,0,21,65
633,47,5,15,4
634,1,97,0,0
635,32,4,44,2
636,10,7,55,15
637,0,89,0,3
638,1,0,1,95
639,22,36,9,2
640,74,3,0,14
641,77,1,3,3
642,0,5,46,31
643,4,0,91,0
644,12,61,5,10
645,14,77,0,0
646,91,7,0,0
647,89,3,3,0
648,0,91,0,2
649,30,58,0,0
650,0,21,3,55
651,45,34,1,6
652,58,3,19,2
653,78,3,5,0
654,27,46,3,7
655,41,1,37,0
656,1,98,0,0
657,25,59,3,2
658,1,1,5,82
659,77,0,17,0
660,0,0,63,15
661,40,36,11,1
662,23,0,63,1
663,4,0,87,0
664,3,78,4,3
665,1,29,0,56
666,25,0,53,4
667,48,2,26,4
668,0,66,0,22
669,9,0,70,14
670,0,0,8,83
671,3,33,32,26
672,95,1,0,0
673,11,0,82,0
674,0,0,58,27
675,0,0,2,94
676,0,0,95,1
677,69,0,14,1
678,6,73,3,4
679,96,0,1,0
680,94,1,0,0
681,0,75,0,19
682,0,10,0,80
683,4,0,91,0
684,37,47,2,0
685,15,66,0,0
686,61,1,18,3
687,1,1,3,91
688,17,54,20,0
689,21,13,43,1
690,0,7,0,87
691,3,11,1,72
692,1,1,22,57
693,0,1,56,32
694,0,32,1,53
695,22,1,61,3
696,4,0,55,21
697,8,13,8,57
698,0,57,0,28
699,0,3,15,72
700,40,12,32,2
701,0,19,0,72
702,0,0,98,1
703,34,0,22,28
704,21,60,1,2
705,1,6,0,86
706,66,17,1,0
707,21,54,3,2
708,14,76,0,0
709,14,4,24,41
710,4,1,73,7
711,69,0,28,0
712,25,19,41,0
713,0,2,36,51
714,37,17,11,12
715,4,90,1,0
716,53,8,4,13
717,0,3,21,69
718,0,5,55,11
719,44,26,8,0
720,33,0,62,0
721,5,21,42,16
722,41,4,14,18
723,73,14,1,6
724,0,8,18,60
725,7,35,8,27
726,11,79,0,0
727,0,0,91,7
728,0,85,2,4
729,1,56,14,18
730,1,1,96,0
731,1,1,1,93
732,47,48,0,0
733,72,19,0,1
734,73,0,9,8
735,41,41,0,0
736,0,0,65,28
737,0,0,78,12
738,1,53,1,34
739,0,95,0,2
740,56,38,2,0
741,14,2,64,3
742,8,2,26,58
743,1,92,0,4
744,60,0,21,10
745,3,1,48,30
746,83,12,0,0
747,3,0,92,0
748,12,0,48,29
749,10,66,2,2
750,48,25,1,2
751,0,4,22,56
752,0,0,67,24
753,37,7,20,6
754,2,94,0,0
755,0,9,0,79
756,15,59,0,3
757,50,0,39,0
758,0,9,1,85
759,6,2,1,81
760,14,0,62,10
761,11,1,19,58
762,54,2,19,9
763,0,0,32,58
764,43,4,40,0
765,0,0,99,0
766,9,57,4,15
767,92,3,0,0
768,14,18,26,20
769,6,0,85,0
770,0,0,11,77
771,0,30,0,62
772,3,70,1,13
773,0,90,0,3
774,64,32,0,0
775,0,51,0,45
776,1,1,55,34
777,0,0,7,86
778,2,12,12,63
779,0,18,31,21
780,83,8,0,3
781,6,73,1,6
782,1,52,3,25
783,5,26,11,35
784,0,2,38,43
785,24,29,17,4
786,19,0,75,0
787,37,41,8,3
788,24,58,4,1
789,12,1,59,17
790,7,0,75,7
791,1,25,53,8
