walk,n_minus,n_zero,n_plus,m_over_n
0,29560,255,70185,0.7031250000
1,50296,97,49607,0.5034450000
2,516,57,99427,0.9945550000
3,61797,162,38041,0.6187800000
4,99389,107,504,0.9944250000
5,73604,289,26107,0.7374850000
6,86047,160,13793,0.8612700000
7,87810,601,11589,0.8811050000
8,218,69,99713,0.9974750000
9,28787,677,70536,0.7087450000
10,36251,347,63402,0.6357550000
11,996,58,98946,0.9897500000
12,89684,273,10043,0.8982050000
13,15922,361,83717,0.8389750000
14,7589,70,92341,0.9237600000
15,55395,499,44106,0.5564450000
16,88213,125,11662,0.8827550000
17,37087,59,62854,0.6288350000
18,26736,328,72936,0.7310000000
19,15644,231,84125,0.8424050000
20,89469,106,10425,0.8952200000
21,31343,647,68010,0.6833350000
22,16910,253,82837,0.8296350000
23,64312,562,35126,0.6459300000
24,3526,158,96316,0.9639500000
25,39638,256,60106,0.6023400000
26,20640,462,78898,0.7912900000
27,58017,590,41393,0.5831200000
28,36588,394,63018,0.6321500000
29,30566,44,69390,0.6941200000
30,70767,435,28798,0.7098450000
31,97682,147,2171,0.9775550000
32,99915,3,82,0.9991650000
33,1458,175,98367,0.9845450000
34,56293,290,43417,0.5643800000
35,12111,440,87449,0.8766900000
36,99906,18,76,0.9991500000
37,97135,52,2813,0.9716100000
38,3037,166,96797,0.9688000000
39,1763,111,98126,0.9818150000
40,52378,206,47416,0.5248100000
41,25507,202,74291,0.7439200000
42,44243,452,55305,0.5553100000
43,99982,6,12,0.9998500000
44,58599,234,41167,0.5871600000
45,86888,365,12747,0.8707050000
46,43506,642,55852,0.5617300000
47,93176,363,6461,0.9335750000
48,69742,360,29898,0.6992200000
49,98039,192,1769,0.9813500000
50,11482,367,88151,0.8833450000
51,574,42,99384,0.9940500000
52,7067,163,92770,0.9285150000
53,76478,139,23383,0.7654750000
54,33624,395,65981,0.6617850000
55,84069,355,15576,0.8424650000
56,4510,148,95342,0.9541600000
57,99209,77,714,0.9924750000
58,92099,266,7635,0.9223200000
59,90004,322,9674,0.9016500000
60,92720,257,7023,0.9284850000
61,533,37,99430,0.9944850000
62,87245,247,12508,0.8736850000
63,83943,296,15761,0.8409100000
64,96559,201,3240,0.9665950000
65,1111,89,98800,0.9884450000
66,97757,60,2183,0.9778700000
67,80573,250,19177,0.8069800000
68,134,7,99859,0.9986250000
69,41458,698,57844,0.5819300000
70,70672,462,28866,0.7090300000
71,95484,137,4379,0.9555250000
72,26501,93,73406,0.7345250000
73,54340,503,45157,0.5459150000
74,70698,223,29079,0.7080950000
75,81782,345,17873,0.8195450000
76,50120,462,49418,0.5035100000
77,17459,274,82267,0.8240400000
78,30462,603,68935,0.6923650000
79,14802,200,84998,0.8509800000
80,99946,9,45,0.9995050000
81,97721,92,2187,0.9776700000
82,97260,324,2416,0.9742200000
83,685,52,99263,0.9928900000
84,97920,117,1963,0.9797850000
85,17907,245,81848,0.8197050000
86,99714,38,248,0.9973300000
