walk,l1,l2,x0,x1
0,40,28.844410,16,24
1,96,67.941151,46,-50
2,50,35.608988,22,28
3,30,21.633308,18,12
4,50,36.055513,30,20
5,82,58.821765,-34,-48
6,80,74.242845,6,-74
7,30,28.071338,2,28
8,48,36.769553,14,-34
9,76,59.464275,-56,-20
10,38,26.907248,-18,-20
11,8,6.324555,2,6
12,14,14.000000,0,14
13,30,21.633308,-18,12
14,18,14.560220,-4,14
15,54,39.446166,-20,-34
16,70,56.320511,54,16
17,36,30.594117,-30,-6
18,34,24.083189,-18,-16
19,26,26.000000,0,-26
20,86,65.391131,-60,-26
21,58,41.617304,34,-24
22,54,50.159745,-50,-4
23,120,97.529483,-26,-94
24,40,34.525353,-6,34
25,84,60.464866,50,34
26,54,42.379240,40,14
27,54,52.038447,2,52
28,18,14.560220,-4,14
29,28,22.803509,22,-6
30,50,36.715120,-32,18
31,40,28.284271,-20,-20
32,34,25.059928,22,-12
33,82,58.000000,-40,42
34,44,44.000000,44,0
35,74,53.851648,-28,-46
36,20,18.110770,-18,-2
37,78,55.605755,44,-34
38,12,12.000000,12,0
39,62,45.650849,-22,40
40,10,8.246211,-8,-2
41,74,58.821765,-18,-56
42,26,24.083189,2,24
43,48,34.058773,-26,-22
44,112,79.246451,58,-54
45,54,52.038447,2,52
46,30,21.260292,14,16
47,64,45.607017,-36,28
48,46,38.832976,8,-38
49,46,32.557641,22,-24
50,110,81.412530,-38,72
51,80,64.560050,62,18
52,54,38.832976,-32,-22
53,76,63.560994,14,62
54,28,24.331050,-4,24
55,118,98.488578,22,96
56,36,25.612497,-16,20
57,12,8.944272,-8,4
58,46,34.928498,-14,32
59,28,20.591260,-18,10
60,36,29.120440,28,8
61,48,37.947332,-36,-12
62,50,35.608988,-22,-28
63,90,70.228199,-66,24
64,42,30.000000,18,-24
65,52,40.496913,14,-38
66,90,63.655322,44,-46
67,82,59.363288,32,50
68,18,18.000000,-18,0
69,74,55.461698,24,50
70,28,26.076810,-2,26
71,64,54.918121,54,-10
72,40,40.000000,0,40
73,130,92.455395,-72,58
74,16,12.649111,-4,12
75,62,54.589376,-8,-54
76,12,12.000000,0,-12
77,14,10.000000,-8,-6
78,28,20.000000,-16,-12
79,54,50.159745,4,50
80,126,90.443352,52,-74
81,64,47.413078,-22,42
82,36,27.856777,10,26
83,42,34.928498,8,-34
84,92,65.115282,-44,-48
85,18,14.560220,4,-14
86,52,36.878178,24,28
87,60,54.332311,-54,-6
88,12,12.000000,-12,0
89,78,67.082039,-12,-66
90,34,24.413111,-14,-20
91,78,57.306195,50,-28
92,44,32.249031,-16,-28
93,46,37.363083,10,36
94,16,14.142136,14,-2
95,50,38.626416,36,-14
96,66,62.128898,62,-4
97,90,75.709973,-74,-16
98,20,15.231546,-6,14
99,36,32.249031,32,4
100,10,10.000000,-10,0
101,2,2.000000,0,-2
102,10,8.246211,2,8
103,14,10.000000,6,-8
104,86,80.224684,80,6
105,66,52.497619,-16,50
106,18,13.416408,12,-6
107,120,85.276022,66,-54
108,40,36.221541,-36,4
109,18,14.560220,4,-14
110,46,32.557641,-24,22
111,52,36.878178,-24,-28
112,48,34.985711,18,30
113,36,29.120440,28,-8
114,18,12.806248,-10,8
115,32,22.803509,14,18
116,22,17.088007,16,6
