walk,sec0,sec1,sec2,sec3
0,6721,15648,21694,955220
1,35362,954308,7768,1806
2,16220,321763,65655,592325
3,718798,8397,255023,15212
4,135,961588,725,37039
5,164835,661553,2179,170397
6,436322,11397,526804,22766
7,378015,120929,326038,173442
8,846625,37785,112143,1968
9,0,2,15950,983698
10,45616,144058,26556,782768
11,79788,11627,72520,835261
12,518017,29078,450377,1192
13,3,393,688057,310690
14,626626,83427,110997,177220
15,110368,65881,739088,83534
16,536221,362789,18900,80037
17,24572,655112,147543,171294
18,78269,1464,869486,49541
19,40576,462,950869,7193
20,2732,406625,71750,517773
21,293702,1672,703942,228
22,946884,49960,335,1819
23,407609,182323,407458,1618
24,0,133,985241,14274
25,66205,14697,285312,631115
26,6437,443,43086,949542
27,2901,205068,1070,789172
28,245065,40,743332,11185
29,105468,750087,91441,51226
30,9019,48049,619297,322473
31,270600,724054,1594,1241
32,7972,287026,95634,608623
33,878622,60352,55242,3719
34,996,0,319022,679356
35,204126,788059,6903,16
36,176099,67598,220653,531537
37,236995,11869,741722,8612
38,791735,767,205211,37
39,620682,120248,210430,46219
40,69163,3499,698727,227740
41,698436,116682,112416,70028
42,617781,380548,930,45
43,175958,16222,802576,3740
44,466093,347778,135156,48128
45,932707,9487,52248,4739
46,4,574772,94280,330216
47,37530,57271,242382,661381
48,53341,49818,867369,28232
49,155441,4001,839067,660
50,119507,43959,381871,451490
51,5710,1090,284635,707122
52,845,457664,146329,393117
53,45568,116,294399,658428
54,61579,162272,427129,346811
55,397027,520102,7046,72454
56,61012,28507,622477,285756
57,545765,0,447318,6175
58,550254,446147,2630,107
59,409276,22801,412086,153730
60,18,553041,0,445653
61,356079,16609,363653,262125
62,812,111,761435,237058
63,211,0,944837,54055
64,81342,28897,130670,757243
65,138852,166545,108462,582441
66,861467,11930,123936,1623
67,214495,356048,159164,268823
68,25787,348008,3149,620998
69,377837,606038,553,13970
70,44115,913578,16476,24620
71,582216,153396,193536,68486
72,663340,328821,4,7318
73,906838,85766,5461,0
74,436390,312353,7784,241822
75,40324,134046,102676,721652
76,76975,21765,865854,34306
77,258396,47,741025,31
78,666127,324152,8035,190
79,512043,228596,158943,97831
80,215964,316350,81504,384375
81,909203,892,88746,69
82,2304,553,138965,857550
83,493540,59580,410137,33518
84,0,352,229192,769919
85,321051,86721,474532,116576
86,978851,62,20875,6
87,412,681052,69033,248182
88,1463,129951,510916,356272
89,410687,418357,0,168938
90,0,74128,44492,880652
91,800358,190667,8432,0
92,7341,963220,8993,19930
93,384847,13,545568,68508
94,113789,3735,703858,177361
95,403146,332799,250771,11818
96,604536,336300,51588,5355
97,748757,1581,246224,1915
98,2248,263051,169134,564438
99,51796,794562,20,152315
100,313411,119302,494899,69355
101,21972,926740,31285,18873
102,59572,916019,2527,20834
103,19050,23,588359,391136
104,1746,11466,802371,183489
105,68155,10281,597077,323536
106,154372,833497,192,10996
107,999755,219,0,10
108,223,155169,360,842915
109,740108,55,186971,71982
110,272,873692,5602,119010
111,62222,431932,23097,479485
112,22859,406220,42668,525646
113,307682,31267,560140,99350
114,590008,11953,324097,72223
115,51,6,37803,961812
116,38211,1309,954639,5424
117,400023,563000,997,34467
118,44162,1717,478009,473965
119,91365,711905,2226,192412
120,64394,13687,921091,33
121,190670,380344,16234,410926
122,331303,667036,0,10
123,268,800300,1554,195882
124,788815,113229,38910,55834
125,440038,83341,335436,137090
126,857718,120000,2766,18737
127,758454,121054,111957,7351
128,71261,86806,12725,828521
129,46028,517470,57340,377844
130,646741,352261,0,11
131,317810,78092,377750,224682
132,147959,830787,4835,15510
133,234220,759976,4347,431
134,262259,627713,29153,78040
135,64549,266966,121907,545456
136,77429,4975,222174,693565
137,6,301,204315,793946
138,721190,162819,44761,69634
139,541695,40285,260066,156267
140,516988,9846,332857,137848
141,42794,94600,309560,549601
