walk,sec0,sec1,sec2,sec3,sec4,sec5,sec6,sec7
0,683,3,92,0,67,51,0,47
1,742,34,184,0,0,2,0,0
2,520,326,53,10,1,5,19,34
3,0,0,0,0,32,936,0,5
4,6,16,811,40,0,3,64,1
5,1,1,0,0,28,0,958,0
6,454,88,421,11,0,0,0,0
7,12,43,113,751,2,0,1,6
8,925,0,3,18,22,2,6,2
9,694,5,34,3,169,0,17,0
10,237,0,313,37,7,0,325,2
11,115,3,132,1,729,5,0,0
12,0,0,8,900,0,0,0,57
13,231,696,1,30,1,0,0,1
14,0,4,416,270,0,0,108,99
15,722,145,39,26,9,0,0,1
16,46,1,485,158,40,1,134,27
17,579,0,166,2,85,125,0,0
18,8,356,186,125,23,168,26,52
19,2,142,3,413,1,240,0,84
20,200,160,0,0,235,337,0,0
21,99,43,261,55,330,10,58,3
22,170,330,4,0,128,238,0,0
23,783,118,9,5,16,15,0,0
24,0,97,35,172,113,246,120,101
25,2,5,24,159,0,0,290,435
26,11,412,1,0,86,407,7,1
27,494,13,401,0,25,1,0,0
28,162,2,696,4,0,5,85,3
29,0,107,1,231,0,43,114,469
30,0,0,0,0,198,0,754,5
31,0,405,0,274,0,10,0,267
32,22,430,163,40,1,78,33,126
33,19,1,113,29,66,11,204,446
34,0,32,0,216,0,4,1,713
35,184,12,58,0,536,91,46,1
36,0,0,0,0,4,0,534,440
37,24,45,383,252,20,0,17,139
38,1,110,0,263,0,204,0,356
39,0,0,20,5,33,15,375,487
40,0,0,0,275,44,219,12,383
41,229,690,0,1,0,18,0,0
42,5,3,9,166,6,117,4,617
43,0,24,19,159,10,324,16,378
44,173,21,166,0,357,3,170,8
45,63,610,0,0,0,273,0,0
46,2,1,21,1,223,0,604,79
47,0,197,463,302,0,1,0,2
48,202,250,30,176,166,45,10,4
49,200,5,270,13,76,7,300,16
50,224,322,11,76,143,53,25,26
51,1,0,269,428,0,1,136,93
52,12,0,331,0,0,1,562,27
53,2,9,1,0,87,0,742,110
54,251,0,561,0,97,2,8,0
55,87,11,518,70,0,0,169,43
56,10,0,45,77,76,0,728,22
57,0,363,0,239,1,154,0,133
58,1,0,44,120,13,7,3,775
59,60,193,5,3,371,283,0,0
60,751,22,163,11,6,0,2,0
61,0,19,0,80,1,446,0,392
62,136,223,383,168,2,0,1,0
63,0,220,0,431,4,160,0,100
64,64,607,4,195,0,3,0,45
65,1,287,0,19,409,207,0,4
66,0,126,0,243,5,227,19,302
67,70,684,43,122,0,4,3,3
68,54,85,586,175,16,11,8,1
69,133,74,285,283,0,81,0,75
70,0,0,0,1,0,49,59,845
71,0,0,12,15,278,32,275,282
72,320,113,0,98,185,150,0,58
73,0,118,0,0,0,669,0,160
74,194,110,91,112,35,76,194,15
75,64,26,91,70,349,71,190,46
76,1,0,22,1,705,114,102,0
77,447,0,469,0,0,0,19,0
78,10,700,3,126,0,2,6,72
79,0,0,0,0,4,8,125,847
80,0,0,917,1,0,1,54,1
81,0,0,0,70,1,0,2,895
82,425,22,129,1,133,23,163,0
83,152,0,812,0,0,0,0,0
84,262,135,188,28,62,29,152,1
85,1,0,1,0,500,27,187,234
86,42,1,0,5,346,195,151,160
87,0,0,2,285,0,0,13,646
88,0,0,0,0,389,213,200,100
89,162,718,43,33,0,0,1,0
90,0,635,2,247,0,0,0,68
91,115,34,194,154,0,1,164,175
92,42,485,3,25,1,30,51,300
93,113,486,26,301,0,16,0,22
94,97,623,0,247,1,6,0,0
95,0,0,876,72,0,0,27,4
96,172,16,1,0,281,224,111,82
97,0,0,2,4,0,34,39,886
98,492,69,293,35,7,6,1,23
99,79,1,17,0,163,0,723,0
100,492,2,1,0,419,23,1,7
101,18,2,29,133,19,17,108,571
102,101,630,0,0,202,19,0,0
103,69,70,0,0,759,79,0,0
104,66,0,97,0,290,12,426,8
105,4,0,0,644,28,0,52,227
106,202,1,354,262,81,0,25,0
107,3,26,23,68,13,1,301,501
108,42,10,9,7,213,683,0,0
109,354,9,0,0,569,30,1,0
110,300,1,1,0,88,416,0,136
111,1,0,1,20,8,724,33,166
112,16,53,9,0,295,468,40,3
113,62,864,5,3,0,18,0,2
114,117,360,225,208,10,1,1,0
115,63,3,1,8,595,2,256,17
116,266,59,70,44,169,22,53,167
117,102,591,5,217,0,3,0,1
118,11,171,0,0,411,281,3,1
119,0,283,0,566,0,45,0,34
120,0,328,46,222,0,85,57,166
121,472,213,250,2,0,0,0,0
122,498,0,294,1,169,0,3,0
123,468,33,0,0,396,9,0,0
124,272,271,36,282,46,20,1,0
125,0,0,10,1,267,4,426,238
126,640,0,72,0,33,0,232,2
127,0,504,13,431,0,0,1,10
128,25,956,0,0,0,0,0,0
129,0,213,0,690,0,10,0,17
130,25,375,0,56,113,292,8,16
131,0,0,1,1,413,547,1,1
132,148,0,122,95,149,0,218,161
133,232,479,195,34,8,0,4,0
