walk,sec0,sec1,sec2,sec3,sec4,sec5,sec6,sec7
0,1358,5524,422015,145440,0,682,331252,91052
1,96377,50479,440276,409717,0,0,319,4
2,338750,25110,612369,19666,4,9,549,3
3,15874,48149,184562,418504,11554,116223,43697,157445
4,2216,48605,143,71916,406790,148628,162164,156650
5,427,329,127005,740335,203,3,28566,100144
6,60,17476,25,53,706653,269340,1,4656
7,1971,5828,155952,196330,1858,10545,621844,4872
8,131628,243884,1104,7401,306977,8933,297940,1
9,0,2180,4,19327,3376,718713,905,253665
10,102289,8439,70565,212,127359,485831,201660,1685
11,194485,568153,24220,174026,26789,10336,3,13
12,15850,3377,270265,107627,4087,88642,214330,290260
13,141881,114050,45345,12088,91883,56607,322488,212251
14,0,3,9667,30746,0,2,638820,319432
15,31935,251669,18446,361011,11509,48988,34510,238909
16,8441,623426,21553,236760,15136,36284,31991,22840
17,6711,175,30948,0,116632,14,627897,216132
18,782,721908,354,61469,202,117910,762,95151
19,24048,154032,28927,251,223824,170628,329686,65675
20,643255,5964,271513,3722,23037,13910,29073,7858
21,4057,17124,11,33280,1,51389,548658,343373
22,3148,67635,300,314,83213,800631,43545,0
23,18386,200403,0,47546,23841,230650,0,476998
24,4360,146676,126990,531541,2852,0,98511,85503
25,142292,23735,405642,360646,4544,4,0,61027
26,18186,0,209995,87562,305,1209,384445,294239
27,1608,0,3,1,417948,866,552625,25177
28,2210,74,9888,57244,57,106546,1245,821318
29,2979,3706,179814,811653,43,8,22,977
30,109005,477283,9052,12919,1303,380576,6131,1605
31,34134,54778,9,23859,233035,524037,108026,18463
32,21027,1635,10534,6478,630619,290391,9608,26884
33,2,4,252468,173432,0,2,118681,453403
34,1,0,199,10747,776,519990,19116,446398
35,18053,2290,135777,19835,0,0,23949,798392
36,0,9930,42,18,705,476311,135,511272
37,0,0,0,0,26654,796372,67791,107335
38,33997,415528,1789,9316,12502,524921,3,7
39,438956,294004,69615,15328,24158,155667,8,0
40,441418,52099,1304,8977,77121,382678,5959,27120
41,1,5765,1815,266923,984,5879,164,717203
42,1257,3039,263256,59959,17,12,634377,35074
43,0,14040,3985,25242,0,139049,33347,781639
44,419519,3028,237574,338416,19,0,113,43
45,55668,50847,98627,59054,409643,142318,153256,27997
46,903,18021,372,61316,1225,462664,110,452341
47,60920,272813,482740,174912,0,152,4580,150
48,0,255,500534,57625,7,226,335941,103678
49,19921,458376,23903,475502,1681,244,15302,2591
50,4,2099,9546,9340,51776,561987,271556,91901
51,323412,18785,212449,14807,256894,724,161423,9309
52,391978,7098,4259,2918,561324,17610,4400,9234
53,22216,642557,4141,176660,16483,37602,205,97932
54,0,0,369,12637,551516,37768,364929,31536
55,152,596,9,73,103894,38298,846977,9277
56,0,0,14334,0,108883,2,850834,25121
57,510998,3,296486,4,151745,280,37871,220
58,60982,13402,141819,155080,37934,40747,146531,398570
59,46744,395352,10014,364297,13731,92664,7351,66201
60,87643,41871,123644,330335,421,52289,488,361011
61,9544,10295,2862,58851,13783,587422,24863,289102
62,139793,8299,569696,58984,45186,378,173333,380
63,663647,51336,4,111740,39110,8480,39010,83643
64,702232,55052,181811,2948,26139,13581,0,15171
65,82,691,838258,114795,154,3460,31909,8192
66,93755,5818,886557,10915,1,1,698,3
67,201,258,842898,93301,6,194,53561,7740
68,25144,118149,38619,11475,168576,556076,64248,14222
69,64,250,96624,3028,373382,55,517904,6807
70,412,42005,66,290,0,956889,0,0
71,0,14037,25590,851508,0,137,9,107495
72,1,12,35522,416349,9,43,2028,544023
73,50,68719,71,905400,0,50,0,24758
74,3505,1983,410415,175990,84322,37281,260914,22727
75,4180,24,0,225,868146,35638,70840,19610
76,0,17362,0,54704,167,668522,65921,191326
77,0,240,134771,149757,0,1834,695356,16311
78,115891,737562,38894,17592,30496,57458,1,23
79,457,72,71994,3599,452857,158266,240478,69127
80,37,122,74,155,95752,786793,1108,114762
81,1087,159150,0,5369,146661,630059,1,55265
82,54676,0,51789,23802,148114,0,667044,52713
83,8,115816,78,494260,34,4714,504,383237
84,3280,150,188,2,35295,527829,150680,279032
85,1792,24,53012,877576,201,24,8307,57857
86,18111,64593,201022,228149,103604,63569,238693,78339
87,0,0,636249,67125,1,1,294835,23
88,43921,74969,459212,114018,13857,38858,151790,99190
89,3589,604294,7088,97952,70,4731,36336,244028
90,82486,722810,1465,111276,1229,30178,15,47318
91,91590,26317,39697,86274,489188,151139,40705,71256
92,3147,14235,15322,24623,436225,178225,206011,120141
93,8806,7888,0,162,796416,118935,60112,6209
94,905,53747,32,250179,406395,116565,0,169503
95,719487,57032,217384,102,3140,102,72,4
