walk,l1,l2,x0,x1,x2,x3
0,216,129.367693,-56,-100,0,-60
1,226,122.914605,-98,-48,40,40
2,264,149.264865,48,104,-18,-94
3,474,273.049446,-210,-66,-156,42
4,540,305.705741,64,192,220,64
5,338,187.968082,-92,-124,-16,106
6,462,284.921042,-34,250,118,60
7,474,318.150908,-16,10,208,-240
8,258,156.652482,10,42,130,76
9,338,190.147311,70,-66,-158,-44
10,532,274.838134,192,-120,104,-116
11,294,156.652482,82,-52,-46,-114
12,464,240.516112,66,154,124,-120
13,204,126.712272,-2,-32,-102,-68
14,382,219.736205,-26,-158,-60,-138
15,224,138.361844,6,-96,-96,-26
16,370,242.082631,-98,-218,-30,24
17,348,226.803880,12,180,136,-20
18,396,245.161171,-172,36,-18,170
19,294,173.631794,-52,8,116,-118
20,338,212.329932,20,30,110,-178
21,406,262.305166,30,192,176,-8
22,322,181.978021,-20,-66,134,102
23,226,121.573023,50,54,-30,-92
24,146,99.297533,84,0,10,52
25,548,306.320094,190,22,148,-188
26,222,135.307058,-44,-48,118,-12
27,326,170.844959,100,-100,88,-38
28,352,189.187737,102,-122,-98,30
29,274,157.543645,92,-14,-116,-52
30,524,296.715352,-202,-34,-192,96
31,290,156.422505,-110,60,-88,32
32,146,109.599270,-8,-6,-26,-106
33,176,101.232406,46,84,26,20
34,174,110.797112,-40,-100,-24,10
35,224,126.142776,8,-80,-78,58
36,436,240.049995,152,-166,-60,-58
37,422,219.317122,-96,-78,156,-92
38,124,71.833140,-50,-48,-10,-16
39,354,216.175854,-184,62,94,-14
40,174,119.549153,-18,108,0,48
41,352,191.937490,64,50,150,88
42,292,187.552659,140,-4,122,26
43,708,396.756852,-200,-26,224,258
44,150,101.173119,-4,94,-30,22
45,140,76.000000,48,32,-48,-12
46,330,192.655132,-30,-38,-146,-116
47,216,140.313934,70,-18,8,-120
48,396,249.463424,194,36,152,-14
49,324,210.085697,-12,172,118,22
50,194,138.693908,20,44,130,0
51,304,168.783885,-114,16,94,80
52,296,154.038956,-70,-46,-106,-74
53,376,241.412510,-222,-56,-26,72
54,470,270.222131,-118,194,146,-12
55,274,184.943235,-44,-58,170,-2
56,228,130.199846,-98,70,48,12
57,226,130.153755,66,-98,-8,-54
58,220,119.699624,-68,16,78,-58
59,512,292.342265,40,78,188,-206
60,312,189.187737,42,58,-42,-170
61,330,190.735419,-34,-162,-68,66
62,398,214.093438,106,78,160,54
63,372,238.947693,-150,184,22,-16
64,352,203.528868,-146,94,6,-106
65,336,193.845299,-110,140,-10,76
66,276,185.062152,-142,118,12,-4
67,248,172.626765,24,-54,-162,8
68,266,154.466825,80,-22,-124,-40
69,316,200.139951,170,94,48,4
70,218,123.531373,60,6,-70,82
71,298,161.207940,-116,90,36,56
72,116,93.338095,-92,-12,10,2
73,314,212.405273,-46,202,36,30
74,604,373.448792,-304,-200,82,-18
75,144,84.427484,-30,-64,-46,4
76,270,145.010344,62,44,112,52
77,276,148.458748,78,34,108,56
78,312,216.240607,-188,6,12,106
79,228,122.735488,-64,-20,-62,-82
80,196,119.899958,-90,76,-10,-20
81,318,226.318360,212,-28,-74,4
82,234,133.071409,-62,-18,-48,106
83,114,64.776539,-50,12,16,-36
84,576,337.176512,-74,170,276,-56
85,200,156.690778,-14,154,-24,-8
