walk,l1,l2,x0,x1
0,1866,1782.076317,1780,86
1,2528,2065.681486,532,-1996
2,202,143.680200,-90,-112
3,656,553.859188,-542,-114
4,1384,1152.184013,1122,-262
5,2180,1747.469027,-508,-1672
6,1374,1281.600562,-1278,96
7,862,844.191921,-844,18
8,382,277.510360,-146,-236
9,1976,1911.139974,66,1910
10,3108,2244.370736,1232,1876
11,1098,776.868071,568,530
12,2058,1480.601229,-1222,836
13,2590,1839.918476,-1420,1170
14,1012,957.638763,-56,-956
15,1500,1270.067715,-1244,256
16,2964,2198.737820,-1012,-1952
17,1830,1309.712946,772,-1058
18,1962,1395.571567,-874,1088
19,1710,1311.416029,-496,1214
20,816,596.871846,300,-516
21,2654,1976.689151,-888,1766
22,1848,1464.786674,-456,-1392
23,2620,1989.092255,-1822,798
24,2056,1468.005450,-884,1172
25,586,524.171728,66,520
26,2114,1501.366045,1156,958
27,2002,1436.135091,1172,830
28,2698,2096.676418,-734,1964
29,1036,1020.125482,1020,-16
30,1910,1408.626281,-672,1238
31,2640,1869.093898,1254,-1386
32,1518,1153.674131,460,-1058
33,2184,1613.297245,-1422,-762
34,1424,1163.346896,300,1124
35,1034,851.786358,-208,-826
36,630,445.497475,312,318
37,956,676.372678,-494,462
38,2682,2580.096897,-2578,-104
39,190,166.048186,164,-26
40,1306,924.962702,616,690
41,1016,866.057735,-850,-166
42,1716,1304.153365,-520,-1196
43,2704,2146.627122,-2042,662
44,1002,723.914360,606,-396
45,2300,1911.334612,-440,-1860
46,2446,2185.751129,2168,-278
47,1390,1042.161216,-450,940
48,868,747.743271,-736,-132
49,2398,1711.622622,-1364,1034
50,1128,991.112506,-148,980
51,2054,1453.790907,982,1072
52,676,551.144264,144,532
53,520,403.792026,-378,-142
54,452,403.365839,-400,52
55,1498,1070.814643,638,-860
56,1466,1037.429516,762,704
57,3332,2499.462342,-2256,-1076
58,1164,1081.424986,86,-1078
59,740,651.115965,-96,644
60,4158,3321.713413,3172,-986
61,682,548.645605,156,526
62,2392,1692.345118,-1236,1156
63,2530,1794.673229,-1366,1164
64,1212,963.929458,294,918
65,742,588.832744,182,560
66,2370,1683.179135,-1296,-1074
67,164,129.027129,42,-122
68,2404,1832.517394,1686,-718
69,2254,1608.060944,976,-1278
70,2060,1523.650879,714,-1346
71,430,323.932092,136,-294
72,3680,2795.311789,-1118,-2562
73,2602,1844.998645,-1204,-1398
74,982,734.359585,-322,-660
75,444,325.969324,160,284
76,1900,1395.939827,-682,1218
77,2624,2302.450868,-2276,-348
78,1852,1335.718533,-740,-1112
79,1196,1102.364731,1098,-98
80,636,470.591118,-416,-220
81,1154,1146.027923,-8,-1146
82,2612,1875.385827,1076,1536
83,710,547.813837,-510,200
84,1270,916.936203,-504,766
85,1178,1108.341103,-1106,72
86,2238,1641.732012,-1428,-810
87,348,286.677519,-70,278
88,1122,798.360821,-624,498
89,942,834.105509,116,-826
90,1226,879.065413,510,716
91,988,700.085709,-462,-526
92,3942,2895.047495,1418,-2524
93,1914,1432.068434,-1288,-626
94,2938,2474.817973,-518,2420
95,1114,1035.252626,-82,-1032
96,868,675.804706,-234,-634
97,1056,947.130403,-940,116
98,1292,1025.881085,316,-976
99,1174,1142.448248,1142,-32
100,1094,882.960928,-848,246
101,3336,2807.133770,592,-2744
102,1384,1372.052477,12,-1372
103,1056,747.609524,502,554
104,932,734.923125,-236,696
105,1664,1183.797280,924,740
106,1894,1372.100579,1158,-736
107,1908,1354.887449,-866,-1042
108,2356,2064.329431,2040,316
109,2466,1745.857955,-1294,-1172
110,622,472.969344,434,-188
111,1420,1336.769240,1334,86
112,814,649.642979,620,-194
113,938,697.667543,-316,-622
114,514,463.158720,-460,54
115,2562,2325.477155,-250,2312
116,4806,3515.729796,-1766,3040
117,1958,1385.728689,938,-1020
118,1588,1149.532079,620,968
119,1852,1388.345778,600,-1252
120,2488,1771.029079,-1388,1100
121,410,312.774679,-288,122
122,1976,1683.472601,324,-1652
123,2918,2220.919629,2040,-878
124,1180,836.497460,-632,-548
125,308,220.000000,-132,-176
126,582,432.911076,-196,-386
127,3320,2349.231364,-1722,-1598
128,3924,2920.335597,1318,2606
129,4038,2875.232860,2258,-1780
130,752,567.408142,236,-516
131,904,665.924921,-584,-320
132,1004,711.758386,538,-466
133,1014,771.297608,306,-708
134,2968,2129.691057,1740,-1228
135,1218,1068.353874,162,1056
136,1608,1151.795121,674,934
137,722,620.196743,-112,610
138,2162,1783.121981,-1730,-432
139,840,594.212083,-432,-408
140,1482,1243.229665,-1214,268
141,684,650.888623,34,650
142,1490,1079.735153,578,-912
143,1834,1763.470442,1762,-72
144,3752,3155.515806,3084,668
145,110,93.744333,-18,-92
