walk,num_returns,first_return,return_steps
0,6,2,2;48;8280;8284;8288;8290
1,5,10,10;84;86;5312;5372
2,2,2,2;4
3,7,2676,2676;2680;2684;3034;11014;14336;14440
4,1,8,8
5,4,34,34;36;40;46
6,7,2,2;8358;8360;8522;8668;9374;28462
7,10,6,6;12;16;18;20;27736;27740;28210;28218;28230
8,4,2,2;4;66;70
9,0,-1,
10,0,-1,
11,6,4,4;14;76;82;88;98
12,4,4,4;6;8;2504
13,1,2,2
14,4,2,2;16;352754;352756
15,5,2,2;82152;82154;82164;82168
16,7,74822,74822;154786;154788;154794;154800;154866;161000
17,0,-1,
18,10,16,16;2360;2370;2372;2376;3094;6222;6224;6228;6230
19,5,5048,5048;5050;5144;5204;5218
20,1,2,2
21,0,-1,
22,3,40,40;4684;4686
23,2,18,18;22
24,0,-1,
25,6,4,4;10;38;291030;291034;291036
26,3,10,10;12074;12076
27,0,-1,
28,2,2,2;46
29,6,63312,63312;63348;63356;64728;175606;175608
30,0,-1,
31,2,2,2;8770
32,2,6,6;16
33,10,10202,10202;10324;10326;10336;10338;10340;10360;10670;10682;10686
34,1,12,12
35,0,-1,
36,8,4,4;10;12;792;58906;180456;184306;212000
37,0,-1,
38,2,12,12;532
39,2,2,2;4
40,5,2,2;4;6;10;13402
41,0,-1,
42,1,12,12
43,4,16,16;28;30;34
44,8,2,2;527960;528084;533262;533266;533268;533280;533284
45,3,32,32;91958;92024
46,3,2,2;124;130
47,8,2,2;4134;4140;4156;4158;4170;4192;4194
48,13,4,4;472;480;484;20842;20848;20862;20914;20932;20938;20940;20942;115854
49,1,2,2
50,3,2,2;326;330
51,2,2,2;436
52,14,2,2;8;18;1434;1504;1508;1818;1934;1940;1946;1970;1972;2794;2796
53,1,14,14
54,0,-1,
55,6,2838,2838;2840;2842;3106;3110;3120
56,2,2,2;230
57,3,10,10;12;14
58,5,2,2;4;6;120;122
59,4,2,2;4;120;869350
60,4,10,10;12;74;76
61,0,-1,
62,0,-1,
63,4,2,2;1544;1552;1554
64,27,2986,2986;2988;2990;2996;3000;3002;3096;3486;3506;3508;12288;12290;12292;105028;105052;105058;105182;105186;105192;156586;156686;156702;156718;156726;156728;156734;156736
65,8,3734,3734;3736;325736;885580;940210;941092;941094;941096
66,7,120,120;122;18650;18652;25074;25084;25086
67,0,-1,
68,6,2,2;14;2186;38902;39072;39074
69,5,34,34;38;40;46;48
70,11,17904,17904;17906;17910;18862;18864;18866;18868;18956;42356;42358;42404
71,6,1112,1112;1114;1150;1152;1218;1232
72,1,14,14
73,0,-1,
74,3,30850,30850;30856;30858
75,1,2,2
76,2,2,2;36
77,1,1312,1312
78,1,84,84
79,1,92,92
80,0,-1,
81,13,2,2;22;32;38;60;296;316;318;1750;1752;1754;2912;2922
82,0,-1,
83,14,148,148;150;222;224;242;244;246;268;272;3120;3134;516540;791596;791598
84,1,304,304
85,3,94,94;96;104
86,1,2,2
87,2,8,8;1222
88,4,2,2;32;36;1078
89,0,-1,
90,1,6,6
91,0,-1,
92,1,2,2
93,3,36,36;38;58
94,1,2,2
95,0,-1,
96,0,-1,
97,14,8,8;10;12;14;18;20;34;38;46;48;50;4440;4450;4454
98,0,-1,
99,0,-1,
100,23,4,4;34;40;46;48;50;192;214;236;486;494;3838;3934;6804;72452;72470;72654;113912;113946;113948;113952;113960;113968
101,9,2,2;1770;2286;2308;4910;5398;5400;5402;85630
102,1,84,84
103,2,2,2;8
104,12,4,4;16;24;28;9962;9986;11840;12826;12828;12830;12832;12978
105,0,-1,
106,1,4,4
107,0,-1,
108,2,2,2;12
109,5,1056,1056;1058;1060;1132;1134
110,1,2,2
111,7,30,30;44;46;54;39110;39116;39126
112,4,1650,1650;1652;1654;1682
113,2,300,300;304
114,3,2,2;4;6
115,0,-1,
116,1,2,2
117,3,6,6;14;20
118,12,4,4;21002;21006;21012;21016;21018;21278;21290;21300;28642;28644;28748
119,0,-1,
120,2,18,18;32
121,0,-1,
122,0,-1,
123,1,2,2
124,2,486,486;596
125,5,2,2;106;852948;852950;858684
126,4,66,66;68;5134;5142
127,15,2,2;66;68;70;112;136;138;3978;22792;22846;22870;22872;22874;22998;23038
128,0,-1,
129,1,4,4
130,1,26,26
131,4,2,2;156;206;352
132,4,265608,265608;265622;265674;265818
133,7,4,4;238;3704;3724;3726;3730;3732
134,12,2,2;4;18;3522;6058;6062;6084;6086;6088;9120;169400;169402
135,7,4,4;130;132;142;146;502;574
136,3,4,4;6;8
137,1,1692,1692
138,1,12,12
139,4,205758,205758;206868;206970;206980
140,4,558,558;568;399668;399670
141,2,60,60;153320
142,0,-1,
143,7,284,284;1512;1514;1724;1730;1738;1758
144,1,8,8
145,3,2,2;4;130
146,6,2,2;25312;33506;33554;33566;33568
147,0,-1,
148,0,-1,
149,6,3658,3658;125828;125830;125836;125904;126246
150,1,2,2
151,1,24,24
152,2,4,4;4148
153,4,48,48;50;52;221182
154,4,428,428;430;438;464
155,1,2878,2878
156,4,1618,1618;1696;1948;43902
157,19,2,2;18;126;132;282;284;372;374;3094;3096;3100;3118;3126;3130;3502;3506;5388;5410;5412
158,3,34,34;40;42
159,9,80,80;964;968;998;1000;1002;1014;1270;1280
160,3,2,2;4;6
161,8,2226,2226;2230;2232;3174;3176;3178;3180;3266
162,2,4,4;12844
163,0,-1,
164,0,-1,
165,1,8,8
166,9,542438,542438;629164;629168;629170;629174;629176;629178;629180;629204
167,9,44,44;46;50;52;58;60;62;72;92
168,1,2,2
169,3,6,6;16;1642
170,1,2,2
171,5,2,2;174;180;182;186
172,0,-1,
173,1,18,18
174,0,-1,
175,0,-1,
176,9,2,2;4;6;8;10;12;14;5804;317786
177,3,164,164;166;168
178,3,2,2;57948;57950
179,1,2,2
180,4,664,664;666;670;730
181,1,2,2
182,0,-1,
183,1,2,2
184,0,-1,
185,8,70,70;72;74;90;116;306;332;340
186,9,2,2;16;18;20;28;34;44;934;936
187,4,4,4;6;565960;565972
188,5,22066,22066;22352;22354;22356;22372
189,0,-1,
190,0,-1,
191,6,4,4;6;8;12;12122;12124
192,4,8,8;92;94;3056
