walk,n_minus,n_zero,n_plus,m_over_n
0,1000,0,0,1.0000000000
1,994,4,2,0.9960000000
2,932,29,39,0.9465000000
3,572,65,363,0.6045000000
4,915,22,63,0.9260000000
5,205,16,779,0.7870000000
6,29,8,963,0.9670000000
7,222,3,775,0.7765000000
8,0,2,998,0.9990000000
9,52,20,928,0.9380000000
10,130,9,861,0.8655000000
11,996,3,1,0.9975000000
12,783,4,213,0.7850000000
13,583,50,367,0.6080000000
14,430,56,514,0.5420000000
15,3,6,991,0.9940000000
16,5,9,986,0.9905000000
17,990,7,3,0.9935000000
18,154,14,832,0.8390000000
19,3,1,996,0.9965000000
20,351,60,589,0.6190000000
21,766,83,151,0.8075000000
22,918,25,57,0.9305000000
23,735,5,260,0.7375000000
24,18,11,971,0.9765000000
25,997,2,1,0.9980000000
26,453,43,504,0.5255000000
27,596,34,370,0.6130000000
28,994,3,3,0.9955000000
29,101,30,869,0.8840000000
30,276,9,715,0.7195000000
31,47,14,939,0.9460000000
32,984,5,11,0.9865000000
33,1,4,995,0.9970000000
34,14,10,976,0.9810000000
35,531,18,451,0.5400000000
36,781,8,211,0.7850000000
37,274,46,680,0.7030000000
38,87,20,893,0.9030000000
39,721,62,217,0.7520000000
40,262,33,705,0.7215000000
41,992,6,2,0.9950000000
42,331,46,623,0.6460000000
43,82,20,898,0.9080000000
44,352,30,618,0.6330000000
45,1,1,998,0.9985000000
46,951,18,31,0.9600000000
47,1,2,997,0.9980000000
48,999,1,0,0.9995000000
49,14,12,974,0.9800000000
50,484,79,437,0.5235000000
51,991,3,6,0.9925000000
52,934,29,37,0.9485000000
53,943,10,47,0.9480000000
54,42,6,952,0.9550000000
55,0,0,1000,1.0000000000
56,709,39,252,0.7285000000
57,483,84,433,0.5250000000
58,6,3,991,0.9925000000
59,27,22,951,0.9620000000
60,988,3,9,0.9895000000
61,83,12,905,0.9110000000
62,905,18,77,0.9140000000
63,797,56,147,0.8250000000
64,988,9,3,0.9925000000
65,959,11,30,0.9645000000
66,111,8,881,0.8850000000
67,769,37,194,0.7875000000
68,359,67,574,0.6075000000
69,269,31,700,0.7155000000
70,0,3,997,0.9985000000
71,940,9,51,0.9445000000
72,285,10,705,0.7100000000
73,758,26,216,0.7710000000
74,901,9,90,0.9055000000
75,0,5,995,0.9975000000
76,838,56,106,0.8660000000
77,954,9,37,0.9585000000
78,126,26,848,0.8610000000
79,229,31,740,0.7555000000
80,992,4,4,0.9940000000
81,711,15,274,0.7185000000
82,997,2,1,0.9980000000
83,808,40,152,0.8280000000
84,12,5,983,0.9855000000
85,457,37,506,0.5245000000
86,315,26,659,0.6720000000
87,927,15,58,0.9345000000
88,629,14,357,0.6360000000
89,202,44,754,0.7760000000
90,126,28,846,0.8600000000
91,628,7,365,0.6315000000
92,519,17,464,0.5275000000
93,192,37,771,0.7895000000
94,24,24,952,0.9640000000
95,727,17,256,0.7355000000
96,619,29,352,0.6335000000
97,583,14,403,0.5900000000
98,115,24,861,0.8730000000
99,5,2,993,0.9940000000
