walk,sec0,sec1,sec2,sec3,sec4,sec5,sec6,sec7
0,5,67,0,2,1,8,1,0
1,15,0,74,0,0,0,0,0
2,0,0,3,1,0,6,21,42
3,0,0,0,0,32,18,5,22
4,13,0,0,0,81,0,0,0
5,0,0,5,0,57,6,20,0
6,27,1,36,8,0,0,0,0
7,0,0,54,18,1,1,1,4
8,1,1,0,14,2,6,1,62
9,19,74,0,0,0,0,0,0
10,0,2,10,45,0,1,0,16
11,0,1,0,0,0,93,0,1
12,14,1,14,0,53,0,0,0
13,0,0,8,2,40,29,10,0
14,27,18,0,0,27,6,7,0
15,95,1,0,0,0,0,0,0
16,40,26,0,0,0,21,0,0
17,2,3,47,6,0,0,23,0
18,19,14,0,1,18,1,21,0
19,0,0,0,0,0,0,36,44
20,0,2,0,1,0,43,1,21
21,0,7,7,59,0,0,0,1
22,51,25,0,3,0,0,0,0
23,0,32,0,0,3,46,0,0
24,10,0,4,0,42,1,25,0
25,0,0,0,0,15,10,5,41
26,0,0,0,0,39,0,51,2
27,32,4,0,0,14,25,0,1
28,0,0,29,23,0,0,7,13
29,0,0,0,0,10,3,75,1
30,3,1,37,0,0,1,40,1
31,1,30,1,6,1,16,1,11
32,73,8,0,0,6,0,0,0
33,56,0,17,0,6,0,1,0
34,0,3,0,0,0,24,44,10
35,0,1,0,0,4,29,9,28
36,0,1,0,1,0,31,0,48
37,10,0,0,1,58,0,15,0
38,2,3,0,0,9,75,0,0
39,0,0,0,0,25,5,22,23
40,17,10,0,0,14,36,2,0
41,1,11,0,0,43,23,0,0
42,53,29,0,0,1,0,1,0
43,74,0,0,0,9,0,3,0
44,19,9,21,0,6,26,1,0
45,0,0,0,0,8,43,23,2
46,4,26,13,35,1,0,0,0
47,1,2,0,4,0,19,0,58
48,0,4,8,72,0,0,0,0
49,0,0,7,13,27,1,15,6
50,0,0,0,0,43,17,2,19
51,1,10,0,8,0,42,0,20
52,0,90,0,0,0,2,0,2
53,0,0,47,32,0,0,1,6
54,0,0,1,96,0,0,0,0
55,0,0,13,4,0,0,71,0
56,2,0,0,1,14,33,2,29
57,14,0,47,0,2,0,11,5
58,0,0,0,7,0,3,78,4
59,24,11,21,31,0,0,0,0
60,1,2,0,3,0,10,0,67
61,21,1,0,0,18,36,3,1
62,0,0,1,0,0,0,85,3
63,0,9,0,0,0,82,0,0
64,68,0,4,0,1,0,6,0
65,0,19,0,11,0,12,8,23
66,0,2,0,0,86,8,0,0
67,2,52,0,0,16,2,4,2
68,3,13,2,14,4,9,18,9
69,43,41,0,1,1,0,0,1
70,1,46,1,0,0,18,11,2
71,37,3,25,14,0,0,0,0
72,0,0,22,12,0,5,7,38
73,39,0,16,0,1,0,34,0
74,0,0,0,0,10,63,0,1
75,1,7,0,57,0,14,0,1
76,28,0,44,0,2,0,13,2
77,2,0,0,2,0,0,77,5
78,0,38,0,46,0,0,0,6
79,2,70,0,8,1,1,3,0
80,0,29,0,21,0,2,0,15
81,0,0,0,46,0,1,0,30
82,4,0,14,0,1,0,64,0
83,49,29,1,4,0,0,0,1
84,35,0,29,1,12,0,1,0
85,2,77,0,5,0,2,0,1
86,0,0,48,24,0,0,1,1
87,10,0,50,0,2,0,6,7
88,2,83,1,2,0,0,0,0
89,0,0,19,23,0,0,36,5
90,1,89,0,0,0,3,0,0
91,99,0,0,0,0,0,0,0
92,4,43,5,21,1,0,4,0
93,0,0,1,0,88,0,8,0
94,28,0,43,0,2,0,0,0
95,0,1,6,10,3,4,25,25
96,2,4,1,2,43,6,12,2
97,0,0,3,1,5,4,19,46
98,3,6,12,34,0,0,8,10
99,0,11,0,59,0,3,0,3
100,3,3,1,0,19,48,2,1
101,0,1,18,45,0,0,17,1
102,0,1,2,1,1,11,23,34
103,0,0,1,0,1,10,2,74
104,20,0,23,37,0,0,0,1
105,72,5,0,0,13,0,0,0
106,1,0,0,0,49,43,0,0
107,4,17,0,0,2,63,0,1
108,1,8,0,4,0,23,0,48
109,2,25,0,1,4,15,0,27
110,3,0,1,13,1,58,0,6
111,0,0,0,0,1,0,9,82
112,14,10,50,7,0,0,0,0
113,11,13,56,0,0,1,7,0
114,34,11,18,2,14,0,3,1
115,2,1,0,0,16,2,39,16
116,62,0,7,0,3,0,7,1
117,8,33,5,27,3,3,0,1
