walk,n_minus,n_zero,n_plus,m_over_n
0,30956,347,968697,0.9688705000
1,394383,1402,604215,0.6049160000
2,18268,157,981575,0.9816535000
3,853307,660,146033,0.8536370000
4,154158,818,845024,0.8454330000
5,816341,264,183395,0.8164730000
6,73248,1350,925402,0.9260770000
7,657922,1687,340391,0.6587655000
8,110026,498,889476,0.8897250000
9,616757,2461,380782,0.6179875000
10,459494,1499,539007,0.5397565000
11,999790,58,152,0.9998190000
12,713165,638,286197,0.7134840000
13,949620,367,50013,0.9498035000
14,808128,651,191221,0.8084535000
15,543133,1098,455769,0.5436820000
16,163698,1484,834818,0.8355600000
17,100386,107,899507,0.8995605000
18,385153,1724,613123,0.6139850000
19,612592,1775,385633,0.6134795000
20,814080,277,185643,0.8142185000
21,200615,971,798414,0.7988995000
22,441167,1409,557424,0.5581285000
23,145477,1076,853447,0.8539850000
24,8196,218,991586,0.9916950000
25,121108,640,878252,0.8785720000
26,1077,221,998702,0.9988125000
27,964149,254,35597,0.9642760000
28,885610,734,113656,0.8859770000
29,517397,2163,480440,0.5184785000
30,829534,1419,169047,0.8302435000
31,748736,317,250947,0.7488945000
32,910219,922,88859,0.9106800000
33,759698,480,239822,0.7599380000
34,534835,902,464263,0.5352860000
35,890009,1253,108738,0.8906355000
36,947088,434,52478,0.9473050000
37,421776,546,577678,0.5779510000
38,448217,717,551066,0.5514245000
39,298378,920,700702,0.7011620000
40,20,7,999973,0.9999765000
41,597820,2349,399831,0.5989945000
42,660149,209,339642,0.6602535000
43,199259,1379,799362,0.8000515000
44,471259,1209,527532,0.5281365000
45,51094,51,948855,0.9488805000
46,285,24,999691,0.9997030000
47,631419,2658,365923,0.6327480000
48,577845,1393,420762,0.5785415000
49,806628,904,192468,0.8070800000
50,13912,142,985946,0.9860170000
51,157313,1868,840819,0.8417530000
52,830271,1754,167975,0.8311480000
53,63633,890,935477,0.9359220000
54,595764,1747,402489,0.5966375000
55,941289,194,58517,0.9413860000
56,70351,320,929329,0.9294890000
57,336819,2024,661157,0.6621690000
58,884423,730,114847,0.8847880000
59,843796,1100,155104,0.8443460000
60,844795,517,154688,0.8450535000
61,2242,38,997720,0.9977390000
62,978972,224,20804,0.9790840000
63,62065,453,937482,0.9377085000
64,978661,396,20943,0.9788590000
65,134832,234,864934,0.8650510000
66,173779,647,825574,0.8258975000
67,993746,188,6066,0.9938400000
68,377343,1131,621526,0.6220915000
69,3260,101,996639,0.9966895000
70,270795,1294,727911,0.7285580000
71,917137,743,82120,0.9175085000
72,820245,862,178893,0.8206760000
73,122832,582,876586,0.8768770000
74,1268,54,998678,0.9987050000
75,990862,204,8934,0.9909640000
76,117256,380,882364,0.8825540000
77,685416,1819,312765,0.6863255000
78,33352,190,966458,0.9665530000
79,767500,1608,230892,0.7683040000
80,83486,1333,915181,0.9158475000
81,74475,768,924757,0.9251410000
82,145146,878,853976,0.8544150000
83,714573,1165,284262,0.7151555000
84,16199,64,983737,0.9837690000
85,444156,1827,554017,0.5549305000
86,3929,203,995868,0.9959695000
87,705058,705,294237,0.7054105000
88,20996,329,978675,0.9788395000
89,503019,1167,495814,0.5036025000
90,961987,101,37912,0.9620375000
91,996547,89,3364,0.9965915000
92,46697,282,953021,0.9531620000
93,650460,1352,348188,0.6511360000
94,359519,1003,639478,0.6399795000
95,677655,1592,320753,0.6784510000
