walk,num_returns,first_return,return_steps
0,3,26,26;432;434
1,1,2,2
2,2,6,6;16
3,2,300,300;378
4,0,-1,
5,3,8,8;10;774
6,1,2,2
7,3,4,4;10;12
8,0,-1,
9,0,-1,
10,10,2,2;58;70;108;110;112;120;164;180;182
11,1,2,2
12,1,872,872
13,4,4,4;8;10;446
14,0,-1,
15,1,446,446
16,3,96,96;98;104
17,0,-1,
18,0,-1,
19,12,2,2;4;6;12;14;16;18;22;40;50;58;62
20,10,3472,3472;4862;4864;5214;5216;5302;7606;7614;7674;7676
21,2,2,2;42
22,8,2,2;4;22;26;28;34;70;72
23,2,4,4;14
24,7,2,2;10;16;20;764;766;1446
25,1,2,2
26,1,194,194
27,2,4,4;92
28,1,6,6
29,5,2554,2554;2558;2566;4734;4736
30,2,4,4;290
31,2,2022,2022;2032
32,1,2,2
33,2,246,246;248
34,2,6,6;8
35,0,-1,
36,3,10,10;50;58
37,0,-1,
38,5,2,2;126;128;132;146
39,18,226,226;228;232;248;262;270;298;300;302;358;360;364;366;368;600;618;620;976
40,0,-1,
41,0,-1,
42,1,18,18
43,0,-1,
44,0,-1,
45,1,2,2
46,5,26,26;30;56;60;64
47,2,2,2;4
48,0,-1,
49,7,58,58;66;70;72;74;76;90
50,4,26,26;30;118;120
51,1,3710,3710
52,4,4,4;6;94;96
53,2,88,88;90
54,1,2,2
55,4,34,34;42;52;62
56,9,12,12;26;28;114;168;220;2374;3468;3470
57,5,110,110;116;376;378;472
58,0,-1,
59,1,2,2
60,3,348,348;352;364
61,4,4,4;14;16;72
62,0,-1,
63,0,-1,
64,2,2,2;216
65,4,2,2;8;16;18
66,0,-1,
67,3,1276,1276;1390;1396
68,1,214,214
69,6,2,2;12;282;286;288;1176
70,6,2,2;4;38;1158;1168;1250
71,1,2,2
72,0,-1,
73,6,2,2;4;6;8;12;14
74,0,-1,
75,0,-1,
76,22,14,14;70;72;234;790;820;824;832;904;906;908;910;912;920;1236;1248;1250;1252;1256;1338;1556;1558
77,2,2,2;8
78,2,2,2;8
79,1,6,6
80,1,110,110
81,1,24,24
82,2,8,8;10
83,3,2,2;186;188
84,0,-1,
85,0,-1,
86,4,12,12;34;40;44
87,1,34,34
88,3,112,112;114;116
89,6,2,2;4;50;52;112;1112
90,4,20,20;26;28;36
91,9,98,98;2540;2542;2544;2558;2564;2868;2874;2876
92,1,10,10
93,0,-1,
94,0,-1,
95,2,10,10;12
96,0,-1,
97,2,6,6;10
98,7,168,168;170;180;182;620;710;838
99,1,4,4
100,3,1388,1388;1390;1394
101,3,5618,5618;9382;9470
102,1,9994,9994
103,4,2,2;4;16;20
104,2,190,190;192
105,4,44,44;48;50;82
106,0,-1,
107,0,-1,
108,0,-1,
109,5,1294,1294;1298;1300;1326;1332
110,6,2,2;4;8;50;52;54
111,0,-1,
112,4,130,130;140;142;944
113,0,-1,
114,9,2,2;8;1114;1116;1340;1344;1354;1640;1642
115,2,6292,6292;6294
116,4,42,42;198;210;212
117,4,2,2;2360;2374;2376
118,0,-1,
119,2,2,2;8
120,1,6,6
121,11,106,106;116;130;178;236;238;364;366;3148;3170;5846
122,0,-1,
123,1,2,2
124,4,8,8;10;1372;1374
125,1,50,50
126,3,4,4;594;598
127,0,-1,
128,1,20,20
129,2,10,10;20
130,8,24,24;26;198;286;290;300;302;316
131,3,5212,5212;5214;5216
132,2,12,12;16
133,2,20,20;22
134,0,-1,
135,0,-1,
136,0,-1,
137,2,4,4;18
138,4,2,2;4264;4266;4438
139,1,2,2
140,1,2,2
141,1,88,88
142,0,-1,
143,0,-1,
144,0,-1,
145,0,-1,
146,0,-1,
147,7,2,2;6;22;176;180;198;200
148,9,2,2;234;2688;2690;2692;2696;2704;2710;2712
149,1,4,4
150,0,-1,
151,0,-1,
152,5,84,84;460;464;466;468
