walk,num_returns,first_return,return_steps
0,1,4,4
1,1,6,6
2,2,4,4;8
3,0,-1,
4,0,-1,
5,2,2,2;10
6,0,-1,
7,3,2,2;4;12
8,0,-1,
9,0,-1,
10,1,2,2
11,1,10,10
12,1,56,56
13,0,-1,
14,1,24,24
15,0,-1,
16,1,28,28
17,0,-1,
18,3,2,2;4;10
19,1,2,2
20,0,-1,
21,0,-1,
22,0,-1,
23,1,12,12
24,3,2,2;4;6
25,0,-1,
26,5,24,24;30;36;38;40
27,3,2,2;4;10
28,1,6,6
29,6,2,2;4;6;18;20;40
30,0,-1,
31,0,-1,
32,1,2,2
33,4,4,4;28;32;82
34,0,-1,
35,1,18,18
36,1,8,8
37,5,8,8;20;46;62;64
38,0,-1,
39,3,2,2;6;16
40,1,6,6
41,0,-1,
42,0,-1,
43,0,-1,
44,0,-1,
45,0,-1,
46,1,2,2
47,3,2,2;16;48
48,0,-1,
49,0,-1,
50,0,-1,
51,0,-1,
52,2,2,2;4
53,5,2,2;10;12;18;20
54,1,2,2
55,7,2,2;6;8;10;32;36;38
56,0,-1,
57,0,-1,
58,0,-1,
59,2,2,2;6
60,0,-1,
61,5,28,28;32;40;44;96
62,0,-1,
63,0,-1,
64,0,-1,
65,0,-1,
66,0,-1,
67,2,2,2;12
68,0,-1,
69,1,2,2
70,1,6,6
71,0,-1,
72,3,34,34;36;42
73,1,12,12
74,2,10,10;12
75,0,-1,
76,0,-1,
77,1,22,22
78,0,-1,
79,0,-1,
80,0,-1,
81,9,10,10;12;14;16;64;78;88;92;96
82,2,2,2;4
83,2,2,2;6
84,3,6,6;8;10
85,4,2,2;18;20;74
86,0,-1,
87,2,2,2;4
88,2,2,2;4
89,2,4,4;6
90,2,14,14;16
91,3,2,2;32;34
92,0,-1,
93,0,-1,
94,1,16,16
95,0,-1,
96,5,6,6;10;12;14;16
97,0,-1,
98,1,4,4
99,0,-1,
100,1,4,4
101,0,-1,
102,1,2,2
103,3,6,6;30;32
104,0,-1,
105,2,78,78;94
106,2,6,6;8
107,0,-1,
108,0,-1,
109,4,36,36;44;50;54
110,3,20,20;34;36
111,1,2,2
112,0,-1,
113,3,2,2;4;32
114,3,2,2;4;38
115,1,2,2
116,1,4,4
117,1,12,12
118,2,8,8;10
119,3,90,90;92;100
120,0,-1,
121,2,2,2;4
122,1,24,24
123,0,-1,
124,1,8,8
125,2,18,18;20
126,0,-1,
127,1,2,2
128,2,20,20;22
129,0,-1,
130,4,2,2;6;12;28
131,2,2,2;4
132,0,-1,
133,3,30,30;32;48
134,5,6,6;8;10;12;64
135,1,2,2
136,6,6,6;42;54;58;66;76
137,1,2,2
138,0,-1,
139,0,-1,
140,2,2,2;6
141,2,4,4;6
142,0,-1,
143,1,38,38
144,2,2,2;6
145,2,2,2;12
146,1,2,2
147,0,-1,
148,0,-1,
149,4,2,2;8;10;12
150,1,4,4
151,3,78,78;80;82
152,1,2,2
153,0,-1,
154,1,6,6
155,0,-1,
156,1,2,2
157,1,76,76
158,1,2,2
159,6,4,4;10;20;40;68;70
160,3,2,2;8;10
161,1,28,28
162,2,26,26;48
163,2,2,2;4
164,1,6,6
165,0,-1,
166,0,-1,
167,4,10,10;14;30;32
168,7,2,2;4;36;56;58;68;70
169,0,-1,
170,0,-1,
171,1,2,2
172,0,-1,
173,3,28,28;30;62
174,0,-1,
175,0,-1,
176,1,2,2
177,2,4,4;6
178,0,-1,
179,2,84,84;86
180,0,-1,
181,0,-1,
182,0,-1,
183,1,4,4
184,0,-1,
185,2,2,2;8
186,0,-1,
187,4,2,2;4;8;10
188,2,22,22;24
189,1,2,2
190,0,-1,
191,0,-1,
192,2,2,2;4
193,2,2,2;4
194,1,8,8
195,0,-1,
196,4,12,12;16;34;50
197,6,4,4;6;54;58;60;62
198,2,6,6;8
199,0,-1,
200,0,-1,
201,2,36,36;38
202,1,8,8
203,0,-1,
204,1,2,2
205,5,8,8;10;14;16;18
206,3,6,6;14;26
207,2,64,64;68
208,2,2,2;26
209,0,-1,
210,0,-1,
211,0,-1,
212,0,-1,
213,2,10,10;22
214,6,52,52;54;60;62;64;72
215,0,-1,
216,0,-1,
217,0,-1,
218,2,2,2;4
219,0,-1,
220,1,40,40
221,2,2,2;12
222,0,-1,
223,0,-1,
224,1,18,18
225,0,-1,
226,0,-1,
227,0,-1,
228,1,2,2
229,1,14,14
230,0,-1,
231,1,80,80
232,1,18,18
233,2,80,80;84
234,0,-1,
235,0,-1,
236,0,-1,
237,0,-1,
238,1,4,4
239,0,-1,
240,8,8,8;12;18;22;24;32;34;36
241,0,-1,
242,1,2,2
243,0,-1,
244,0,-1,
245,0,-1,
246,0,-1,
247,0,-1,
248,0,-1,
249,0,-1,
250,1,8,8
