walk,sec0,sec1,sec2,sec3,sec4,sec5,sec6,sec7,sec8,sec9,sec10,sec11,sec12,sec13,sec14,sec15
0,4,1,36,6,9,11,783,49,0,2,0,0,3,18,0,6
1,0,13,92,116,0,0,58,249,2,0,0,0,0,0,3,371
2,0,0,306,0,0,0,19,5,0,0,356,22,0,0,176,29
3,54,7,0,0,0,97,0,0,208,0,0,0,586,19,0,0
4,0,0,0,215,13,121,0,547,0,0,0,5,4,7,0,1
5,0,0,55,0,5,0,196,0,0,0,24,0,1,0,663,0
6,26,0,854,89,0,0,0,0,0,0,0,2,0,0,1,1
7,3,0,14,6,176,687,6,44,0,0,0,0,0,0,0,0
8,458,28,29,0,55,0,16,0,117,59,98,0,1,0,25,0
9,6,385,0,306,139,57,1,1,0,22,0,3,0,1,0,0
10,1,0,8,0,76,0,229,0,1,0,22,0,106,63,338,2
11,0,0,0,0,0,0,0,0,221,84,13,173,330,51,10,0
12,1,0,0,0,1,0,11,4,39,85,20,1,43,113,24,599
13,0,10,1,1,238,70,206,198,0,13,0,0,66,18,33,0
14,6,0,1,3,0,0,0,0,142,1,97,72,326,0,258,1
15,3,0,245,437,0,0,0,0,36,1,136,84,2,2,0,0
16,371,1,120,3,381,3,4,0,7,0,5,9,10,0,0,0
17,359,247,3,0,0,0,0,0,83,2,2,0,152,79,1,0
18,8,0,1,0,221,29,234,397,28,0,0,0,7,12,0,3
19,44,0,57,0,6,0,213,86,20,24,38,0,16,1,417,1
20,41,25,13,1,22,72,4,0,243,22,0,0,79,319,0,48
21,7,6,419,393,22,8,0,0,0,0,17,47,0,0,0,0
22,133,0,0,0,220,0,0,0,169,0,3,0,416,0,3,1
23,0,0,0,0,0,0,0,0,58,112,20,439,305,2,14,1
24,12,0,2,2,70,8,0,1,0,0,0,0,170,50,165,451
25,40,4,7,4,0,0,0,0,492,98,81,178,0,0,0,5
26,29,2,160,93,5,2,354,21,9,0,173,0,2,0,20,0
27,0,776,0,83,0,30,0,3,3,16,0,0,1,4,0,2
28,0,0,1,3,87,369,1,6,0,1,11,12,294,96,7,0
29,36,63,141,12,193,3,406,59,0,0,0,0,0,0,0,0
30,6,7,0,94,0,1,0,84,2,0,35,202,2,78,7,333
31,5,0,0,0,6,0,195,740,1,0,1,0,4,0,13,0
32,0,0,32,84,0,0,1,15,53,0,373,120,2,1,43,185
33,40,55,0,0,15,7,0,0,718,45,0,0,48,2,0,0
34,227,0,6,0,119,0,2,0,320,0,0,0,254,1,0,0
35,84,1,0,0,0,0,0,0,857,1,20,1,0,0,0,0
36,107,208,53,88,0,17,0,0,258,76,7,54,0,0,0,0
37,0,69,0,54,0,8,9,51,0,598,0,75,0,1,0,18
38,0,0,204,66,0,0,73,11,0,0,305,28,0,0,90,93
39,12,0,3,0,190,53,586,12,0,0,0,0,29,0,8,0
40,12,7,0,0,34,16,85,0,170,0,26,0,497,10,56,0
41,11,350,89,235,4,3,0,111,23,1,0,8,24,0,8,30
42,308,48,358,0,0,0,0,0,73,130,0,4,0,1,0,0
43,55,59,0,3,2,2,114,123,2,16,312,99,0,3,10,81
44,0,98,0,23,0,3,0,44,115,233,0,23,4,8,0,338
45,0,2,268,10,0,7,487,11,12,13,0,58,1,11,16,21
46,18,298,4,0,92,194,1,0,0,0,6,0,2,325,7,0
47,0,0,55,215,0,0,139,9,7,0,136,123,5,0,155,20
48,6,11,25,0,1,0,126,0,5,2,194,0,2,0,538,0
49,0,0,0,0,50,1,125,0,0,0,0,0,250,1,518,0
50,104,1,489,44,13,3,99,0,74,0,59,1,1,0,3,0
51,1,6,50,269,0,0,0,0,0,0,51,559,0,0,0,10
52,0,0,0,35,0,0,0,135,2,0,0,506,9,0,1,279
53,1,21,0,0,0,8,0,0,802,82,40,9,2,0,0,0
54,16,0,12,17,0,6,195,30,27,2,9,0,1,12,577,15
55,1,7,0,0,18,495,1,74,0,30,0,0,0,263,0,29
56,91,0,298,0,0,0,0,0,6,17,82,454,0,0,0,0
57,0,6,0,0,0,11,0,1,9,41,32,185,2,0,489,126
58,152,19,314,123,107,83,39,35,1,0,0,0,9,2,0,4
59,0,11,0,0,0,14,0,4,0,147,1,179,0,444,0,150
60,22,178,0,506,1,35,0,204,0,0,0,0,0,0,0,0
61,0,20,1,3,0,15,1,4,0,44,0,523,0,4,0,307
62,6,193,0,25,236,333,0,105,0,6,1,2,0,0,0,0
63,3,0,819,0,1,0,5,0,2,0,25,18,16,30,22,4
64,0,0,0,0,0,0,0,3,35,1,588,4,17,0,249,37
65,0,0,0,10,213,2,87,86,0,4,0,426,23,5,12,27
66,32,0,0,0,0,0,0,0,68,65,228,455,0,1,53,2
67,1,0,215,64,0,1,23,28,7,0,328,26,0,0,176,4
68,0,0,0,0,0,0,19,0,0,0,317,164,1,0,360,73
69,0,0,0,0,0,0,0,0,135,417,101,234,1,0,3,0
70,0,9,13,75,3,23,1,89,0,2,83,125,18,57,63,274
71,6,55,0,55,17,1,0,0,4,27,0,53,482,189,0,6
72,0,0,0,0,0,0,0,0,0,0,0,0,48,8,407,481
73,1,0,0,0,0,0,0,0,4,0,0,0,0,0,891,88
74,1,0,1,2,1,0,0,1,0,0,110,40,66,0,597,113
75,13,0,1,0,7,0,34,0,47,189,13,2,3,240,294,49
76,0,0,0,0,0,91,0,6,0,0,23,0,10,104,494,202
77,105,1,460,21,0,0,0,0,4,3,300,19,0,0,0,0
78,127,163,10,0,95,139,46,0,14,3,0,0,186,55,0,1
79,1,4,0,0,651,248,15,1,0,1,2,12,5,0,0,0
80,222,0,78,0,170,43,102,40,71,0,18,1,78,6,11,10
81,106,57,624,100,7,0,1,0,0,0,3,2,0,1,1,1
82,91,374,0,0,30,416,0,34,1,0,0,0,3,3,0,1
83,88,1,144,0,22,0,132,0,479,1,45,0,9,0,13,0
84,37,188,14,41,0,0,0,0,55,626,0,0,0,0,0,0
85,11,208,160,393,0,0,27,37,0,0,6,20,0,0,0,19
86,3,1,1,29,0,23,0,106,105,21,0,156,4,319,0,136
87,0,20,0,84,11,38,0,118,0,75,0,537,0,0,0,62
88,31,68,3,37,15,0,0,0,309,286,13,1,29,110,0,0
89,75,215,49,244,0,23,0,1,0,19,0,150,0,114,0,28
90,36,1,12,9,137,7,423,0,0,0,57,2,36,0,185,12
91,0,326,0,13,0,110,0,0,22,381,0,1,19,42,0,0
92,3,2,2,0,0,0,0,0,26,73,1,49,0,268,24,493
93,0,1,0,66,0,0,0,33,0,2,64,283,0,1,4,470
94,129,17,53,311,74,5,6,289,0,0,0,0,0,0,0,0
95,0,0,0,0,451,95,12,39,21,65,0,6,49,48,46,73
96,0,0,28,79,2,12,74,90,9,73,7,292,3,121,0,99
97,0,3,1,0,2,22,0,1,47,38,0,1,792,33,2,2
98,45,0,0,0,59,1,12,4,67,1,0,2,481,4,192,32
99,172,229,5,1,230,149,100,1,0,0,0,0,0,0,0,0
100,11,1,0,0,921,30,0,13,0,0,0,0,0,0,0,0
101,0,7,42,1,53,20,796,14,0,0,0,0,0,2,0,10
102,0,681,0,7,2,2,0,0,0,247,0,0,2,0,2,2
103,1,1,0,116,0,1,142,394,10,0,5,247,4,0,12,0
104,17,31,10,45,1,3,0,0,195,200,287,75,0,3,0,0
105,0,0,0,0,0,0,0,1,97,490,0,10,0,274,0,88
106,21,3,18,0,0,0,100,50,0,0,9,0,151,149,364,8
107,27,39,2,2,0,2,9,3,39,166,0,653,0,0,0,0
108,0,0,128,69,17,0,59,145,45,12,0,0,448,4,4,0
109,0,0,0,0,0,0,0,0,22,33,810,62,3,0,18,0
110,0,4,0,18,0,4,11,139,0,40,4,140,0,2,82,435
