walk,l1,l2,x0,x1,x2,x3
0,38,21.071308,14,-14,4,6
1,40,23.832751,18,0,-10,-12
2,22,13.416408,-4,4,-2,12
3,30,18.439089,-8,4,16,-2
4,20,10.954451,-4,8,6,2
5,10,5.291503,4,-2,2,-2
6,24,16.733201,-2,-4,-2,16
7,40,25.768197,-2,-16,2,-20
8,50,25.219040,12,-10,14,-14
9,36,22.803509,4,20,-2,10
10,32,20.976177,18,0,-4,-10
11,30,22.360680,0,0,10,-20
12,8,6.324555,0,0,6,2
13,28,14.696938,-8,-4,6,10
14,62,32.310989,8,20,-18,16
15,54,27.202941,-14,12,12,16
16,28,15.748016,2,-8,-6,12
17,46,27.349589,0,-10,18,-18
18,22,12.165525,-4,-2,-8,-8
19,14,7.745967,-6,2,2,-4
20,24,16.248077,0,-8,-2,-14
21,14,7.211103,-4,4,-4,2
22,50,25.219040,-12,14,-14,10
23,34,19.493589,14,6,-12,-2
24,30,16.852300,6,4,14,-6
25,42,28.354894,-26,8,-8,0
26,46,28.354894,-14,-4,-4,-24
27,28,20.976177,-6,0,-2,20
28,50,28.354894,10,8,24,8
29,38,21.447611,-8,-6,-18,6
30,22,13.416408,-2,4,12,4
31,14,7.745967,-6,2,-2,4
32,26,14.560220,-6,-4,-4,12
33,20,11.661904,6,-6,8,0
34,24,12.328828,-6,8,4,-6
35,22,14.560220,12,2,-8,0
36,42,23.916521,-4,-18,-6,14
37,40,21.908902,-4,16,-12,-8
38,42,21.633308,-12,6,12,-12
39,22,16.124515,0,-14,-8,0
40,28,17.663522,10,4,0,14
41,20,14.422205,14,2,-2,-2
42,42,21.447611,10,10,14,8
43,50,28.635642,16,4,-8,22
44,26,14.000000,8,-10,-4,4
45,56,39.597980,36,4,0,-16
46,28,15.748016,6,-2,-8,12
47,44,22.803509,-10,-8,-16,10
48,24,14.142136,10,8,0,-6
49,46,27.495454,16,10,0,-20
50,12,6.324555,2,4,-2,4
51,38,21.633308,-2,-16,12,-8
52,14,8.717798,0,2,6,-6
53,28,18.110770,2,16,-2,8
54,26,13.711309,-4,6,-6,-10
55,64,34.525353,-14,8,26,-16
56,32,18.330303,-14,10,6,2
57,26,16.370706,-8,14,2,2
58,46,28.495614,-6,6,26,8
59,24,18.547237,-18,0,-2,4
60,28,19.390719,0,6,-4,-18
61,36,18.973666,6,-14,-8,-8
62,36,20.199010,-8,-12,2,-14
63,30,16.852300,6,-4,14,-6
