walk,l1,l2,x0,x1
0,24,18.973666,-18,-6
1,10,8.246211,2,-8
2,28,21.540659,8,20
3,6,4.472136,-4,2
4,6,4.472136,-4,2
5,36,26.832816,24,-12
6,24,22.090722,2,22
7,10,8.246211,-8,2
8,14,14.000000,14,0
9,16,14.142136,-2,-14
10,12,12.000000,0,12
11,10,7.211103,-4,-6
12,2,2.000000,0,2
13,16,12.649111,12,-4
14,12,8.944272,8,4
15,20,15.231546,-6,-14
16,24,17.888544,-8,16
17,26,18.439089,12,14
18,2,2.000000,0,-2
19,40,28.425341,22,-18
20,34,28.635642,-28,6
21,14,10.770330,4,10
22,38,28.635642,26,-12
23,10,10.000000,10,0
24,28,20.591260,18,-10
25,22,22.000000,0,-22
26,8,6.324555,-2,-6
27,22,15.620499,-12,-10
28,38,28.635642,-26,-12
29,12,8.944272,4,-8
30,8,6.324555,-6,2
31,10,8.246211,-2,-8
32,12,8.944272,4,-8
33,10,8.246211,-2,8
34,10,8.246211,8,-2
35,12,8.485281,-6,6
36,14,10.000000,-8,-6
37,10,7.211103,4,-6
38,14,10.000000,8,6
39,10,10.000000,-10,0
40,28,21.540659,20,-8
41,18,14.560220,4,-14
42,22,15.620499,-10,12
43,22,16.124515,-8,-14
44,24,22.090722,2,22
45,42,31.304952,-14,28
46,8,8.000000,8,0
47,26,19.697716,18,8
48,30,21.260292,16,14
49,24,16.970563,-12,-12
50,8,6.324555,-2,6
51,12,10.198039,10,-2
52,10,7.211103,-4,-6
53,6,4.472136,2,4
54,2,2.000000,0,2
55,18,16.124515,2,-16
56,22,16.124515,-8,14
57,6,4.472136,-4,2
58,10,8.246211,-8,2
59,6,4.472136,2,-4
60,14,10.000000,6,-8
61,2,2.000000,2,0
62,26,18.867962,-16,-10
63,16,11.661904,-6,10
64,30,21.633308,12,-18
65,18,12.806248,-10,-8
66,20,14.422205,-12,8
67,18,13.416408,6,-12
68,36,27.856777,10,26
69,14,12.165525,12,-2
70,20,15.231546,14,6
71,4,2.828427,-2,2
72,22,18.439089,18,-4
73,18,12.806248,8,10
74,26,19.697716,-18,8
75,28,21.540659,8,20
76,42,30.528675,16,26
77,24,17.204651,-14,-10
78,26,20.880613,-6,-20
79,14,10.770330,-4,10
80,18,12.806248,-10,-8
81,6,4.472136,4,-2
82,16,14.142136,14,2
83,6,4.472136,-2,-4
84,14,10.000000,8,-6
85,10,8.246211,-2,-8
86,24,18.973666,6,-18
87,22,15.620499,-12,10
88,6,4.472136,-2,-4
89,2,2.000000,2,0
90,20,14.422205,-8,12
91,10,8.246211,-8,2
92,22,17.088007,-16,-6
93,24,17.888544,8,-16
94,8,8.000000,0,8
95,28,20.000000,-12,16
96,10,7.211103,-6,-4
97,14,10.000000,8,-6
98,8,8.000000,0,-8
99,16,14.142136,-14,-2
100,20,15.231546,14,6
101,24,17.204651,10,-14
102,38,27.202941,16,22
103,16,11.661904,6,10
104,10,7.211103,-6,-4
105,6,6.000000,0,6
106,8,6.324555,-6,2
107,8,6.324555,6,-2
108,28,22.803509,22,-6
109,26,20.880613,6,20
110,10,7.211103,4,-6
111,22,17.088007,-16,6
112,22,16.124515,8,14
113,24,17.888544,16,8
114,16,12.649111,-12,4
115,24,17.888544,8,-16
116,26,19.697716,18,8
117,18,12.806248,8,-10
118,30,22.360680,10,20
119,0,0.000000,0,0
120,8,6.324555,-2,-6
121,6,4.472136,2,4
122,14,12.165525,-12,-2
123,14,12.165525,12,-2
124,18,14.560220,-4,14
125,6,6.000000,6,0
126,8,8.000000,-8,0
127,4,4.000000,0,-4
128,14,10.770330,10,4
129,26,26.000000,-26,0
130,26,18.867962,-16,-10
131,30,23.409400,-8,-22
132,2,2.000000,-2,0
133,8,5.656854,4,4
134,14,12.165525,12,2
135,36,26.076810,-14,-22
136,6,4.472136,-4,-2
137,18,16.124515,2,16
138,16,12.649111,12,-4
139,10,7.211103,4,6
140,16,11.313708,-8,8
141,18,13.416408,-6,-12
142,40,28.425341,-22,18
143,14,10.770330,-4,10
144,30,24.738634,24,6
145,8,5.656854,4,-4
146,12,8.944272,-8,-4
147,14,10.000000,6,8
148,30,21.633308,12,18
149,14,10.000000,-8,6
150,16,14.142136,-14,2
151,2,2.000000,-2,0
152,26,19.697716,-8,18
