walk,sec0,sec1,sec2,sec3
0,162,431,3,364
1,63,860,43,4
2,4,13,293,626
3,83,255,175,401
4,276,15,425,223
5,964,25,1,0
6,63,688,29,178
7,0,25,18,930
8,535,309,68,4
9,607,97,257,1
10,873,32,46,3
11,50,6,177,698
12,146,180,211,356
13,4,565,192,183
14,175,13,328,406
15,906,61,5,0
16,4,64,0,918
17,291,36,505,90
18,894,75,9,2
19,435,109,230,145
20,641,233,92,1
21,0,971,0,15
22,320,0,607,1
23,935,30,3,6
24,2,64,518,337
25,0,170,66,723
26,137,83,32,683
27,250,74,545,78
28,2,4,138,814
29,52,889,0,23
30,107,6,860,9
31,508,73,318,46
32,21,950,0,3
33,5,0,986,0
34,83,875,8,3
35,343,49,458,91
36,38,0,734,143
37,89,476,33,328
38,1,135,34,780
39,0,0,875,108
40,702,14,202,22
41,451,495,1,1
42,0,11,290,650
43,698,197,7,65
44,1,678,1,291
45,7,118,362,419
46,0,0,519,457
47,308,13,520,92
48,137,739,19,54
49,38,685,4,221
50,329,40,603,3
51,1,200,0,783
52,641,317,7,0
53,0,26,1,942
54,41,51,53,781
55,0,5,0,994
56,1,25,517,389
57,650,53,173,51
58,87,172,157,507
59,162,37,613,134
60,45,741,0,186
61,770,19,171,4
62,913,56,0,14
63,334,9,560,46
64,31,949,0,2
65,95,846,22,2
66,74,877,5,1
67,19,50,51,853
68,444,48,359,105
69,27,4,175,751
70,0,4,109,869
71,14,975,3,2
72,2,157,422,371
73,128,47,744,38
74,344,165,363,63
75,500,253,17,182
76,608,212,73,43
77,256,69,594,4
78,582,0,400,0
79,88,9,604,264
80,166,795,5,1
81,113,45,750,40
82,0,343,1,632
83,341,175,364,62
84,769,221,0,0
85,0,147,0,829
86,78,10,330,496
87,717,1,237,0
88,225,82,370,202
89,997,0,0,0
90,318,98,451,72
91,0,877,1,105
92,595,279,65,8
93,0,371,1,606
94,15,225,37,684
95,28,576,1,367
96,1,888,1,82
97,767,1,173,0
98,1,22,560,362
99,77,488,0,357
100,337,3,581,7
101,854,51,39,4
102,0,274,53,583
103,587,358,31,0
104,78,75,168,623
105,54,51,657,191
106,148,693,11,74
107,91,848,26,2
108,158,194,596,15
109,318,594,0,17
110,18,5,930,12
111,951,0,43,0
112,4,83,16,855
113,5,334,1,634
114,361,341,103,125
115,16,67,417,443
116,96,500,178,156
117,27,32,92,797
118,293,9,497,149
119,173,250,123,383
120,9,6,773,146
121,258,424,237,5
122,314,220,127,258
123,0,15,139,819
124,52,139,7,767
125,294,0,622,51
126,692,0,256,7
127,12,19,301,619
128,301,657,0,4
129,75,0,802,97
130,103,870,2,2
131,1,64,2,889
132,286,6,223,431
133,191,173,141,427
134,0,0,840,127
135,186,795,0,0
136,6,989,0,0
137,644,13,273,0
138,18,0,745,182
139,6,70,797,97
140,1,3,311,662
141,512,57,175,175
142,1,190,300,475
143,61,19,899,2
144,76,238,234,408
145,13,84,319,497
146,1,8,69,874
147,0,0,325,651
148,694,0,287,0
149,3,602,0,350
150,318,179,419,42
151,0,436,87,441
152,0,861,0,89
153,9,209,30,694
154,25,30,619,284
155,5,10,748,162
156,74,29,400,412
157,4,608,7,308
158,461,481,2,3
159,1,407,1,551
160,524,0,387,0
161,4,328,14,606
162,267,149,479,31
163,358,390,9,185
164,471,81,379,18
165,29,0,107,832
166,663,135,62,94
167,543,290,1,111
168,260,137,328,158
169,547,99,124,144
170,51,246,56,596
171,908,38,11,7
172,2,4,848,123
173,3,65,1,924
174,0,726,0,238
175,458,12,402,50
176,21,918,1,39
177,408,69,462,11
178,207,765,0,1
179,851,131,1,0
180,926,40,5,0
181,413,2,482,10
182,158,10,795,1
183,9,986,3,0
184,359,190,169,197
185,145,627,0,170
186,13,751,0,221
187,864,8,95,1
188,2,0,155,777
189,17,1,971,1
190,71,894,2,3
191,946,13,7,16
192,945,10,29,1
193,69,795,36,59
194,212,778,1,0
195,378,0,595,0
196,296,663,6,10
197,2,0,19,970
198,908,0,64,0
199,9,47,645,274
200,19,5,684,259
201,351,3,572,16
202,1,133,1,819
203,743,58,165,2
204,972,0,23,0
205,17,0,953,21
206,131,22,634,133
207,256,735,0,0
208,0,14,961,10
209,22,540,0,401
210,0,178,318,483
211,0,2,513,459
212,23,882,5,73
213,74,124,152,577
214,4,1,12,970
215,458,41,460,1
216,99,104,37,705
217,0,441,27,507
218,0,0,32,950
219,0,280,0,659
220,756,183,9,7
221,560,74,94,227
222,2,2,137,816
223,0,106,212,648
224,268,548,42,97
225,212,712,7,5
226,163,105,100,557
227,22,8,884,60
228,5,34,599,351
229,254,417,76,161
230,35,115,770,43
231,934,3,46,2
232,411,44,514,10
233,0,78,41,855
234,1,239,209,482
235,318,384,99,105
236,336,333,6,305
237,738,31,81,86
238,591,287,73,2
239,49,16,55,844
240,37,871,0,55
241,142,30,780,0
242,17,506,0,420
243,23,702,54,162
244,615,335,0,19
245,155,317,323,129
246,88,665,6,191
247,0,4,0,990
248,73,1,922,0
249,6,346,1,597
250,396,579,0,0
251,7,1,480,456
252,88,3,889,1
253,760,83,29,88
254,4,27,1,942
255,288,222,293,79
256,737,219,3,21
257,2,926,11,47
258,241,34,627,34
259,677,268,8,0
260,138,415,252,105
261,1,36,458,454
262,213,198,470,48
263,469,2,396,83
264,145,22,672,85
265,290,153,301,165
266,754,52,65,57
267,502,325,74,22
268,13,140,182,588
269,0,795,0,180
270,1,100,244,544
271,100,561,5,279
272,0,4,2,981
273,70,321,307,234
274,364,201,319,68
275,290,12,601,13
276,191,554,17,197
277,455,211,162,105
278,107,340,348,126
279,222,0,688,48
280,527,201,215,0
281,10,926,16,20
282,2,198,65,653
283,0,236,25,678
284,670,0,277,1
285,39,82,407,376
286,99,875,0,9
287,195,523,63,128
288,0,616,7,361
289,0,943,0,44
290,7,185,17,749
291,230,720,0,16
292,0,159,1,805
293,745,199,11,4
294,275,264,328,32
295,7,19,9,931
296,0,0,550,419
297,0,998,0,0
298,0,563,3,411
299,72,184,0,696
300,597,60,217,66
301,60,56,529,298
302,512,190,215,46
303,901,14,53,0
304,62,817,0,75
305,356,480,1,94
306,623,180,54,70
307,399,388,8,162
308,16,2,360,573
309,0,1,143,841
310,13,355,187,413
311,16,11,712,221
312,678,254,15,7
313,219,683,3,50
314,2,4,292,684
315,731,167,23,1
316,79,587,159,114
317,796,162,7,1
318,30,146,775,20
319,247,0,711,2
320,5,728,1,257
321,22,2,198,755
322,11,585,0,362
323,427,76,78,322
324,560,394,21,0
325,47,114,110,682
326,35,2,69,849
327,3,605,1,354
328,585,6,340,0
329,20,74,26,819
330,436,399,50,82
331,277,32,117,489
332,34,647,64,186
333,289,637,15,7
334,1,2,848,121
335,21,1,460,486
336,351,30,544,23
337,0,1,762,213
338,94,0,761,118
339,0,349,0,551
340,227,416,74,192
341,280,52,457,92
342,84,275,54,491
343,14,64,548,331
344,742,233,3,0
345,416,88,375,70
346,142,24,672,90
347,30,195,6,723
348,15,281,506,134
349,180,3,723,29
350,1,891,1,90
351,328,615,27,2
352,507,0,428,36
353,116,30,561,170
354,293,626,1,24
355,620,67,142,132
356,56,0,908,0
357,500,14,380,49
358,106,304,153,354
359,365,107,60,388
360,490,140,139,180
361,221,740,0,1
362,181,90,404,246
363,371,0,608,2
364,3,0,996,0
365,33,4,751,134
366,1,791,1,177
367,378,309,3,269
368,810,169,0,0
369,0,245,0,706
370,500,136,236,84
371,141,0,828,0
372,0,12,0,986
373,37,613,42,257
374,88,0,886,4
375,64,785,4,105
376,59,610,8,246
377,436,262,42,175
378,401,256,75,179
379,765,0,184,1
380,7,44,37,880
381,11,669,0,289
382,41,85,14,847
383,249,0,740,0
384,477,151,197,85
385,2,563,2,393
386,7,17,369,534
387,14,2,418,510
388,91,3,723,136
389,2,824,0,161
390,555,2,198,175
391,53,585,18,267
392,98,12,799,58
393,50,789,92,26
394,0,54,0,928
395,18,319,43,563
396,341,78,54,445
397,31,30,777,132
398,26,948,0,2
399,22,16,679,218
400,294,546,101,18
401,48,58,1,866
402,0,0,284,672
403,154,71,329,377
404,550,44,312,42
405,2,456,7,512
406,665,298,0,1
407,8,243,189,501
408,43,0,499,422
409,485,429,1,0
410,318,189,172,253
411,1,159,20,783
412,129,824,7,1
413,287,529,5,131
414,139,41,747,15
415,450,518,3,9
416,6,4,414,488
417,719,76,157,9
418,971,0,19,0
419,8,2,861,117
420,130,667,1,164
421,57,201,83,555
422,201,762,9,1
423,0,15,0,975
424,141,345,171,265
425,500,1,403,13
426,1,953,4,26
427,635,193,0,121
428,429,319,0,197
429,7,0,956,19
430,379,466,133,2
431,401,25,522,3
432,22,116,198,583
433,27,90,16,846
434,432,189,146,152
435,28,0,948,0
436,337,591,0,21
437,80,21,577,261
438,24,0,925,12
439,37,62,675,146
440,0,298,293,327
441,0,0,991,6
442,8,230,146,503
443,1,0,261,707
444,88,8,471,394
445,45,16,932,0
446,875,0,67,4
447,444,96,280,62
448,74,773,0,103
449,96,33,376,415
450,0,31,0,962
451,307,0,671,1
452,521,123,294,2
453,111,552,153,124
454,3,333,160,429
455,212,733,5,5
456,17,872,1,70
457,12,0,710,234
458,362,168,104,294
459,281,14,666,0
460,45,6,908,19
461,26,114,430,355
462,84,143,698,42
463,434,123,215,187
464,313,348,56,238
465,27,252,274,392
466,3,271,10,678
467,40,159,330,388
468,767,117,53,13
469,0,6,59,909
470,42,268,33,604
471,153,619,54,120
472,132,439,198,195
473,678,74,185,6
474,76,0,916,0
475,274,29,438,196
476,426,0,563,0
477,283,1,682,5
478,14,954,0,15
479,454,157,110,194
480,7,1,443,510
481,75,122,301,408
482,354,69,541,2
483,477,501,5,1
484,71,12,727,145
485,186,256,227,307
486,6,961,0,10
487,131,683,33,108
488,131,211,545,44
489,1,95,0,894
490,48,207,327,351
491,0,334,26,579
492,620,122,134,47
493,0,0,216,720
494,473,468,0,45
495,2,189,4,749
496,12,975,0,0
497,122,6,550,243
498,30,431,106,344
499,33,42,900,7
500,493,331,79,39
501,2,665,15,255
502,819,161,0,6
503,178,107,3,700
504,106,0,235,633
505,114,533,213,83
506,552,132,272,0
507,30,47,473,366
508,953,29,0,0
509,167,463,88,213
510,189,728,37,4
511,0,2,692,275
512,98,84,548,166
513,68,0,839,15
514,515,386,35,12
515,37,563,0,304
516,3,4,863,107
517,169,589,4,176
518,3,49,785,138
519,16,32,280,610
520,129,6,837,0
521,414,239,66,218
522,724,175,23,10
523,223,715,0,1
524,434,166,262,32
525,0,373,39,558
526,4,196,23,737
527,0,91,45,816
528,68,923,0,0
529,281,14,508,86
530,283,277,322,64
531,123,664,83,80
532,13,682,2,231
533,119,110,524,149
534,41,1,906,19
535,157,792,1,1
536,544,272,27,103
537,123,621,41,142
538,0,13,1,974
539,7,381,1,502
540,239,133,205,334
541,1,179,46,716
542,1,348,0,593
543,48,784,29,95
544,0,916,11,47
545,135,5,648,147
546,0,0,909,81
547,2,14,386,541
548,247,518,8,165
549,0,1,727,247
550,0,379,22,587
551,296,35,45,565
552,747,97,59,67
553,415,463,61,0
554,8,8,463,464
555,559,3,393,13
556,0,255,41,663
557,15,65,278,603
558,8,846,21,98
559,3,541,40,382
560,695,1,258,9
561,36,275,624,19
562,424,150,27,320
563,4,1,140,806
564,110,31,799,25
565,3,12,29,925
566,0,3,263,670
567,40,2,214,713
568,345,223,127,217
569,28,748,0,196
570,0,238,562,167
571,373,92,482,18
572,247,724,6,0
573,32,3,594,301
574,685,260,3,1
575,0,86,340,538
576,100,194,155,469
577,313,172,242,204
578,587,10,316,9
579,0,126,0,846
580,412,403,80,55
581,47,387,215,259
582,78,266,119,443
583,366,88,495,24
584,3,165,93,673
585,0,688,4,286
586,106,29,825,0
587,733,5,216,5
588,12,0,525,423
589,820,32,30,73
590,737,42,73,116
591,155,223,400,128
592,127,223,138,457
593,277,6,567,77
594,756,159,0,49
595,0,981,7,7
596,301,3,669,0
597,173,1,603,158
598,48,896,0,4
599,122,585,76,150
600,24,95,394,415
601,1,192,99,649
602,406,461,0,109
603,485,343,122,0
604,631,155,119,28
605,8,289,3,649
606,1,4,136,822
607,573,95,275,9
608,41,37,158,669
609,594,368,0,0
610,83,6,328,540
611,0,346,1,624
612,180,10,759,3
613,1,1,818,172
614,0,528,1,453
615,630,1,347,0
616,65,511,41,345
617,65,106,75,706
618,26,306,10,613
619,722,38,217,3
620,473,432,2,31
621,6,96,640,207
622,872,63,13,2
623,0,17,4,966
624,184,27,753,2
625,12,9,382,573
626,47,5,856,34
627,136,0,543,295
628,3,2,595,362
629,3,2,744,210
630,316,19,453,137
631,21,405,0,538
632,195,122,490,88
633,730,53,159,3
634,85,239,394,215
635,453,175,194,65
636,202,292,99,316
637,6,260,0,673
638,52,0,896,38
639,563,316,15,49
640,9,15,295,615
641,34,11,60,844
642,37,184,227,514
643,287,0,642,5
644,625,111,207,0
645,473,273,67,133
646,0,0,582,377
647,35,384,18,524
648,22,36,0,928
649,0,1,78,902
650,41,773,1,142
651,727,208,2,32
652,223,46,619,66
653,0,15,42,934
654,0,0,752,210
655,158,2,420,367
656,0,0,812,163
657,526,388,48,2
658,455,36,461,10
659,0,7,904,67
660,521,387,0,56
661,519,0,352,89
662,508,39,248,117
663,18,0,73,880
664,927,3,51,0
665,94,0,889,1
666,137,221,168,431
667,311,417,12,163
668,203,724,5,3
669,1,1,40,951
670,0,156,0,817
671,82,854,9,29
672,875,65,26,0
673,2,71,51,817
674,619,7,344,2
675,2,3,563,387
676,24,310,7,627
677,61,489,24,374
678,0,6,305,677
679,448,513,8,3
680,613,111,192,0
681,346,277,192,56
682,550,305,54,15
683,1,893,0,72
684,78,547,21,289
685,260,1,560,166
686,811,31,105,0
687,759,200,2,0
688,25,956,0,1
689,218,227,41,438
690,6,481,105,353
691,877,1,79,13
692,0,0,542,442
693,22,285,3,634
694,6,14,4,959
695,292,570,53,35
696,21,444,360,81
697,205,720,1,32
698,572,0,408,0
699,645,240,36,4
700,734,14,212,1
701,278,303,142,176
702,48,778,5,112
703,82,126,731,9
704,315,6,612,0
705,637,270,43,0
706,0,0,820,151
707,6,71,39,844
708,958,1,31,0
709,10,147,38,759
710,0,459,5,491
711,259,558,62,52
712,444,148,264,60
713,424,526,0,1
714,313,654,1,4
715,165,9,330,458
716,899,0,80,0
717,0,0,981,10
718,0,111,244,551
719,664,124,165,0
720,21,49,227,642
721,45,194,10,688
722,43,12,798,104
723,285,84,229,331
724,140,25,688,84
725,355,29,443,111
726,403,2,542,9
727,460,419,49,2
728,30,120,81,711
729,374,39,159,342
730,16,1,945,11
731,1,7,659,279
732,947,13,22,0
733,864,4,116,0
734,82,866,0,0
735,29,408,5,481
736,1,623,34,260
737,273,620,3,24
738,0,856,0,116
739,296,37,620,2
740,94,15,714,107
741,9,0,30,948
742,89,313,299,249
743,117,6,853,0
744,271,93,43,498
745,512,87,279,57
746,0,1,41,950
747,9,483,10,425
748,699,54,173,16
749,26,945,0,11
750,0,0,862,128
751,7,10,25,924
752,4,23,352,566
753,517,17,378,0
754,130,631,5,171
755,736,5,174,10
756,0,0,282,663
757,559,59,280,25
758,531,430,1,1
759,298,401,209,33
760,62,22,126,747
761,36,423,197,273
762,778,141,18,22
763,17,905,13,34
764,321,9,452,138
765,41,22,227,632
766,118,0,852,8
767,391,338,197,11
768,4,221,342,364
769,21,634,25,293
770,1,0,997,0
771,228,601,65,53
772,0,792,6,167
773,253,664,2,16
774,434,2,471,51
775,93,33,83,688
776,0,458,0,516
777,745,224,5,2
778,95,18,180,682
779,92,2,772,99
780,79,664,9,174
781,37,38,905,1
782,382,264,240,79
783,48,160,1,732
784,2,179,535,231
785,955,2,28,3
786,42,28,194,627
787,413,133,383,21
788,29,131,145,673
789,0,14,169,784
790,122,378,202,222
791,64,46,339,474
792,656,286,17,3
793,289,0,663,22
794,0,45,640,296
795,0,455,8,513
796,0,105,22,828
797,8,6,938,32
798,797,148,3,4
799,1,1,52,918
800,924,11,29,7
801,279,76,514,31
802,533,1,370,17
803,529,450,0,0
804,71,890,0,1
805,58,662,9,219
806,184,479,196,47
807,579,277,96,1
808,21,104,597,212
809,89,8,874,1
810,15,29,42,895
811,2,385,4,569
812,311,466,23,140
813,534,244,140,19
814,404,49,289,211
815,84,663,99,79
816,453,326,142,20
817,205,766,0,0
818,0,29,12,931
819,109,745,4,97
820,771,0,200,16
821,343,1,566,52
822,14,95,265,585
823,0,964,0,21
824,237,225,81,372
825,291,51,592,13
826,42,499,107,261
827,98,0,884,2
828,13,1,194,779
829,37,18,196,704
830,2,0,611,370
831,210,266,429,29
832,148,342,54,310
833,977,6,2,0
834,279,344,141,114
835,300,59,208,354
836,227,590,3,113
837,210,11,728,1
838,0,956,0,39
839,1,241,143,569
840,613,62,125,135
841,396,124,433,1
842,3,944,0,38
843,568,0,395,0
844,10,835,0,139
845,37,91,2,839
846,687,159,60,21
847,0,22,0,974
848,741,122,11,78
849,3,460,0,504
850,45,242,171,492
851,118,582,206,49
852,535,2,417,19
853,14,378,73,467
854,163,0,786,22
855,290,337,204,78
856,909,64,8,8
857,317,1,589,54
858,156,122,404,257
859,232,654,58,1
860,395,309,44,192
861,6,3,18,946
862,186,10,791,3
863,487,74,393,8
864,981,17,0,0
865,46,834,18,75
866,658,104,76,95
867,892,7,68,3
868,1,134,100,746
869,18,410,9,535
870,166,247,56,435
871,70,785,47,50
872,1,14,393,572
873,587,288,0,109
874,6,409,19,516
875,17,0,932,26
876,1,0,982,6
877,161,0,492,315
878,455,0,439,41
879,297,261,264,138
880,271,4,716,0
881,264,296,10,329
882,698,39,191,0
883,14,0,974,1
884,1,654,21,286
885,13,440,3,528
886,1,70,745,140
887,184,214,308,233
888,775,3,195,2
889,525,46,348,38
890,54,69,102,713
891,115,3,198,631
892,112,168,30,632
893,636,27,214,68
894,752,2,203,0
895,421,541,0,0
896,362,426,133,48
897,687,276,0,5
898,452,430,62,19
899,214,97,668,1
900,62,52,365,457
901,373,32,517,3
902,4,257,10,702
