walk,num_returns,first_return,return_steps
0,1,10,10
1,8,4,4;6;8;10;68;70;78;80
2,0,-1,
3,4,92,92;296;298;300
4,0,-1,
5,0,-1,
6,5,8,8;48;50;72;78
7,0,-1,
8,5,86,86;88;92;148;152
9,2,52,52;58
10,1,4,4
11,6,6,6;130;138;142;144;150
12,7,18,18;20;638;648;836;884;900
13,2,674,674;696
14,1,192,192
15,2,2,2;4
16,0,-1,
17,8,2,2;8;14;60;100;102;172;174
18,1,12,12
19,9,2,2;600;782;814;840;842;878;880;882
20,2,166,166;168
21,1,6,6
22,4,2,2;6;10;12
23,3,10,10;22;24
24,3,2,2;84;88
25,0,-1,
26,5,22,22;76;180;264;266
27,5,26,26;28;30;70;102
28,5,2,2;6;8;30;34
29,1,2,2
30,0,-1,
31,4,2,2;152;158;160
32,0,-1,
33,0,-1,
34,2,6,6;78
35,6,114,114;116;292;308;310;374
36,1,4,4
37,9,8,8;18;218;452;454;456;458;460;480
38,0,-1,
39,0,-1,
40,3,10,10;892;894
41,1,2,2
42,3,6,6;8;14
43,1,82,82
44,2,336,336;338
45,3,242,242;264;268
46,0,-1,
47,5,4,4;332;348;352;354
48,4,18,18;84;86;136
49,1,4,4
50,0,-1,
51,0,-1,
52,1,4,4
53,0,-1,
54,3,8,8;42;106
55,0,-1,
56,3,2,2;6;8
57,3,2,2;6;238
58,2,146,146;284
59,5,18,18;102;318;320;326
60,0,-1,
61,3,42,42;72;74
62,0,-1,
63,7,22,22;24;40;42;50;176;184
64,2,20,20;22
65,2,12,12;14
66,4,4,4;8;10;22
67,4,4,4;6;70;122
68,2,6,6;308
69,3,2,2;28;30
70,1,2,2
71,0,-1,
72,1,80,80
73,0,-1,
74,5,222,222;338;430;498;506
75,3,2,2;14;230
76,3,2,2;94;110
77,2,4,4;690
78,0,-1,
79,1,2,2
80,3,4,4;6;226
81,3,6,6;130;132
82,0,-1,
83,0,-1,
84,1,4,4
85,2,2,2;16
86,4,4,4;10;22;428
87,0,-1,
88,10,8,8;10;12;310;312;318;894;904;926;948
89,0,-1,
90,6,4,4;6;36;50;648;650
91,1,2,2
92,1,88,88
93,1,2,2
94,1,84,84
95,2,2,2;4
96,1,6,6
97,0,-1,
98,1,2,2
99,0,-1,
100,1,4,4
101,3,2,2;8;992
102,0,-1,
103,0,-1,
104,6,4,4;26;48;156;352;376
105,1,2,2
106,2,178,178;192
107,1,108,108
108,3,4,4;316;318
109,2,88,88;122
110,10,4,4;6;8;44;48;56;60;62;70;82
111,2,2,2;6
112,3,4,4;6;20
113,2,18,18;36
114,3,658,658;664;688
115,1,6,6
116,1,4,4
117,0,-1,
118,0,-1,
119,3,252,252;254;256
120,6,2,2;10;16;38;48;50
121,4,146,146;148;160;486
122,8,4,4;8;364;392;582;586;588;590
123,0,-1,
124,0,-1,
125,0,-1,
126,0,-1,
127,4,8,8;78;80;82
128,1,4,4
129,0,-1,
130,3,6,6;10;18
131,1,2,2
132,5,58,58;124;128;132;134
133,4,2,2;4;96;444
134,1,2,2
135,0,-1,
136,1,2,2
137,1,280,280
138,1,150,150
139,3,2,2;4;16
140,5,10,10;22;26;28;30
141,5,24,24;134;192;226;308
142,3,4,4;6;8
143,2,4,4;98
144,7,12,12;22;508;516;704;706;718
145,3,134,134;168;274
146,2,2,2;136
147,0,-1,
148,0,-1,
149,4,10,10;12;14;18
150,4,6,6;12;24;34
151,0,-1,
152,0,-1,
153,0,-1,
154,4,4,4;14;16;46
155,2,26,26;28
156,5,96,96;102;138;270;294
157,0,-1,
158,8,2,2;50;52;58;66;140;142;144
159,1,2,2
160,0,-1,
161,0,-1,
162,5,2,2;116;118;124;126
163,1,300,300
164,1,22,22
165,0,-1,
166,0,-1,
167,2,46,46;50
168,7,70,70;220;834;838;844;846;850
169,2,230,230;372
170,1,70,70
171,2,12,12;30
172,1,6,6
173,3,2,2;8;10
174,1,2,2
175,6,6,6;40;320;326;330;404
176,0,-1,
177,2,2,2;272
178,1,2,2
179,0,-1,
180,0,-1,
181,3,18,18;22;24
182,1,2,2
183,0,-1,
184,12,42,42;46;48;58;60;62;408;426;612;616;618;622
185,1,4,4
186,1,2,2
187,1,28,28
188,0,-1,
189,2,4,4;6
190,4,8,8;20;22;28
191,2,2,2;40
192,2,32,32;38
193,5,4,4;10;36;80;108
194,0,-1,
195,0,-1,
196,3,16,16;30;32
197,2,4,4;6
198,0,-1,
199,0,-1,
200,2,60,60;62
201,2,28,28;56
202,1,2,2
203,2,2,2;4
204,0,-1,
205,0,-1,
206,3,6,6;10;356
207,0,-1,
208,3,4,4;24;26
209,3,66,66;98;100
210,0,-1,
211,2,2,2;4
212,2,2,2;16
213,9,22,22;30;154;176;180;186;192;194;196
214,3,2,2;8;10
215,0,-1,
216,1,8,8
217,0,-1,
218,0,-1,
219,0,-1,
220,1,4,4
221,2,2,2;8
222,6,2,2;4;6;12;14;22
223,0,-1,
224,4,2,2;6;8;10
225,5,4,4;28;34;38;150
226,3,2,2;208;212
227,2,2,2;4
228,0,-1,
229,4,720,720;722;724;762
230,0,-1,
231,1,2,2
232,2,66,66;70
233,0,-1,
234,2,4,4;10
235,0,-1,
236,1,98,98
237,3,150,150;154;156
238,1,14,14
239,0,-1,
240,0,-1,
241,0,-1,
242,1,4,4
243,1,32,32
244,0,-1,
245,3,6,6;42;444
246,4,8,8;10;12;14
247,0,-1,
248,0,-1,
249,3,2,2;30;32
250,0,-1,
251,2,22,22;26
252,1,6,6
253,3,170,170;172;230
254,2,12,12;14
255,6,286,286;290;292;338;342;364
256,0,-1,
257,3,4,4;22;24
258,2,54,54;72
259,0,-1,
260,9,6,6;298;612;614;618;620;622;634;660
261,2,44,44;80
262,8,2,2;4;20;22;450;452;476;510
263,3,6,6;8;16
264,8,2,2;4;22;24;26;42;46;414
265,6,20,20;286;520;522;524;526
266,4,4,4;114;144;156
267,1,38,38
268,1,400,400
269,0,-1,
270,3,2,2;30;32
271,0,-1,
272,0,-1,
273,0,-1,
274,2,46,46;56
275,0,-1,
276,0,-1,
277,10,32,32;34;128;130;146;148;158;164;166;172
278,3,2,2;492;526
279,0,-1,
280,0,-1,
281,2,46,46;50
282,0,-1,
283,0,-1,
284,1,2,2
285,0,-1,
286,0,-1,
287,4,54,54;56;216;218
288,1,4,4
289,0,-1,
290,1,14,14
291,0,-1,
292,1,2,2
293,1,2,2
294,5,8,8;78;454;456;458
295,6,6,6;8;16;34;40;42
296,0,-1,
297,0,-1,
298,0,-1,
299,2,2,2;8
300,6,4,4;210;212;792;794;812
301,11,2,2;4;8;10;12;18;24;28;30;36;38
302,2,2,2;22
303,0,-1,
304,2,8,8;10
305,2,88,88;90
306,0,-1,
307,1,2,2
308,3,48,48;50;52
309,0,-1,
310,5,2,2;4;10;18;26
311,6,10,10;12;168;200;204;208
312,1,88,88
313,4,6,6;14;16;18
314,2,2,2;4
315,0,-1,
316,2,158,158;162
317,1,10,10
318,3,4,4;190;192
319,0,-1,
320,0,-1,
321,0,-1,
322,0,-1,
323,4,2,2;4;38;616
324,0,-1,
325,0,-1,
326,6,88,88;90;92;130;132;134
327,3,2,2;4;10
328,0,-1,
329,4,60,60;102;104;184
330,2,2,2;34
331,3,946,946;948;964
332,2,36,36;38
333,2,2,2;54
334,4,2,2;6;8;10
335,0,-1,
336,4,2,2;4;8;16
337,0,-1,
338,0,-1,
339,0,-1,
340,1,2,2
341,1,154,154
342,0,-1,
343,4,2,2;64;66;120
344,3,14,14;22;26
345,5,36,36;40;46;58;60
346,0,-1,
347,5,420,420;442;504;506;516
348,2,14,14;74
349,2,2,2;564
350,1,2,2
351,6,2,2;4;16;28;32;34
352,1,22,22
353,1,2,2
354,1,2,2
355,0,-1,
356,1,2,2
357,1,706,706
358,6,22,22;158;172;256;324;326
359,4,82,82;84;86;496
360,7,26,26;408;410;418;420;422;424
361,1,6,6
362,8,76,76;78;80;92;140;142;150;524
363,1,10,10
364,0,-1,
365,2,2,2;6
366,2,2,2;4
367,0,-1,
368,0,-1,
369,0,-1,
370,3,4,4;158;160
371,2,2,2;70
372,0,-1,
373,0,-1,
374,0,-1,
375,0,-1,
376,9,58,58;214;216;218;222;244;340;342;344
377,4,318,318;320;544;546
378,5,226,226;264;266;270;274
379,1,2,2
380,1,4,4
381,0,-1,
382,0,-1,
383,0,-1,
384,7,120,120;122;124;128;646;710;724
385,0,-1,
386,3,10,10;38;40
387,4,4,4;6;8;44
388,1,4,4
389,0,-1,
390,3,6,6;60;366
391,1,22,22
392,1,16,16
393,3,4,4;132;134
394,0,-1,
395,0,-1,
396,14,4,4;276;460;464;470;480;482;486;488;686;688;702;710;712
397,2,288,288;290
398,0,-1,
399,4,36,36;64;66;78
400,3,12,12;42;44
401,6,46,46;48;60;64;76;78
402,0,-1,
403,4,124,124;132;134;352
404,2,2,2;22
405,0,-1,
406,1,2,2
407,5,2,2;20;392;404;406
408,0,-1,
409,0,-1,
410,0,-1,
411,1,38,38
412,3,46,46;56;58
413,3,38,38;54;72
414,10,2,2;42;54;56;58;174;176;232;256;258
415,1,8,8
416,4,68,68;70;86;108
417,4,6,6;8;28;44
418,0,-1,
419,3,4,4;10;20
420,4,134,134;138;140;142
