walk,sec0,sec1,sec2,sec3,sec4,sec5,sec6,sec7,sec8,sec9,sec10,sec11,sec12,sec13,sec14,sec15
0,12774,15,42814,170,23342,110,16739,549,1449,0,138,1,5,29,259,579
1,4030,3043,91,1,60396,8551,19775,1802,227,35,7,29,77,597,0,25
2,0,0,383,1382,50,61,3297,76633,0,0,626,479,11,0,1500,14701
3,3295,6,1742,0,13637,90,33586,1,3261,0,7468,0,11334,204,24123,4
4,1365,981,0,1,11142,16980,0,9,721,7679,0,0,14281,45568,0,11
5,0,0,6,0,74350,19835,3797,350,0,0,1,0,4,0,1032,183
6,85,23674,50,61949,15,5792,31,2280,0,526,231,4682,0,0,16,0
7,13,8282,0,1776,0,18883,0,0,0,38880,0,757,0,29572,0,1217
8,0,1145,25956,6854,0,0,5313,16,0,178,54984,2458,0,0,2260,137
9,0,151,249,62,0,0,92,0,44545,2125,2265,959,35210,9683,3037,563
10,7672,266,51593,14183,86,4,108,1177,440,1682,17264,4378,0,82,33,0
11,0,11521,4002,37534,0,3576,1,15822,20,3793,5968,2166,16,8639,45,5408
12,0,2553,108,27,0,3,0,3,52785,36834,2579,1469,960,1303,347,94
13,1414,5236,37,0,59808,18975,20,0,7,733,4,0,12399,638,6,0
14,0,829,0,0,6280,12,0,0,31990,24620,4,37,18030,885,16851,14
15,0,0,0,0,2,21353,236,16776,0,0,0,0,24529,35216,61,1258
16,0,0,0,130,561,2713,36,1414,1,0,16667,16748,3,1473,34777,24460
17,1055,0,0,0,1162,3,0,1,16076,9650,1976,1370,31463,21904,12776,1261
18,15127,2540,3322,2332,41137,20889,123,0,2,1,5,385,12421,0,14,397
19,5133,60346,834,47,358,9948,10,0,4787,16024,952,330,32,21,4,0
20,10,26,3,1,12,40,84854,27,0,0,2204,0,0,47,12491,21
21,2,75558,8174,7148,1186,0,5714,0,0,0,1,0,156,0,1519,0
22,12445,4644,4419,368,28489,4593,6034,8283,7249,2644,1475,1,13358,4179,769,0
23,8877,14275,969,5275,441,38112,177,329,1270,16193,915,6406,560,4898,243,0
24,7094,1722,519,10076,38749,18455,62,0,10965,4875,389,1215,4216,444,139,1
25,1121,1902,1190,1819,1595,0,1776,59,5,0,7836,34727,16364,0,23349,7173
26,24282,12326,348,49656,5360,4670,444,1641,0,0,69,42,0,1,385,157
27,22,317,65,2120,2781,2005,21467,16778,66,240,481,187,6869,114,43270,2055
28,846,158,567,23,273,28,236,78,48349,4352,40144,2953,477,180,308,149
29,8,1,55,136,20786,1,1,29,12804,2,19002,3081,38161,2,5003,8
30,10,1977,2,2512,441,1073,29,21061,1,17675,0,1631,1985,7564,19,43082
31,1197,11,0,1699,11757,285,15542,21027,125,6,0,0,28673,2959,16,15880
32,1097,16175,17711,61158,0,1,1,1,538,248,2063,3,0,0,0,0
33,84,7,797,120,0,0,0,0,2326,710,15606,3982,10134,0,65126,0
34,31,0,3,1,4402,0,145,2,32219,7,34,23,55850,6616,275,4
35,1298,576,1,421,1096,1764,4,22,53360,33343,1125,5859,5,0,149,60
36,19,31,1980,1893,0,0,600,394,2,10525,1731,22223,0,58055,481,1227
37,910,5657,59913,1214,1,0,23412,6949,220,302,67,815,0,0,0,3
38,1470,10,2990,1,1094,0,558,0,31528,39499,9721,0,9594,2362,168,0
39,126,12742,1959,27041,4,1347,24,1,860,15850,2529,31818,8,938,12,3677
40,0,3,313,3806,22983,9,12,113,2546,51,20193,8025,30141,62,9937,957
41,14660,0,10610,91,1461,915,61621,2097,0,0,0,38,741,0,6303,360
42,1206,0,80,0,1789,780,3347,1280,461,16070,3,11506,4759,46149,4697,6367
43,1124,4207,22618,11136,2941,726,110,38,196,23,20565,35216,32,4,0,2
44,0,426,6,423,101,63,76,2093,0,537,0,15400,30,56,73692,6562
45,11,44439,7,298,0,21464,1,2663,2323,7364,12,1,7890,10676,1356,418
46,0,0,6,17,2,0,28,111,34188,0,56408,1102,1236,67,5118,964
47,0,2230,0,4231,0,0,0,0,1,9221,7148,64968,0,99,332,11124
48,6312,33675,0,96,1640,8319,0,0,2233,29054,945,10314,4892,1507,0,0
49,232,0,182,11874,3409,1765,11354,38132,134,1,12,0,1244,6660,72,23740
50,39023,0,0,0,53344,19,0,0,1533,151,2,0,4463,580,0,0
51,3701,370,25950,39762,0,25,4672,3642,12,3134,980,15916,0,32,0,536
52,0,8,4871,2686,0,3,2426,25307,360,1593,534,7116,76,7309,6754,39912
53,26685,7396,11925,4626,5898,10931,227,31308,81,2,0,0,289,0,0,0
54,6265,20225,782,26635,1074,4359,0,0,711,3627,0,29378,97,5622,0,98
55,18,168,1,1898,54,2020,53304,40349,0,630,0,19,0,674,1,2
56,128,0,7602,76536,1,0,0,3565,543,878,2403,7669,0,0,0,0
57,11306,913,7181,3979,722,328,3420,254,4548,20188,1326,15603,21155,3827,1413,1988
58,34,2,21506,0,0,2,34885,3,62,4357,12,2979,3443,2054,20335,9234
59,1305,940,339,0,2107,5938,0,421,59,2,0,0,81376,6943,0,195
60,1,1,176,113,0,16,7,257,0,3284,0,24873,0,16996,2009,51676
61,304,687,143,10,0,9558,0,39901,641,809,161,7,3,31817,0,15164
62,2451,32,420,0,85150,1429,9026,0,22,2,0,0,814,15,0,0
63,1,3692,70,592,1393,9757,1586,1391,0,1588,0,19,47605,12557,15288,3162
64,335,22477,143,8965,52,3972,290,409,0,31634,0,15143,0,5439,0,9665
65,0,1,317,721,254,4693,1187,12725,1,5,274,63,3671,27366,9094,38490
66,58,45,488,598,0,1,4126,1,15371,1066,22688,19631,0,0,17497,17274
67,97,0,0,0,17524,22253,2245,0,2,269,0,0,18438,37910,0,0
68,10939,122,5520,1895,33989,15768,24691,4902,1,39,13,34,994,0,0,1
69,1113,0,1347,721,3873,0,1909,887,4968,1733,27429,33378,6725,463,10361,3268
70,3,0,4133,724,0,0,0,114,2242,134,70743,3325,0,0,11642,5601
71,235,1,132,3020,3388,2,24429,11625,44342,788,0,1141,6754,3,1,3308
72,3219,8607,10113,73044,14,256,0,2704,302,0,0,1,936,26,0,0
73,24887,32624,24334,1945,65,5,7,16,5198,4315,3257,1737,88,0,1,0
74,131,44,437,32,801,70,2,0,4342,803,1873,656,17215,3627,65460,3462
75,18,15,562,3,22,10419,4347,64643,19,4,279,1,930,3883,3368,10550
76,15,1396,641,1275,311,1811,1176,1188,1,5634,1836,78695,62,2081,157,2714
77,6028,920,5999,2411,0,269,0,0,23195,17002,32875,2800,534,6066,27,204
78,0,0,50435,10022,0,0,2,1524,0,40,17464,12362,0,108,3,6867
79,22,9,4609,23943,16,66,14,476,2,0,473,68378,204,376,36,174
80,400,387,95,3014,9780,38935,27430,8423,1182,9,1048,221,4861,275,2571,6
81,1767,0,72908,11116,2105,1,10920,341,1,0,0,0,0,0,0,0
82,3263,149,1622,0,16796,28186,254,0,2812,145,2372,0,38907,3792,595,1
83,14690,1,20304,1324,39,0,618,860,13402,0,32515,1113,3649,0,10132,259
84,8714,6,16653,1117,21008,504,11884,10182,3986,291,5408,573,8449,514,8396,623
85,2009,877,3332,183,1,482,2872,0,32519,178,11571,0,13132,4576,26882,0
86,215,1323,52,94,289,1183,352,525,386,25721,33,9997,685,55109,2095,672
87,9365,0,5817,1,1430,0,444,20,7905,2,62024,3530,1,0,1314,7418
88,5,0,35,48,2,0,8,0,6964,487,6730,62,7772,523,61143,15147
89,76,14685,0,60,0,29,0,113,5396,75657,167,2211,0,974,2,79
90,13340,43484,8,7697,18656,9065,7,2697,2456,444,697,6,15,2,0,0
91,2646,4023,3704,4731,184,59,0,1,2769,13897,29314,35180,63,21,27,1943
92,455,39047,109,52811,34,3621,991,2605,0,0,0,0,0,0,0,0
93,2845,175,28,35,75348,560,809,407,5042,911,229,1292,10208,1126,3,397
94,2052,12568,146,7,0,12905,0,0,4976,54669,5,0,0,11556,0,0
95,1,0,2,0,250,15747,24,1,3217,0,0,0,24173,55846,38,0
96,7164,4711,4743,67096,36,3194,1920,5135,66,0,1388,666,74,1408,410,597
97,1,172,0,23576,0,0,0,0,633,7746,2369,61598,28,1111,55,1611
98,59343,664,19102,44,41,0,62,10,7775,1208,9812,509,544,16,68,11
99,0,0,2,0,135,93,21,0,323,3872,3,0,38822,52861,2724,495
100,1,22749,28,54449,0,469,1379,13550,0,0,403,471,0,0,835,4700
101,1290,44,24,30,47745,3108,33008,13266,40,8,24,14,172,0,64,0
102,23046,31674,20377,2122,11332,5464,2599,1719,0,7,54,49,0,3,1,17
