walk,l1,l2,x0,x1,x2
0,72,43.908997,-14,-34,-24
1,138,95.351980,-60,4,-74
2,102,66.060578,26,-18,-58
3,162,96.602277,36,-56,70
4,62,39.749214,-18,10,-34
5,130,78.917679,-28,62,40
6,106,73.783467,-56,-2,-48
7,78,52.952809,48,20,-10
8,140,90.598013,-80,-32,-28
9,44,32.249031,-28,16,0
10,84,49.234135,-28,34,22
11,100,58.855756,-32,-26,42
12,92,62.353829,44,44,4
13,42,29.732137,28,6,-8
14,74,52.877216,14,50,-10
15,102,71.637979,-66,-10,-26
16,40,24.819347,-16,6,18
17,72,54.552727,-16,4,-52
18,78,48.124838,26,-38,-14
19,20,13.564660,12,6,2
20,62,37.682887,-14,-18,-30
21,38,29.732137,0,-10,-28
22,72,66.151342,2,-66,4
23,74,60.959003,-4,-60,-10
24,38,26.907248,24,-2,-12
25,54,31.685959,-14,22,18
26,100,65.543878,26,-58,-16
27,66,58.343809,-58,-2,6
28,68,40.890097,-30,-14,-24
29,54,36.276714,4,30,20
30,104,64.807407,-16,50,38
31,98,57.236352,38,-34,-26
32,70,47.707442,44,-12,-14
33,106,63.906181,36,48,22
34,70,42.941821,26,32,12
35,36,24.166092,-8,-6,22
36,88,67.230945,0,62,26
37,46,33.763886,10,32,-4
38,68,43.543082,38,-14,16
39,44,33.226495,8,4,32
40,104,74.027022,58,46,0
41,102,65.513357,38,-52,-12
42,96,55.928526,34,26,36
43,32,24.166092,0,-10,22
44,44,25.768197,-18,-14,12
45,34,26.758176,2,-26,-6
46,54,38.418745,-36,-6,12
47,140,95.205042,8,78,-54
48,52,31.240999,24,12,-16
49,54,37.255872,-22,2,30
50,66,48.207883,-12,-46,8
51,62,43.954522,2,38,-22
52,46,33.166248,-30,14,2
53,98,66.121101,-14,24,60
54,126,87.749644,-20,24,-82
55,36,20.976177,-10,12,-14
56,144,103.227903,-96,36,12
57,80,55.713553,52,-16,-12
58,72,46.733286,26,38,8
59,54,36.276714,-30,-20,-4
60,72,41.856899,-22,-28,-22
61,46,36.715120,36,-4,6
62,64,42.426407,16,-10,-38
63,98,63.780875,56,26,-16
64,8,4.898979,-2,4,-2
65,38,27.928480,2,-26,10
66,54,34.583233,30,-14,-10
67,96,56.920998,34,-22,-40
68,90,59.766211,-40,-6,-44
69,52,30.854497,22,-12,18
70,74,47.707442,24,10,40
71,84,50.675438,22,22,40
72,54,36.932371,2,-24,-28
73,58,42.190046,40,6,12
74,42,31.304952,-8,30,4
75,58,35.496479,-26,10,22
76,142,83.450584,-42,-40,60
77,112,106.094298,-4,2,-106
78,56,41.665333,10,6,-40
79,82,52.649786,46,16,20
80,138,85.906926,-72,36,-30
81,88,56.000000,48,16,24
82,60,49.477268,-48,12,0
83,98,60.564016,-36,16,-46
84,30,21.260292,-6,4,-20
85,100,61.384037,28,22,50
86,68,47.244047,-44,-14,-10
87,170,104.556205,40,86,44
88,26,24.083189,0,-2,24
89,120,69.685006,34,-42,-44
90,148,87.954534,44,-38,-66
91,28,19.798990,8,2,-18
92,94,74.752926,2,-20,-72
93,34,20.880613,-6,-12,-16
94,50,32.310989,28,8,-14
95,48,28.705400,10,18,-20
96,34,23.409400,-12,-20,2
97,56,38.262253,26,28,2
98,86,73.020545,-72,-12,-2
99,126,73.130021,-44,46,36
100,76,56.356011,-54,-8,-14
101,112,67.823300,28,54,30
102,52,35.213634,4,-18,-30
103,112,77.408010,-40,-66,-6
104,46,27.928480,-22,-14,-10
105,100,65.909028,28,58,-14
106,94,57.861905,16,44,-34
107,62,41.617304,36,20,6
108,76,45.869380,18,-22,36
109,130,113.154761,2,-112,16
110,68,47.749346,40,2,26
111,96,84.616783,84,10,2
112,36,30.331502,-2,-30,4
113,108,72.718636,56,-46,6
114,96,79.044291,8,-10,-78
115,60,36.110940,-22,-12,26
116,52,33.105891,24,22,-6
117,88,63.055531,-24,-6,-58
118,40,29.799329,10,-28,-2
119,64,42.426407,38,-10,-16
120,70,53.553711,10,52,8
121,82,59.228372,4,-24,-54
122,50,31.048349,-26,12,-12
123,118,79.069590,-70,-34,-14
124,74,49.678969,36,4,-34
125,88,58.172158,22,14,52
126,172,101.390335,-74,-50,-48
127,102,59.093147,38,32,-32
128,136,86.579443,24,-74,-38
129,60,41.085277,10,38,-12
130,62,52.649786,52,2,-8
131,56,52.076866,-2,-52,2
132,56,41.279535,-2,38,16
133,48,30.331502,12,-10,-26
134,32,24.819347,-24,2,6
135,30,26.305893,26,0,-4
136,74,50.635956,-4,42,-28
137,66,40.049969,-26,-28,12
138,128,79.949984,52,-58,-18
139,30,26.153394,-2,-26,-2
140,126,81.510735,68,42,-16
141,40,26.532998,-8,8,24
142,58,43.127717,2,40,-16
143,70,47.031904,30,36,4
144,102,62.896741,-26,-24,-52
145,96,59.059292,-44,16,36
146,68,53.291650,-10,52,6
147,78,45.650849,20,-30,28
148,32,20.591260,8,18,6
149,118,89.286057,-84,30,4
150,50,30.528675,10,16,24
151,48,42.426407,42,0,6
152,74,43.312816,20,-24,-30
153,98,58.275209,26,-28,-44
154,132,107.219401,104,26,2
155,36,22.449944,-6,-12,18
156,150,94.085068,-34,80,-36
157,84,54.332311,-48,-18,18
158,44,28.425341,14,-6,24
159,30,26.305893,0,-4,-26
160,60,39.293765,-22,-6,32
161,42,27.495454,22,16,-4
162,124,82.849261,-52,-64,-8
163,92,75.736385,-74,-16,2
164,50,29.732137,12,16,-22
165,28,21.540659,8,0,-20
166,80,56.071383,-32,-46,2
167,66,45.650849,16,-42,8
168,96,65.787537,34,-56,6
169,84,66.090847,16,-4,-64
170,108,76.419893,72,-16,-20
171,108,84.142736,26,2,80
172,58,36.055513,-16,-12,30
173,84,49.234135,22,-28,-34
174,70,42.379240,-32,24,-14
175,50,40.841156,2,-8,-40
176,112,64.930732,34,36,42
177,120,87.132084,34,6,-80
178,98,58.412327,24,-30,44
179,124,84.805660,28,-18,78
180,38,30.659419,-30,-2,6
181,34,20.688161,6,-14,-14
182,88,52.383203,30,20,38
183,120,78.434686,40,-66,14
184,48,37.094474,-4,36,-8
185,94,58.412327,-28,48,-18
186,46,28.071338,8,20,-18
187,106,77.588659,-74,12,-20
188,34,27.202941,-8,0,26
189,50,40.841156,-8,-40,-2
190,40,27.856777,2,-14,-24
191,120,74.458042,48,-18,54
192,62,42.379240,22,-36,-4
193,82,58.617404,-54,-22,-6
194,78,48.207883,34,-32,-12
195,42,28.354894,-20,-20,-2
196,44,27.856777,10,10,-24
197,100,70.370448,-20,-66,14
198,90,54.074023,-42,-22,26
199,72,58.855756,-8,6,-58
200,74,54.442630,14,52,8
201,86,67.734777,-14,6,-66
202,118,87.931792,-10,-24,-84
203,68,50.119856,12,-48,-8
204,54,33.526109,22,24,8
205,116,67.705244,-38,-46,32
206,84,49.071377,-32,-22,30
207,60,48.826222,-4,-48,-8
208,96,59.799666,-38,14,-44
209,194,119.348230,92,34,-68
