walk,sec0,sec1,sec2,sec3
0,32,3,9880,45
1,2,35,9214,650
2,8330,47,1105,352
3,68,265,98,9467
4,0,5200,0,4693
5,266,561,3318,5729
6,5933,621,3104,254
7,1,3270,3,6554
8,84,4639,132,5042
9,48,698,1,9182
10,351,7839,485,1108
11,1510,759,2137,5397
12,0,1,194,9758
13,1827,1979,1546,4294
14,5517,2972,1108,305
15,2368,361,6699,415
16,9884,54,35,4
17,2741,615,6331,210
18,353,8848,581,133
19,118,9382,120,294
20,2788,3047,1795,1789
21,10,32,8113,1714
22,27,1795,2542,5522
23,9959,4,12,4
24,3926,5652,194,37
25,7632,2227,2,1
26,1139,176,8336,238
27,8,161,9668,114
28,7,1,1477,8422
29,1269,4260,448,3647
30,220,9420,283,19
31,6354,747,1563,1060
32,3085,5398,899,438
33,636,2449,767,5965
34,2,19,49,9897
35,95,4840,119,4817
36,4,8056,1,1747
37,0,230,7,9683
38,12,9728,148,44
39,1212,248,4140,4114
40,9973,17,0,0
41,6686,137,3027,1
42,0,1160,24,8733
43,0,1071,5310,3421
44,322,91,9555,5
45,4037,2013,136,3652
46,33,2214,1130,6461
47,7277,7,2698,1
48,9212,8,678,0
49,1139,36,5104,3498
50,7087,885,1540,300
51,366,4740,3849,886
52,152,32,7502,2260
53,4866,0,4717,335
54,738,8531,92,480
55,3065,6691,60,118
56,102,7014,982,1669
57,709,158,4586,4309
58,474,250,1759,7362
59,2168,5602,9,1955
60,726,8643,45,418
61,3820,48,5961,9
62,2867,125,6860,0
63,528,2415,4536,2352
64,8997,733,65,115
65,0,5,171,9805
66,0,3229,7,6633
67,746,5495,281,3243
68,4459,114,5091,241
69,403,83,9266,122
70,5936,1014,2277,512
71,0,0,514,9441
72,9975,0,20,0
73,84,161,874,8800
74,2,58,7766,2023
75,8732,0,1228,1
76,590,2934,673,5510
77,7307,1330,419,757
78,102,7882,92,1865
79,4366,2772,1753,892
80,180,8989,53,618
81,4312,3397,308,1827
82,1,2,9813,134
83,5259,1,4558,93
84,7742,0,2226,0
85,1033,1466,3609,3651
86,442,27,2910,6429
87,522,9325,8,86
88,961,8768,97,6
89,76,5485,237,4006
90,3167,1947,4614,141
91,272,2285,1377,5906
92,1597,0,8070,252
93,914,1126,1213,6536
94,13,151,5904,3762
95,25,3316,57,6351
96,494,9456,0,0
97,6532,11,3225,4
98,266,97,8277,1153
99,4449,2714,2002,670
100,252,493,80,9048
101,4654,1348,1442,2043
102,508,4859,723,3642
103,2143,7764,9,3
104,2198,6556,178,841
105,2884,3476,149,3271
106,1176,7798,191,691
107,8392,10,1572,7
108,247,36,7841,1750
109,7956,960,854,33
110,29,371,1663,7801
111,3847,2396,2991,587
112,361,4873,688,3765
113,5186,182,4466,6
114,214,410,4310,4808
115,1770,4452,1475,1999
116,172,2772,250,6675
117,4792,1117,3585,318
118,9329,434,32,88
119,288,772,7796,1008
120,186,1253,770,7701
121,6987,1355,1305,24
122,1,1250,2,8636
123,1,20,941,8912
124,1406,2701,2301,3349
125,1726,2954,3470,1665
126,91,2638,52,6989
127,4269,4379,168,1011
128,7172,1460,867,217
129,7577,1436,879,2
130,5647,3816,335,21
131,2608,2848,314,4056
132,3455,561,5771,29
133,2909,2495,4377,69
134,169,9779,0,0
135,4,922,239,8744
136,8118,1862,0,0
137,7864,16,2099,1
138,343,4153,221,5013
139,6115,3357,288,6
140,3014,3122,1031,2621
141,1606,81,8063,21
142,4846,4883,0,57
143,0,3943,0,6022
144,2585,141,7128,41
145,202,2896,500,6139
146,3880,2010,1099,2843
147,396,132,8672,628
148,600,2050,7179,70
149,7229,412,1066,1086
150,6531,2351,986,6
151,4,9989,0,0
152,4354,2377,657,2351
153,0,161,7527,2184
154,167,6922,644,2124
155,324,3383,6,6042
156,264,3856,28,5645
157,681,727,2061,6370
158,1762,0,8187,0
159,218,1489,389,7781
160,833,572,7179,1262
161,555,9411,0,0
162,105,5208,193,4405
163,381,6000,2743,610
164,1,104,19,9848
165,8035,625,1157,76
166,6511,443,2869,0
167,466,0,9380,11
168,4888,96,4905,5
169,2669,516,5973,605
170,860,2375,1443,5093
171,2267,7517,0,103
172,8341,19,1473,25
173,9961,9,12,0
174,6083,975,2799,39
175,4,9279,377,271
176,2627,3932,904,2224
177,8,9216,4,689
178,2250,2942,4388,246
179,3596,2034,1279,2889
180,297,253,8386,986
181,7627,1175,495,543
182,4931,3377,987,342
183,2,509,1071,8269
184,3767,2237,3562,171
185,9808,172,0,7
186,6898,2793,0,197
187,4112,0,5730,9
188,6702,26,3016,4
189,3652,3,5791,311
190,2758,5273,1804,20
191,4,0,4781,5066
192,9663,295,8,0
193,4288,429,2831,2219
194,4549,1,5383,9
195,5556,809,3086,212
196,32,0,8452,1399
197,3,208,4533,5032
198,264,0,9469,171
199,189,6076,636,2855
200,0,0,8441,1490
201,2569,7288,0,0
202,95,6133,378,3220
203,1718,3486,6,4648
204,162,89,6116,3453
205,835,663,3567,4706
206,3435,292,4977,1094
207,85,9592,13,262
208,666,1634,2290,5090
209,334,824,6275,2185
210,4262,21,5526,77
211,158,30,3920,5781
212,2583,4647,2268,220
213,2357,2152,144,5111
214,4881,1,4860,186
215,2,9018,5,851
216,8668,418,160,648
217,21,4677,11,5240
218,2046,6160,15,1595
219,8629,835,352,4
220,9912,66,11,0
221,22,115,9133,572
222,7095,2,2481,250
223,774,2,3306,5705
224,8533,89,1071,192
225,1073,6,8699,164
226,5285,100,4417,119
