walk,l1,l2,x0,x1,x2
0,158,105.924501,16,-50,92
1,332,253.187677,86,8,-238
2,190,132.921029,-12,-118,60
3,110,69.771054,28,22,60
4,366,262.944861,-220,-144,2
5,256,160.399501,-40,-128,-88
6,134,79.018985,-54,48,-32
7,266,156.294594,66,-94,106
8,170,114.210332,38,-28,104
9,494,334.789486,-212,24,258
10,156,107.368524,18,40,98
11,134,85.346353,32,-74,28
12,96,65.421709,-42,50,-4
13,178,123.757828,-78,-4,-96
14,268,187.680580,-12,94,162
15,372,238.109219,204,62,106
16,256,187.936159,-180,-42,34
17,100,57.896459,-30,-36,-34
18,196,118.726577,-36,80,-80
19,154,106.150836,10,52,-92
20,120,103.033975,14,-4,-102
21,218,152.223520,128,-82,8
22,260,154.324334,64,82,114
23,168,137.898513,18,136,-14
24,326,225.805226,-206,-34,-86
25,90,59.363288,12,-52,26
26,44,32.249031,-16,0,28
27,392,269.651627,152,222,18
28,150,131.255476,-130,18,2
29,156,117.098249,-12,-32,-112
30,118,75.551307,66,26,-26
31,240,142.520174,-60,-74,-106
32,242,175.054277,-28,48,166
33,220,152.892119,-4,104,112
34,314,224.899978,-8,110,-196
35,126,77.588659,-64,-32,30
36,196,142.295467,-66,-126,4
37,254,162.984662,-102,28,-124
38,290,186.901043,70,56,-164
39,166,103.169763,28,56,-82
40,194,141.378923,64,-4,126
41,244,157.353106,60,-138,46
42,250,155.293271,116,-38,-96
43,114,73.457471,56,-12,46
44,602,348.683237,-210,-178,214
45,420,300.093319,-142,264,-14
46,310,235.363549,46,-228,36
47,238,164.182825,-114,6,118
48,160,130.261276,10,22,-128
49,154,103.788246,-8,78,-68
50,250,148.848917,-102,-54,94
51,216,138.072445,108,-82,-26
52,172,138.361844,-18,-18,-136
53,218,153.740040,-126,88,4
54,246,149.465715,102,-100,-44
55,264,189.757740,-102,2,-160
56,492,371.623465,-340,2,-150
57,248,166.445186,-70,-30,-148
58,298,207.045889,-6,-136,156
59,160,102.800778,32,38,90
60,230,147.010204,94,110,-26
61,222,157.898702,68,12,142
62,338,219.718001,46,-188,-104
63,350,211.688450,-66,134,150
64,422,266.930703,192,-52,-178
65,166,150.452650,-10,-6,150
66,164,111.067547,44,-100,-20
67,190,142.842571,138,-28,-24
68,354,251.276740,-128,10,216
69,500,352.465601,64,-106,-330
70,250,156.473640,132,-52,66
71,204,124.354332,94,72,-38
72,190,137.796952,-18,42,-130
73,428,247.386338,-136,140,152
74,164,113.666178,30,-106,28
75,292,195.897933,142,16,-134
76,428,281.168988,-56,128,-244
77,196,113.490088,72,-60,64
78,540,319.086195,218,196,-126
79,218,140.470638,110,84,-24
80,384,263.696796,60,244,-80
81,222,139.298241,118,-46,-58
82,182,114.594939,-26,66,-90
83,174,120.083304,-66,100,-8
84,168,122.212929,-34,-116,18
85,44,27.276363,8,22,-14
86,310,193.607851,86,-62,162
87,180,128.156155,-112,-6,62
88,328,217.549994,-196,56,-76
89,458,291.719043,126,82,-250
90,104,78.025637,72,-2,-30
91,74,49.678969,34,-4,36
92,250,153.792067,40,-106,104
93,160,100.677704,-36,38,-86
94,356,214.121461,-166,-106,84
95,276,167.020957,130,-60,86
96,290,182.175739,-112,40,138
97,154,97.508974,36,84,-34
98,248,158.215044,134,-74,-40
99,222,134.238594,-104,-48,70
100,228,133.206606,-92,64,72
101,200,122.212929,34,-84,-82
102,274,164.182825,-66,82,-126
103,80,52.076866,14,-46,-20
104,272,172.209175,102,134,36
105,98,63.403470,56,-22,-20
106,166,115.047816,56,100,10
107,146,107.238053,14,30,102
108,164,108.885261,56,-16,92
109,130,89.196412,-62,-64,-4
110,172,99.518842,-60,-52,-60
111,144,85.837055,-64,46,-34
112,434,284.372994,140,52,242
113,134,83.066239,-58,20,56
114,280,162.505385,102,98,-80
115,230,137.419067,48,94,-88
116,172,116.275535,20,-48,104
117,274,159.962496,102,72,-100
118,166,103.169763,82,-28,56
119,214,148.875787,-4,98,-112
120,326,198.000000,-76,92,-158
121,200,126.237871,64,32,-104
122,136,115.065199,-114,-10,12
123,240,177.380946,6,-162,72
124,254,160.436903,-38,86,130
125,282,163.278902,98,-84,100
126,478,294.176818,-110,-126,242
127,218,128.576825,94,-60,64
128,172,99.679486,64,-56,52
129,42,24.738634,12,-18,12
130,266,199.087920,56,-20,190
131,168,116.653333,-106,-46,16
132,252,154.479772,126,68,-58
133,232,156.230599,14,-94,-124
134,212,148.135073,-70,-130,-12
135,384,299.332591,-288,-80,-16
136,310,194.843527,-42,-146,122
137,390,235.227549,134,-176,-80
138,150,105.621967,2,84,-64
139,200,131.087757,52,32,116
140,166,124.851912,46,4,116
141,194,143.568799,-28,-138,-28
142,252,176.929364,48,-38,-166
143,182,114.734476,-98,-46,-38
144,176,104.345580,50,-78,48
145,264,163.755916,72,-56,-136
146,466,274.204303,140,198,-128
147,216,165.698521,-16,40,-160
148,194,125.872952,-18,92,84
149,328,199.659711,-58,-140,130
150,90,52.038447,-28,-32,30
151,228,160.049992,-128,96,4
152,90,67.320131,-6,64,20
153,472,302.416931,-112,264,96
154,120,86.856203,78,-38,-4
155,160,92.477024,54,50,-56
