walk,num_returns,first_return,return_steps
0,2,2,2;64
1,1,2,2
2,0,-1,
3,0,-1,
4,1,1070,1070
5,2,2,2;14122
6,2,2,2;14150
7,1,1190,1190
8,3,340,340;382;388
9,6,2,2;10;12;5932;5934;9072
10,5,2,2;494;498;866;1094
11,6,4,4;10;124;126;3184;3186
12,0,-1,
13,1,2,2
14,0,-1,
15,5,1200,1200;1202;1218;1224;1226
16,0,-1,
17,2,18,18;20
18,2,2,2;42
19,4,4,4;6;8;12
20,3,2,2;4;8
21,1,2,2
22,3,30,30;32;54
23,2,2986,2986;2992
24,3,2,2;60;272
25,2,2,2;4
26,0,-1,
27,0,-1,
28,12,2,2;24;26;30;1354;1358;1370;1372;2438;3562;3842;3844
29,6,2,2;26;202;248;250;252
30,3,2,2;4;6
31,2,2,2;3204
32,0,-1,
33,6,16,16;248;310;326;328;2042
34,0,-1,
35,4,6526,6526;6534;6540;6542
36,0,-1,
37,6,6,6;12;22;100;102;108
38,3,2,2;4;44
39,8,1002,1002;1004;6584;6586;6588;6592;6596;6598
40,1,2,2
41,0,-1,
42,0,-1,
43,5,2,2;8;36;42;48
44,3,13090,13090;13094;13096
45,3,476,476;1490;1502
46,5,2,2;4844;5402;5404;5406
47,4,47408,47408;47472;47474;47528
48,8,10,10;180;184;19530;19546;19548;19614;19620
49,2,392,392;550
50,3,106,106;114;118
51,1,2,2
52,1,210,210
53,3,88856,88856;88860;89014
54,3,2,2;4;6
55,12,2,2;32;106;124;128;646;772;780;1140;1146;1238;1252
56,2,6,6;718
57,4,38,38;882;886;888
58,2,4,4;14
59,4,2,2;4;48;1856
60,2,2,2;14
61,7,172,172;174;178;352;356;1974;1976
62,7,2,2;32;5382;5720;5722;5726;5734
63,3,2,2;4;6
64,2,2,2;4
65,0,-1,
66,4,966,966;968;1052;1054
67,2,140,140;1480
68,7,28,28;180;182;294;1292;1294;8254
69,9,210,210;212;214;268;296;300;314;316;318
70,5,8,8;24;484;564;600
71,1,24222,24222
72,5,13778,13778;13780;14006;14008;14010
73,9,20,20;40;48;50;54;70;424;460;462
74,1,54,54
75,1,2,2
76,0,-1,
77,9,10,10;7062;7066;7068;9174;9178;9198;9206;9274
78,3,118,118;144;150
79,1,2,2
80,6,2,2;4;6;20;1584;1596
