walk,sec0,sec1,sec2,sec3,sec4,sec5,sec6,sec7,sec8,sec9,sec10,sec11,sec12,sec13,sec14,sec15
0,40324,201113,15377,1709,8,351182,7,852,1,81050,79,157,0,305295,181,231
1,0,231,1106,4584,14201,40257,54713,217711,0,132,478,9698,1665,5664,206468,438839
2,0,0,14897,522741,0,0,118,37742,822,194,11893,322795,435,43,14360,70471
3,26629,546,15995,249,18185,116,11755,2,454277,0,34,0,468853,0,68,2
4,121822,0,386543,10,33408,6206,0,0,258021,20668,16463,179,121108,28244,4880,0
5,4,11,59,4659,1,40453,83,935852,0,0,74,2611,0,0,784,14492
6,1381,0,31827,205,962,0,8211,1805,625398,81518,85816,106197,26,6509,15065,31747
7,89719,18852,444760,0,219043,21414,175837,21751,3984,2280,1,0,59,0,0,10
8,3625,192,577,29,5031,0,891216,911,370,6,610,32,23,5,96350,3
9,8063,659227,0,99080,29587,184682,87,15687,2,1,0,204,126,81,53,20
10,324116,12938,335257,2476,109812,23936,105859,8357,0,4,0,0,39532,30088,2707,553
11,779,312,3791,162359,530,0,20283,11276,2616,66490,20731,367869,1235,31303,10129,295700
12,684,106841,0,0,25596,188612,10893,106,9,100825,0,39022,28,419692,561,104856
13,30567,0,224524,0,27964,1,58,5,97208,0,485563,5,54564,48,75976,21
14,53708,18760,11716,15200,138,7528,0,33871,143,1590,80676,561486,0,5824,0,206727
15,207028,239062,103186,2301,48475,4,295218,18,2922,0,3162,36,4555,0,89361,0
16,1,40,27617,0,63,26,40002,77,272026,2438,136429,2764,320059,5123,182289,7033
17,105,52658,3929,215598,138,0,11005,384,1746,65010,12309,490179,140,125960,997,16696
18,3437,468,1442,5475,0,7347,0,8765,6,704573,178,6911,0,226538,0,32335
19,40930,18605,25,90,85114,1191,0,6,3405,23752,0,2913,793503,28237,0,0
20,93,258687,4,274661,1016,63845,5,16,0,173481,10,5181,14812,204801,26,443
21,3090,2658,6666,10175,0,0,0,0,4869,6606,378406,212210,57,0,121608,251891
22,5,53,58,1219,0,3041,142,2113,35,722420,104,237830,0,25151,83,5173
23,1345,9770,48858,119586,39,3267,546,38,2587,3586,296702,509658,2,237,0,72
24,2629,0,1097,0,1044,0,8772,0,1640,1281,5267,12,21388,3437,514370,437306
25,163,1852,43,1802,8914,212052,10781,452545,0,0,0,0,0,37569,33695,237224
26,122633,102352,532851,83081,0,0,122,27,0,11629,99841,41600,6,0,1678,682
27,85443,3595,3769,224,21582,54432,5908,58140,165535,74274,95766,3779,50833,262622,13923,95102
28,174931,318935,90,36,477,3705,0,93,47487,445630,26,1,1652,4592,5,1
29,634,371,31,263,6,688819,86,8886,375,40916,10,1,509,255391,514,1337
30,9366,931,4620,57835,1807,47811,37749,208511,1039,313641,117,311008,17,5,12,2177
31,25646,11,2836,0,13147,53,115831,97,165446,0,3376,3,546314,3,123963,423
32,1930,415,13075,14002,11,127,120996,463432,64,142,321,24928,3,592,136079,221108
33,7533,11329,431585,151181,20548,16994,5,7388,56,2,341888,3001,0,5540,57,487
34,49412,0,67037,468,10,10,67063,621,92518,1974,144364,1788,589,95,553652,17804
35,838188,6276,0,0,9612,1261,1398,45,73690,272,194,0,58355,6001,593,2355
36,3949,138261,226081,181037,13017,105073,194578,115804,1,28,0,1,1651,1966,15610,93
37,8458,1925,185,516,0,122,9,126,272635,394941,1219,923,141529,174294,3,1
38,67,1,65908,1281,28250,1,205725,10892,14935,0,447910,42185,18483,0,159451,162
39,3337,23414,2601,26746,1,631,239260,694967,3,672,2171,2787,0,0,6,0
40,3859,29,6597,0,8776,19,3425,33389,2480,1543,1002,9388,7124,54792,489,864034
41,126,5035,22989,18207,1548,55,142,2,690337,16687,66283,9337,135618,28321,2584,31
42,1262,1307,6845,45,103049,593470,203046,38404,0,0,43,0,0,0,50892,0
43,0,11114,0,3733,0,533,0,531,97795,174594,15888,121183,0,128226,11817,431226
44,0,62,262755,9530,0,0,518234,205052,0,0,0,79,0,501,0,211
45,10616,11906,74,111,143,0,1,0,2965,189232,52,89,24808,758333,20,201
46,533,226468,0,240484,6354,105888,10,0,265,78416,0,268945,816,67609,105,632
47,194,116,1450,41969,1256,0,791293,140191,5515,1287,22,57,3422,1689,7532,2518
48,13548,723021,36,372,197,49575,4,149,58483,144624,0,48,357,7001,59,897
49,75567,130,306,103,133023,19023,0,0,74420,435,560,2455,147908,540785,2556,147
50,59848,167186,20620,135474,120680,35,23,1,978,319078,22,170635,1507,251,572,2
51,89761,20996,379911,18603,0,0,251608,68879,4633,147632,0,12096,59,1,3,2633
52,12378,0,11570,773,15564,19716,43222,3042,572,0,2379,0,14305,465656,11812,395968
53,25394,178,221875,7212,382144,1620,39943,1041,167939,0,33603,1038,115006,0,109,1
