walk,l1,l2,x0,x1,x2
0,20,14.422205,0,-12,-8
1,34,22.360680,-20,8,-6
2,26,16.370706,6,6,14
3,26,20.493902,2,4,20
4,44,29.799329,-26,-14,4
5,30,20.688161,-18,10,-2
6,30,19.899749,-6,18,-6
7,14,14.000000,0,14,0
8,24,16.248077,8,-2,14
9,18,12.806248,0,-8,-10
10,28,18.110770,16,6,6
11,48,30.331502,22,-20,6
12,10,8.246211,-8,-2,0
13,36,23.664319,12,-20,4
14,12,7.483315,4,-6,-2
15,40,30.854497,-30,-4,-6
16,18,16.124515,0,-16,-2
17,14,8.246211,-4,6,-4
18,16,10.954451,2,-4,-10
19,10,8.246211,2,0,8
20,18,13.416408,12,-6,0
21,16,9.797959,4,4,-8
22,18,10.770330,-4,-8,-6
23,30,22.715633,22,-4,-4
24,18,11.489125,-10,4,4
25,22,16.124515,8,0,14
26,20,13.564660,-12,-6,2
27,18,16.124515,2,-16,0
28,30,22.891046,-6,22,2
29,46,26.758176,-18,14,14
30,32,20.199010,-14,14,-4
31,16,14.142136,14,0,-2
32,18,11.832160,-10,-6,-2
33,38,31.048349,-30,0,-8
34,34,22.715633,-4,10,20
35,18,11.832160,10,2,6
36,30,19.287302,16,-4,10
37,28,18.330303,-8,4,16
38,52,31.112698,14,-14,24
39,18,12.806248,4,12,2
40,16,11.661904,0,-6,10
41,28,22.449944,-4,-22,2
42,14,9.165151,-2,-8,-4
43,26,15.099669,-10,-8,-8
44,22,16.613248,-16,-2,4
45,32,21.354157,2,-14,16
46,32,21.354157,14,-2,-16
47,12,7.483315,6,4,2
48,28,18.973666,10,2,-16
49,14,10.770330,4,10,0
50,22,13.114877,10,6,6
51,24,16.248077,14,2,-8
52,30,19.287302,10,-4,-16
53,14,8.717798,-2,6,-6
54,46,27.495454,20,16,-10
55,36,22.978251,-8,20,8
56,28,17.663522,14,4,10
57,12,7.483315,-2,4,6
58,42,27.202941,-24,10,8
59,40,23.494680,10,16,-14
60,32,24.657656,24,-4,4
61,10,6.000000,-2,-4,-4
62,26,15.099669,-8,10,8
63,28,16.492423,8,-8,12
64,10,6.000000,-4,-4,-2
65,26,17.549929,6,16,4
66,20,12.961481,-10,-8,2
67,28,17.204651,8,-14,-6
68,6,4.472136,-2,-4,0
69,44,25.455844,-14,-14,-16
70,4,2.828427,2,-2,0
71,14,8.246211,-4,-6,-4
72,10,6.000000,2,4,4
73,20,12.961481,-8,2,-10
74,10,7.211103,0,-6,4
75,24,16.970563,4,4,-16
76,36,24.494897,-14,-2,-20
77,18,11.489125,-2,8,8
78,22,13.114877,10,6,-6
79,34,20.099751,12,-8,-14
80,18,10.770330,8,-4,-6
81,20,15.231546,6,14,0
82,18,12.806248,-8,10,0
83,28,18.330303,8,-4,-16
84,16,16.000000,0,0,-16
85,34,21.447611,6,-10,-18
86,14,8.717798,-6,6,-2
87,18,16.124515,-16,2,0
88,28,16.248077,10,-8,-10
89,16,9.380832,-4,6,6
90,42,27.202941,10,-24,-8
91,28,17.663522,-10,-14,-4
92,18,14.282857,-2,-14,-2
93,38,23.065125,-18,-8,12
94,20,16.492423,-16,0,-4
95,6,3.464102,2,2,-2
96,20,14.422205,-12,0,8
97,24,17.204651,2,16,6
98,8,6.324555,0,-2,-6
99,12,7.483315,2,4,-6
100,18,11.832160,10,-6,2
101,22,14.560220,-12,2,8
102,14,10.392305,-2,2,10
103,38,23.748684,10,8,20
104,22,15.362291,-6,-2,-14
105,34,20.880613,-6,-12,-16
106,12,6.928203,4,-4,4
107,20,14.422205,0,-8,12
108,38,22.000000,14,12,12
109,10,8.246211,2,8,0
110,22,15.099669,14,-4,4
111,30,18.867962,6,8,16
112,24,14.142136,-10,-6,-8
113,14,10.000000,-8,6,0
114,18,11.489125,-4,-10,4
115,24,18.547237,4,2,18
116,26,15.362291,-6,-10,-10
117,22,12.806248,8,6,-8
118,30,18.867962,14,4,12
119,10,6.000000,-4,4,-2
120,28,17.204651,-14,8,6
121,16,14.142136,0,14,-2
122,38,26.907248,-2,24,12
123,38,27.928480,-2,-10,-26
124,18,11.489125,4,-4,-10
125,18,11.832160,2,10,6
126,36,25.612497,-24,4,-8
127,14,8.246211,6,4,4
128,6,3.464102,2,2,-2
129,16,9.380832,-6,-6,4
130,22,15.620499,0,-10,-12
131,14,10.392305,-2,10,-2
132,36,21.540659,12,16,8
133,8,4.898979,-2,4,-2
134,24,16.970563,-4,-16,-4
135,30,18.867962,4,12,-14
136,4,4.000000,4,0,0
137,28,16.492423,-8,8,-12
138,14,8.246211,6,4,-4
139,34,21.260292,-18,8,-8
140,8,6.324555,0,6,2
141,30,19.287302,4,-16,-10
142,24,14.966630,8,-4,-12
143,22,20.099751,2,0,20
144,26,15.620499,6,-12,-8
145,32,20.591260,-18,-6,8
146,18,11.489125,-4,-4,-10
147,36,22.090722,-14,-6,16
148,28,17.204651,-14,-6,8
149,24,13.856406,-8,-8,-8
150,22,13.114877,6,10,6
151,22,16.613248,-4,-16,-2
152,40,23.494680,14,10,-16
153,36,23.151674,-6,-10,20
154,20,13.564660,6,12,2
155,26,17.088007,2,-12,-12
156,50,31.811947,24,20,6
157,10,6.633250,2,2,6
158,40,23.494680,-10,-16,14
159,38,26.305893,-24,4,-10
160,6,6.000000,-6,0,0
161,36,21.354157,10,-10,-16
162,26,18.867962,-18,4,-4
163,20,12.961481,2,8,10
164,18,11.832160,2,-10,-6
165,24,16.248077,-8,14,-2
166,58,34.000000,-18,-24,16
167,26,16.370706,-14,6,6
168,36,22.978251,8,-20,-8
169,42,26.305893,16,20,-6
170,34,23.579652,22,-6,6
171,26,18.867962,-10,-16,0
172,26,20.493902,2,4,20
173,28,20.976177,-2,-20,6
174,18,14.282857,-14,2,2
175,16,10.954451,-4,-2,10
176,24,15.748016,-14,6,4
177,14,12.165525,-12,0,-2
178,24,15.748016,14,6,4
179,18,11.489125,8,-8,-2
180,36,26.981475,6,26,-4
181,28,19.390719,-6,-18,-4
182,24,15.748016,12,-10,-2
183,20,16.492423,4,-16,0
184,32,21.354157,-16,14,-2
185,4,2.828427,2,2,0
186,30,21.633308,8,20,2
187,26,16.124515,-4,10,-12
188,24,14.696938,-12,-6,6
189,20,14.696938,-14,-2,4
190,14,10.770330,4,0,10
191,42,27.495454,-16,22,4
192,20,12.328828,6,-4,10
193,18,11.832160,10,-2,6
194,10,8.246211,2,8,0
195,44,27.568098,-20,18,-6
196,10,8.246211,-2,-8,0
197,14,10.770330,0,-4,10
198,6,4.472136,2,0,4
199,34,22.000000,-12,-18,-4
200,20,13.564660,-2,-6,-12
201,24,16.970563,16,-4,-4
202,8,4.898979,4,2,-2
203,14,9.165151,-4,-8,-2
204,24,16.248077,-14,-2,8
205,46,32.310989,-28,2,16
206,20,14.142136,0,-10,-10
207,22,14.560220,12,2,-8
208,46,27.202941,-20,-12,14
209,30,20.688161,18,10,2
210,30,18.220867,6,14,10
211,20,13.564660,2,12,6
212,16,10.954451,2,-10,-4
213,26,18.000000,8,16,-2
214,10,7.211103,4,0,6
