walk,sec0,sec1,sec2,sec3,sec4,sec5,sec6,sec7,sec8,sec9,sec10,sec11,sec12,sec13,sec14,sec15
0,1969,340,0,0,5320,483,140,85,676,0,121,0,129,36,287,1
1,385,0,10,2,4702,1,162,284,135,1,5,3,3936,0,98,5
2,0,7,19,1315,123,286,3321,4384,0,0,0,0,0,0,117,149
3,6217,0,866,0,0,0,0,0,2573,1,140,0,12,0,7,0
4,0,0,27,0,1,0,284,0,0,0,567,38,0,0,4987,3842
5,1077,59,33,23,658,2,38,34,4212,0,45,15,3435,2,12,14
6,0,0,587,0,8,11,730,1645,0,0,1,768,0,1,4071,1990
7,0,0,146,375,968,10,4476,3702,0,0,29,9,3,2,24,40
8,61,175,85,13,6,86,233,40,442,33,1014,4,149,106,3012,4086
9,90,2372,911,4857,0,0,4,21,4,100,39,1187,0,0,1,8
10,24,388,108,11,69,4140,0,0,151,2144,127,8,35,2583,0,0
11,33,4912,81,74,1,3,0,0,0,2955,63,263,0,1342,2,99
12,0,0,656,874,0,147,1307,6418,0,1,0,173,0,4,0,52
13,1028,1897,19,1054,0,1,15,1,1289,3500,200,676,1,0,29,2
14,3282,3087,8,0,0,0,0,0,216,204,2157,674,4,0,0,0
15,4440,3048,204,188,78,16,67,28,684,531,53,45,1,68,1,14
16,2427,3897,0,7,2385,331,0,3,439,13,0,10,46,144,1,42
17,0,10,294,3291,0,0,1354,259,21,1,384,714,2,3,1699,1661
18,85,3,1441,2,1,0,79,1,167,25,5611,45,0,0,2222,0
19,88,539,29,70,1701,3236,944,553,80,1174,7,18,93,962,1,89
20,26,10,1,0,895,2833,858,4919,0,9,1,0,54,14,41,0
21,9,3,37,18,438,35,6229,509,1,0,8,0,7,0,2294,66
22,208,1,212,84,3466,0,1,0,23,0,17,4,5840,0,0,0
23,0,0,2021,2776,0,0,2458,573,0,3,1014,1,20,10,737,15
24,0,0,0,83,1,27,4,699,3,230,126,2073,56,168,1398,4698
25,22,392,2,1136,6,3367,0,2731,37,1790,3,1,1,87,3,0
26,41,121,43,42,787,88,2608,19,948,256,560,31,3600,285,205,17
27,0,27,0,348,0,6361,0,454,0,0,89,429,0,391,828,788
28,732,0,20,0,472,0,4,0,2553,4525,2,0,523,900,0,0
29,374,2050,75,5617,1,4,1,4,7,292,47,1283,3,5,0,0
30,602,1,19,3,0,0,22,0,8044,0,358,1,192,0,451,0
31,1,0,1,0,24,4,7,3,0,79,3228,1435,60,361,1566,2944
32,2437,741,2838,484,0,3,21,3,738,2059,146,50,0,58,3,0
33,204,153,886,2494,1,0,1119,688,118,282,401,2495,0,4,2,677
34,810,0,1655,415,550,0,2242,37,3143,89,4,2,139,1,456,172
35,11,20,1,0,6,30,0,0,2122,5175,0,2,652,1631,0,1
36,59,7153,0,0,0,57,1,12,3,1510,0,0,697,195,79,32
37,38,4,0,0,7385,250,0,0,2,1,0,0,2135,17,0,0
38,107,281,203,62,4924,2515,0,0,350,0,47,0,1294,2,0,0
39,0,0,48,91,5,0,5270,334,171,40,1046,343,180,380,1436,210
40,0,232,1,109,1,125,1,62,80,165,469,771,211,365,5705,1230
41,76,93,0,59,217,90,541,230,0,0,18,0,0,0,2473,5992
42,48,60,23,665,50,980,28,4461,5,25,0,0,81,792,3,2298
43,0,0,0,0,65,0,522,9,0,0,15,0,5396,0,3822,0
44,99,0,522,0,30,0,17,0,106,394,4561,4020,2,0,1,1
