walk,l1,l2,x0,x1,x2,x3
0,1794,1004.173292,-374,592,-118,-710
1,644,371.838675,-90,-278,224,-52
2,698,432.208283,140,30,380,-148
3,1146,665.212748,-570,254,136,-186
4,1156,633.346667,212,-362,458,124
5,1318,671.091648,-220,-358,370,-370
6,822,481.643021,-10,-218,-360,-234
7,660,367.673768,218,-250,-154,38
8,1514,805.543295,-418,576,-320,200
9,746,439.849974,46,-166,164,370
10,672,450.910191,-236,16,-382,38
11,588,395.444054,338,4,-46,200
12,1296,662.848399,-326,-344,-410,216
13,980,593.545280,-196,-530,146,-108
14,700,367.205664,102,-176,-258,164
15,1006,541.926194,-252,-416,168,170
16,954,593.096957,8,222,-220,504
17,1042,544.268316,192,-362,176,312
18,1384,826.689785,132,-246,726,-280
19,450,259.699827,148,-200,-64,-38
20,1658,905.364015,-620,552,322,-164
21,1454,799.387265,330,-106,-528,-490
22,432,269.206241,-202,-170,8,-52
23,996,622.678087,558,-170,-58,210
24,1148,666.177154,78,-262,258,-550
25,498,301.217529,-54,154,-250,40
26,1158,718.434409,16,208,-602,-332
27,728,481.771730,-166,74,444,44
28,1428,776.216465,-292,-200,-608,328
29,1216,647.289734,-488,-272,266,-190
30,1224,737.975609,648,108,276,-192
31,524,295.337096,-232,-60,154,78
32,1502,848.921669,172,378,-694,-258
33,1602,1034.181802,-922,-18,330,332
34,1016,568.851474,-346,-396,-206,68
35,842,574.654679,-32,-32,-502,276
36,1508,824.732684,564,-520,242,182
37,1198,717.420379,-486,-4,-236,-472
38,1206,739.039918,52,-376,-612,166
39,674,409.160115,-16,96,-278,-284
40,592,363.945051,-122,-4,300,166
41,898,530.347056,-358,-124,-48,-368
42,1010,703.673220,648,-86,16,260
43,874,503.884907,-254,206,-382,32
44,1168,599.166087,-348,294,344,182
45,1462,791.522583,584,-234,-214,-430
46,1054,552.952077,-266,-222,-170,396
47,768,430.116263,274,264,-198,32
48,776,447.329856,68,-366,210,-132
49,778,459.752107,382,-48,138,210
50,872,492.666216,-84,-208,-400,-180
51,848,504.388739,-22,216,-408,-202
52,654,359.104442,-142,290,-106,-116
53,1082,675.091105,-12,202,-296,-572
54,368,204.743742,-68,-44,-164,-92
55,1158,617.941745,106,382,346,-324
56,1584,996.277070,238,532,-6,-808
57,852,443.612443,136,-214,-194,308
58,658,362.629287,-56,242,-130,-230
59,1716,932.124455,-266,-540,670,240
60,1424,818.403324,490,88,244,602
61,1658,916.399476,400,626,106,-526
62,1212,739.589075,-372,-108,112,-620
63,1228,758.614527,-142,52,422,612
64,596,457.698591,444,0,56,96
65,1072,589.528625,308,190,448,126
66,356,210.123773,84,6,-162,104
67,1104,704.187475,358,-596,100,-50
68,394,301.801259,-8,-82,290,-14
69,314,162.591513,92,-60,-56,106
70,872,488.663483,-326,120,96,330
71,906,560.196394,-70,-492,-234,110
72,1176,676.727419,-46,346,-512,-272
73,846,445.156152,-130,168,-236,-312
74,364,273.539759,-258,12,-90,4
75,1464,818.178465,512,178,582,-192
76,1166,608.995895,180,270,-426,290
77,256,168.878655,158,48,-24,-26
78,1468,775.149018,-166,468,-474,-360
79,1152,781.572773,74,660,-412,-6
80,258,153.583853,-132,-52,18,-56
81,1422,1053.681166,-76,116,-206,-1024
82,1096,708.457479,16,-234,634,-212
83,362,208.182612,-150,-58,-130,-24
84,542,302.899323,-168,-228,94,52
85,1184,737.384567,-656,130,106,292
86,1104,582.553002,234,-350,376,144
87,520,345.160832,-304,-152,-4,-60
88,712,567.006173,4,22,136,550
89,1266,758.696250,212,-640,-340,74
90,1026,664.207799,-236,-134,-52,-604
91,636,322.329024,-150,144,-138,204
92,1200,823.412412,208,150,-62,-780
93,954,496.455436,-148,-298,196,-312
94,1216,792.772351,354,-700,76,86
95,286,222.899080,-52,-216,18,0
96,1030,539.937033,376,150,-270,-234
97,994,583.558052,236,122,-502,134
98,1786,966.459518,-142,-460,-618,-566
99,1556,802.187011,348,-396,272,540
100,1192,696.603187,272,-40,-334,-546
101,550,328.383922,58,-42,252,-198
102,2122,1304.952106,416,-572,-38,-1096
103,856,467.940167,-298,292,-64,202
104,328,246.592782,-32,-2,-56,-238
105,786,536.018656,-504,108,-144,-30
106,1006,573.212003,442,-314,-166,-84
107,672,390.742882,272,-8,226,-166
108,1184,622.902882,-186,-268,452,278
109,424,305.941171,-112,12,16,-284
110,1176,743.144670,-140,6,-548,482
111,882,696.129298,6,-672,-24,180
112,818,474.699905,-330,230,6,-252
113,1364,769.888304,-474,-166,164,560
114,566,358.145222,-162,-2,-304,-98
115,978,572.506769,-320,414,-232,12
116,1290,787.484603,0,594,236,460
117,832,444.144121,290,86,-198,-258
118,1358,806.426686,-600,322,-432,-4
119,766,413.255369,-228,-86,-294,158
120,1218,708.132756,378,202,80,-558
121,668,467.726416,82,142,-6,-438
122,904,628.999205,118,46,600,140
123,1074,622.841874,-254,306,36,-478
124,514,270.088874,108,142,188,-76
125,896,497.385163,-116,-128,-376,276
126,922,502.891638,352,-176,-298,96
127,1436,790.756600,-160,-336,620,-320
128,1314,770.083112,-128,-168,-386,-632
129,1356,924.783218,756,48,530,22
130,1206,748.446391,160,442,582,-22
131,1144,726.432378,-458,100,-32,554
132,720,420.180913,166,-360,80,-114
133,884,661.821728,-82,-108,48,-646
134,610,356.936969,170,22,282,-136
135,774,480.770215,-404,-222,-12,136
136,1638,901.556432,484,-440,612,102
137,660,387.865956,186,152,304,18
138,898,600.816112,-12,-468,374,-44
139,1080,602.255760,-404,-210,386,-80
140,1426,852.851687,-724,-170,-394,138
141,1720,975.315334,314,-712,-118,-576
142,1560,804.094522,-490,422,420,228
143,1524,873.947367,438,360,662,-64
144,1116,637.702125,516,-100,198,302
145,1748,1029.601865,-788,-296,76,-588
146,624,400.829141,-230,324,22,-48
147,766,480.362363,-150,430,38,148
148,820,456.201710,-34,-278,236,-272
149,848,519.037571,-140,470,-136,102
150,588,357.222620,-86,-116,66,-320
151,1822,975.145117,340,394,334,-754
152,1216,716.111723,50,210,-410,-546
153,1082,642.467120,542,130,-110,300
154,702,512.870354,46,-492,30,-134
155,562,367.777106,-218,294,30,-20
156,1620,946.965680,212,-780,-466,162
157,1020,585.224743,20,382,-360,258
158,744,538.672442,-58,512,18,156
159,1606,860.397583,-314,574,-194,524
160,874,582.075596,78,-166,546,-84
161,1230,646.736422,228,-446,-198,358
162,714,425.586654,-124,378,-92,-120
163,1420,811.393862,494,-16,458,452
164,680,386.181305,98,-98,162,322
165,1302,896.894643,-446,-48,-776,32
166,1378,814.122841,-126,448,-154,-650
167,1158,611.970588,246,162,318,432
168,1182,633.652902,-242,-184,270,-486
169,258,205.844602,2,-48,-8,-200
170,998,565.469716,-344,70,-406,178
171,1146,626.083062,-144,-490,262,250
172,932,639.387207,214,-122,6,590
173,1012,572.006993,328,-294,-364,-26
174,1228,760.157878,636,-16,-348,-228
175,852,545.952379,-120,-492,40,-200
176,790,434.975861,-88,-130,-264,-308
177,1136,704.777979,-126,-36,-538,-436
178,1032,769.280183,-238,-730,22,42
179,1100,704.312431,134,610,-32,-324
180,764,406.221614,156,-96,-242,270
181,912,536.946925,-214,-208,46,-444
182,1324,837.859177,150,152,-770,-252
183,1334,726.627828,-392,-458,-88,396
184,1262,667.601678,162,308,470,-322
185,1920,1228.429892,1022,-214,646,-38
186,1094,627.990446,504,-134,324,-132
187,1072,697.739206,80,378,34,580
188,676,364.120859,-188,-270,126,92
189,486,276.976533,-170,98,-194,24
190,1200,703.522565,416,-296,-484,4
191,1078,595.828834,216,432,-94,336
192,892,474.998947,-276,-158,-328,130
193,1228,695.988506,386,-530,210,102
194,1272,713.038568,416,-46,456,-354
195,710,521.110353,504,22,-100,-84
196,1152,647.487452,294,-522,124,212
197,610,305.306403,146,-156,-146,-162
198,770,458.637111,-142,-242,362,24
199,594,331.825255,-22,182,-180,-210
200,1522,950.652408,-626,-86,-108,-702
201,1010,642.597852,-546,-104,-320,-40
202,1168,731.677525,122,66,-624,-356
203,688,391.663121,112,50,-260,266
204,944,534.894382,-268,-48,-400,-228
205,1044,656.524181,190,-234,-38,582
206,980,636.603487,482,90,-2,406
207,670,428.686366,306,10,-294,60
208,702,373.828838,-88,-198,152,-264
209,822,643.412776,-50,-628,-130,14
210,690,374.117629,262,182,-60,186
211,1308,754.214824,388,-34,-554,332
212,966,501.625358,-352,202,-238,-174
213,794,435.958714,-330,-78,-210,176
214,798,439.631664,-148,290,286,-74
215,424,278.797417,-224,16,-20,164
216,1270,767.445112,400,-226,-30,614
217,1012,595.321762,364,180,-34,434
218,1850,1076.091074,-352,-286,936,-276
219,1230,862.143840,36,-250,-814,130
220,878,628.162399,-26,598,-172,82
221,968,586.978705,-80,412,404,72
222,730,495.213085,464,44,70,152
223,1072,708.734083,-80,-540,452,0
224,394,248.282098,34,142,-18,200
225,968,772.098439,-18,-104,760,86
226,978,530.686348,-372,-102,198,306
227,656,383.217954,288,-14,200,154
228,1248,700.108563,442,-238,480,-88
229,418,323.375942,30,-318,-42,28
230,1142,685.685059,-100,328,136,578
231,564,393.273442,348,-2,-34,-180
232,1106,613.367753,-382,-102,-426,-196
233,1314,693.873187,-150,-456,-368,340
234,550,313.209195,72,74,148,-256
235,1524,883.407041,742,-376,148,-258
236,1650,902.500970,152,-598,330,-570
237,1662,875.627775,648,-316,-308,390
238,366,228.359366,-24,92,-48,202
239,770,438.538482,274,-220,14,-262
240,812,536.290966,-174,138,12,488
241,1010,562.391323,-156,-134,-274,446
242,1200,619.838689,-402,-184,-318,296
243,1808,952.231064,604,434,216,-554
244,1004,566.667451,-256,-44,406,298
245,720,426.586451,-332,-240,114,34
