walk,l1,l2,x0,x1,x2
0,2088,1216.707031,-684,818,-586
1,1906,1467.101905,306,176,-1424
2,2694,1920.036458,-906,-98,-1690
3,872,681.815224,-110,666,-96
4,2518,1457.851844,-788,-928,802
5,2094,1639.010677,-336,1596,-162
6,4684,3084.050583,-640,-1342,2702
7,4330,2759.810863,-658,2306,1366
8,1610,1296.013889,-160,-176,1274
9,2598,1533.900909,658,-1108,832
10,1460,997.512907,-746,660,54
11,1084,634.381589,-318,-320,-446
12,2774,1939.479312,-650,1798,-326
13,958,575.482406,-202,-330,-426
14,4508,2681.251946,-1114,1390,2004
15,1130,668.038921,484,-282,-364
16,1490,1026.545664,506,-96,-888
17,2378,2088.801570,-152,2078,148
18,2598,1603.257933,1284,-828,-486
19,1936,1370.812898,-886,1046,-4
20,2148,1312.445046,-852,-368,-928
21,4610,3229.902166,-142,1770,2698
22,3402,2275.463030,196,-1596,1610
23,1426,1101.898362,1064,-90,272
24,1504,1005.230322,-106,594,-804
25,2232,1327.093064,-892,854,-486
26,1858,1396.425437,432,1324,-102
27,894,548.280950,-388,-148,358
28,2600,1574.618684,496,1152,952
29,3770,2224.677055,1080,1632,-1058
30,1290,758.685706,324,-528,-438
31,1184,828.666398,-152,260,772
32,1940,1246.685205,-508,-1084,348
33,2702,1759.660194,850,1500,352
34,2186,1728.505713,1662,52,472
35,3558,2146.775256,1488,1390,680
36,1902,1265.083396,404,352,1146
37,5074,3209.408045,666,-1938,2470
38,1570,1034.777271,414,-918,-238
39,1600,1066.088176,964,-268,-368
40,2464,1536.718582,-748,-1264,-452
41,2670,1756.288131,252,988,1430
42,2278,1654.556134,-188,1554,-536
43,3594,2434.821554,1496,186,1912
44,2212,1575.751249,-532,212,-1468
45,3434,2438.506920,1526,6,1902
46,1304,768.208305,544,432,328
47,1856,1356.091442,496,102,-1258
48,1680,1214.156497,-1088,536,56
49,2176,1741.711802,1682,-44,-450
50,2322,1626.651776,1302,-46,974
51,1202,726.099167,-248,-404,-550
52,1716,1012.098809,-462,-738,516
53,3208,2016.103172,1424,-420,-1364
54,2096,1413.893914,-186,-1220,690
55,3576,2207.983696,-1802,722,1052
56,1274,822.360018,-720,230,324
57,1972,1150.700656,-656,-776,-540
58,1692,1175.370580,526,1044,122
59,1508,889.390803,398,464,-646
60,2176,1711.352681,266,1674,-236
61,2354,1561.421148,1342,756,256
62,1956,1176.962191,-804,770,382
63,2016,1313.081871,-516,-1158,-342
64,1778,1444.771262,-320,50,-1408
65,3024,2046.655809,-1128,1696,-200
66,2064,1374.502092,-856,142,-1066
